Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
jsoup,org.jsoup.examples,ListLinks,0,0,3,1,34,8,0,0,-1.0,0,4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/examples/ListLinks.java,11
jsoup,org.jsoup.examples,HtmlToPlainText,5,0,3,1,96,8,0,0,0.0,0,7,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,17
jsoup,org.jsoup.examples,HtmlToPlainText.FormattingVisitor,3,0,0,0,44,0,0,1,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,70
jsoup,org.jsoup.examples,Wikipedia,0,0,2,1,16,3,0,0,-1.0,0,3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/examples/Wikipedia.java,10
jsoup,org.jsoup,Jsoup,0,0,24,23,269,25,0,0,-1.0,58,8,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Jsoup.java,20
jsoup,org.jsoup,UnsupportedMimeTypeException,2,0,4,4,21,4,0,0,0.0,0,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/UnsupportedMimeTypeException.java,5
jsoup,org.jsoup,SerializationException,0,0,4,4,33,4,0,0,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/SerializationException.java,3
jsoup,org.jsoup,HttpStatusException,2,0,3,3,18,3,0,0,0.0,0,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/HttpStatusException.java,5
jsoup,org.jsoup,Connection,1,0,43,0,772,43,1,0,-1.0,22,8,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,23
jsoup,org.jsoup,Connection.Method,1,0,0,0,18,0,0,0,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,50
jsoup,org.jsoup,Connection.Base,0,0,0,0,119,0,0,0,-1.0,0,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,538
jsoup,org.jsoup,Connection.Request,0,0,0,0,179,0,0,0,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,692
jsoup,org.jsoup,Connection.Response,0,0,0,0,91,0,0,0,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,929
jsoup,org.jsoup,Connection.KeyVal,0,0,0,0,54,0,0,0,-1.0,1,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,1064
jsoup,org.jsoup,Progress,0,0,1,0,11,1,0,0,-1.0,5,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Progress.java,3
jsoup,org.jsoup,MultiLocaleExtension,1,0,2,2,10,2,0,0,1.0,0,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/MultiLocaleExtension.java,16
jsoup,org.jsoup,TextUtil,5,0,3,3,24,3,0,0,0.6666666666666666,14,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/TextUtil.java,5
jsoup,org.jsoup,JsoupTest,0,0,1,0,12,1,0,0,-1.0,0,3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java,13
jsoup,org.jsoup,SerializationExceptionTest,0,0,1,0,13,1,0,0,-1.0,0,1,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/SerializationExceptionTest.java,7
jsoup,org.jsoup.internal,SimpleStreamReader,3,0,5,3,70,17,0,0,0.0,2,1,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/SimpleStreamReader.java,18
jsoup,org.jsoup.internal,SoftPool,3,0,4,3,50,7,0,0,0.0,6,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/SoftPool.java,7
jsoup,org.jsoup.internal,LineMap,5,0,7,5,62,13,0,0,0.2857142857142857,6,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/LineMap.java,5
jsoup,org.jsoup.internal,Functions,4,0,5,4,24,5,0,0,1.0,0,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/Functions.java,12
jsoup,org.jsoup.internal,SharedConstants,11,11,1,0,27,1,0,0,0.0,11,0,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/SharedConstants.java,3
jsoup,org.jsoup.internal,ControllableInputStream,13,0,19,16,200,40,0,0,0.21052631578947367,6,4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/ControllableInputStream.java,16
jsoup,org.jsoup.internal,ControllableInputStream.ProgressState,2,0,0,0,11,0,0,0,-1.0,1,1,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/ControllableInputStream.java,248
jsoup,org.jsoup.internal,SimpleBufferedInput,8,0,14,4,130,39,0,0,0.0,2,2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/SimpleBufferedInput.java,12
