Project,Package,Class,Smell,Description,File
jsoup,org.jsoup.examples,HtmlToPlainText.FormattingVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: maxWidth; width; accum,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java
jsoup,org.jsoup,Jsoup,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Tag; ParseSettings; Normalizer; OutputSettings; Entities; Parser; TreeBuilder; CharacterReader; TokeniserState; Tokeniser; Token; Attributes; Attribute; AttributeUtil; Document; Connection; Evaluator; Element; NodeUtils; Node; NodeVisitor; NodeTraversor; Elements; Selector; Collector; TokenQueue; QueryParser; StructuralEvaluator; LeafNode; LeafNode.TrackedValue; Range; Range.AttributeRange; Range.Spans; CombiningEvaluator; NodeEvaluator; NodeFilter; Printer; TextNode; W3CDom; DocumentType; W3CDom.W3CBuilder; NodeIterator; DataNode; Comment; XmlDeclaration; CDataNode; Jsoup; HttpConnection; HttpConnection.Request; DataUtil; StreamParser; StreamParser.ElementIterator; DataUtil.CharsetDoc; HttpConnection.Response; Safelist; SafelistConfig; TagName; AttributeKey; Cleaner; Cleaner.CleaningVisitor; Cleaner.ElementMeta; DocumentForms; FormElement; DocumentMetaCharset; Token.Character; TagSet; NodeInternals; HtmlTreeBuilder; HtmlTreeBuilderState; HtmlTreeBuilderStateHeadHandlers; HtmlTreeBuilderStateHelper; HtmlTreeBuilderStateInBodyHandler; HtmlTreeBuilderStateTableHandlers; HtmlTreeBuilderStateSelectHandler; HtmlTreeBuilderStateForeignContentHandler; XmlTreeBuilder,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Jsoup.java
jsoup,org.jsoup,Jsoup,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Jsoup.java
jsoup,org.jsoup,UnsupportedMimeTypeException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/UnsupportedMimeTypeException.java
jsoup,org.jsoup,HttpStatusException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/HttpStatusException.java
jsoup,org.jsoup,Connection,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 43 methods,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java
jsoup,org.jsoup,Connection.Method,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: hasBody,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java
jsoup,org.jsoup,Connection.Base,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java
jsoup,org.jsoup,MultiLocaleExtension,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/MultiLocaleExtension.java
jsoup,org.jsoup.internal,Functions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/Functions.java
jsoup,org.jsoup.internal,SharedConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UserDataKey; AttrRangeKey; RangeKey; EndRangeKey; RangeSpansKey; XmlnsAttr; DefaultBufferSize; FormSubmitTags; DummyUri; UseHttpClient; UseRe2j,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/SharedConstants.java
jsoup,org.jsoup.internal,ControllableInputStream.ProgressState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: callback; context,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/ControllableInputStream.java
jsoup,org.jsoup.internal,StringUtil,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/StringUtil.java
jsoup,org.jsoup.internal,StringUtil.StringJoiner,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: sb; separator; first,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/StringUtil.java
jsoup,org.jsoup.internal,QuietAppendable.BaseAppendable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: a,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java
jsoup,org.jsoup.internal,QuietAppendable.BaseAppendable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java
