Project,Package,Class,Method,Smell,Description,File
jsoup,org.jsoup,JsoupTest,parseWithPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java
jsoup,org.jsoup,JsoupTest,parseWithPath,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.nodes.Document.title; org.jsoup.parser.Parser.htmlParser,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java
jsoup,org.jsoup,SerializationExceptionTest,constructors,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/SerializationExceptionTest.java
jsoup,org.jsoup.internal,ControllableInputStreamTest,respectsMaxCapDuringFill,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/ControllableInputStreamTest.java
jsoup,org.jsoup.internal,ControllableInputStreamTest,respectsMaxCapDuringFill,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.ControllableInputStream.wrap; org.jsoup.internal.ControllableInputStream.close; org.jsoup.internal.ControllableInputStream.baseReadFully,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/ControllableInputStreamTest.java
jsoup,org.jsoup.internal,ControllableInputStreamTest,compactsBufferWithActiveMark,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/ControllableInputStreamTest.java
jsoup,org.jsoup.internal,ControllableInputStreamTest,compactsBufferWithActiveMark,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.ControllableInputStream.mark; org.jsoup.internal.ControllableInputStream.wrap; org.jsoup.internal.ControllableInputStream.reset; org.jsoup.internal.ControllableInputStream.close,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/ControllableInputStreamTest.java
jsoup,org.jsoup.internal,StringUtilTest,join,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,padding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,padding,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.StringUtil.padding; org.jsoup.internal.StringUtil.padding,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,paddingInACan,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isNumeric,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isWhitespace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpaceHandlesHighSurrogates,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpaceHandlesHighSurrogates,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.nodes.Element.text; org.jsoup.Jsoup.parse; org.jsoup.internal.StringUtil.normaliseWhitespace,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,resolvesRelativeUrls,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 32,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isAscii,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isAsciiLetter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isHexDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,ReaderTest,readerOfStringAndFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/ReaderTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testSoftLocalPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testSoftReferenceBehavior,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testBorrowFromEmptyPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,wrap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,supplemental,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,supplemental,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.QuietAppendable.append; org.jsoup.internal.QuietAppendable.wrap,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,appendThrowsSerializationException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,appendThrowsSerializationException,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.safety,SafelistTest,isSafeAttributeDoesNotModifyLiveAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/SafelistTest.java
jsoup,org.jsoup.safety,SafelistTest,isSafeAttributeDoesNotModifyLiveAttribute,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.nodes.Attribute.getValue; org.jsoup.safety.Safelist.isSafeAttribute; org.jsoup.parser.Tag.valueOf; org.jsoup.nodes.Attributes.attribute; org.jsoup.nodes.Attributes.put; org.jsoup.nodes.Element.attributes; org.jsoup.safety.SafelistPresets.basic; org.jsoup.nodes.Node.attr,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/SafelistTest.java
jsoup,org.jsoup.safety,SafelistTest,noscriptIsBlocked,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/SafelistTest.java
jsoup,org.jsoup.safety,SafelistTest,noscriptIsBlocked,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/SafelistTest.java
jsoup,org.jsoup.safety,CleanerTest,allAttributes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,allAttributes,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.safety.SafelistPresets.relaxed; org.jsoup.Jsoup.clean,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,removeProtocols,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,removeProtocols,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.safety.SafelistPresets.relaxed; org.jsoup.Jsoup.clean,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testCleanAnchorProtocol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testCleanAnchorProtocol,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.safety.SafelistPresets.relaxed; org.jsoup.Jsoup.clean,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testIsValidBodyHtml,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testIsValidBodyHtml,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.safety.SafelistPresets.none; org.jsoup.Jsoup.isValid; org.jsoup.safety.SafelistPresets.basic,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testIsValidDocument,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,testIsValidDocument,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.safety.SafelistPresets.none; org.jsoup.safety.SafelistPresets.relaxed; org.jsoup.safety.Cleaner.isValid; org.jsoup.Jsoup.parse,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
jsoup,org.jsoup.safety,CleanerTest,configuredCleanerMayBeSharedAcrossThreads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/new/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java
