Project,Package,Smell,Description
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 310
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 59371
commons-lang,org.apache.commons.lang3,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3.time; org.apache.commons.lang3.text.translate; org.apache.commons.lang3.mutable; org.apache.commons.lang3.builder; org.apache.commons.lang3.stream; org.apache.commons.lang3.exception; org.apache.commons.lang3.math; org.apache.commons.lang3.text; org.apache.commons.lang3.reflect
commons-lang,org.apache.commons.lang3,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppendableJoiner; AppendableJoiner.Builder; StringUtils; Strings; Strings.Builder; Strings.CiStrings; Strings.CsStrings; StringUtilsStripTest; ClassUtilsOssFuzzTest; StringUtilsGetDigitsBenchmark; StringUtilsJoinExceptionTest; CharSequenceUtilsTest; SystemPropertiesTest; StringUtilsTest; CharSequenceUtilsBenchmark; ArrayUtilsSetTest; ClassUtilsTest; ClassUtilsTest.CX; ClassUtilsTest.CY; ClassUtilsTest.IA; ClassUtilsTest.IB; ClassUtilsTest.IC; ClassUtilsTest.ID; ClassUtilsTest.IE; ClassUtilsTest.IF; ClassUtilsTest.Inner; ClassUtilsTest.Named; StringUtilsValueOfTest; StringUtilsStartsEndsWithTest; StringUtilsEmptyBlankTest; StringsTest; StringUtilsTrimTest; StringUtilsSubstringTest; ArrayUtilsTest; ArrayUtilsTest.TestClass; StringUtilsIndexOfAnyTest; AbstractLangTest; BooleanUtilsTest; ArrayUtilsAddTest; AutoCloseablesTest; AutoCloseablesTest.ThrowingCloseable; AutoCloseablesTest.TrackingCloseable; RandomUtilsTest; LocaleUtilsTest; StringUtilsIsMixedCaseTest; StringUtilsContainsTest; StringUtilsAbbreviateTest; CachedRandomBitsTest; CachedRandomBitsTest.MockRandom; ArrayUtilsConcatTest; DoubleRangeTest; ArrayFillTest; StringUtilsEqualsIndexOfTest; AppendableJoinerTest; StringUtilsIsTest; RandomUtils; RandomStringUtils; Validate; CachedRandomBits; ValidateDoublesTest; RandomStringUtilsTest; ThreadUtils; ThreadUtils.AlwaysTruePredicate; ThreadUtils.ThreadGroupPredicate; ThreadUtils.ThreadPredicate; ThreadUtilsTest; ThreadUtilsTest.TestThread; ClassUtils; ClassUtils.Interfaces; ArrayUtils; ArraySorter; BooleanUtils; LocaleUtils; LocaleUtils.SyncAvoid; Streams; Streams.FailableStream; SystemProperties; ObjectUtils; ObjectUtils.Null; ArrayFill; SystemUtils; AnnotationUtils; EnumUtils; ArchUtils; EnumUtilsTest; Month; TooMany; Traffic; Traffic2; ArraySorterTest; StreamsTest; ArrayUtilsGetDimensionsTest; ArrayUtilsGetDimensionsTest.Node; AnnotationUtilsTest; AnnotationUtilsTest.Stooge; SystemUtilsTest; CharUtilsPerfRun; HashSetvBitSetBenchmark; ArrayUtilsInsertTest; ConversionTest; ArrayUtilsRemoveTest; ObjectUtilsTest; ObjectUtilsTest.CharSequenceComparator; ObjectUtilsTest.CloneableString; ObjectUtilsTest.NonComparableCharSequence; ObjectUtilsTest.UncloneableString; ClassUtilsShortClassNameTest; Pa$$word; ClassUtilsGetShortClassNameTest; LocaleProblems; ArrayUtilsRemoveMultipleTest; ArchUtilsTest; SerializationUtils; SerializationUtils.ClassLoaderAwareObjectInputStream; Range; Range.ComparableComparator; NumberRange; DoubleRange; IntegerRangeTest; CharSetTest; CharRangeTest; RangeTest; RangeTest.DerivedComparableA; RangeTest.DerivedComparableB; RangeReadObjectTest; LongRangeTest; SerializationUtilsTest; CharRangeReadObjectTest; CharUtils; RuntimeEnvironment; StringEscapeUtils; StringEscapeUtils.CsvEscaper; StringEscapeUtils.CsvUnescaper; RuntimeEnvironmentTest; CharUtilsTest; StringEscapeUtilsTest; AutoCloseables; Conversion; Charsets; CharsetsTest; CharSetUtils; CharSet; CharRange; CharRange.CharacterIterator; CharSetUtilsTest; RegExUtils; JavaVersion; JavaVersionTest; RegExUtilsTest; CharSequenceUtils; ClassLoaderUtils; ClassLoaderUtilsTest; ClassPathUtils; ClassPathUtilsTest; Functions; Functions.FailableBiConsumer; Functions.FailableBiFunction; Functions.FailableBiPredicate; Functions.FailableCallable; Functions.FailableConsumer; Functions.FailableFunction; Functions.FailablePredicate; Functions.FailableRunnable; Functions.FailableSupplier; FunctionsTest; FunctionsTest.CloseableObject; FunctionsTest.FailureOnOddInvocations; FunctionsTest.SomeException; FunctionsTest.Testable; IntegerRange; SerializationException; BitField; BitFieldLongTest; BitFieldTest; LongRange; NotImplementedException; NotImplementedExceptionTest; CharEncoding; CharEncodingTest; Enum64; Supplementary; ValidateTest; $trange; ClassNotFoundSerialization; SerializableSupplier]; [ThreadUtils.NamePredicate]; [ThreadUtils.ThreadIdPredicate]; [ArrayUtils.MathBridge]; [Streams.ArrayCollector]; [LangAssertions]; [StringUtilsJoinBenchmark]; [StringUtilsJoinBenchmark.BooleanArrayBenchmark]; [StringUtilsJoinBenchmark.ByteArrayBenchmark]; [StringUtilsJoinBenchmark.CharArrayBenchmark]; [StringUtilsJoinBenchmark.DoubleArrayBenchmark]; [StringUtilsJoinBenchmark.FloatArrayBenchmark]; [StringUtilsJoinBenchmark.IntArrayBenchmark]; [StringUtilsJoinBenchmark.LongArrayBenchmark]; [StringUtilsJoinBenchmark.ShortArrayBenchmark]; [StringUtilsJoinBenchmark.StringUtils_3_20_0]; [StringUtilsJoinBenchmark.StringUtils_3_21_0]; [ValidateTest.ExclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithLong]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.Finite]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.InclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithLong]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.IsAssignable]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.IsInstanceOf]; [ValidateTest.WithMessage]; [ValidateTest.WithMessageTemplate]; [ValidateTest.WithoutMessage]; [ValidateTest.IsTrue]; [ValidateTest.WithDoubleTemplate]; [ValidateTest.WithLongTemplate]; [ValidateTest.WithMessage]; [ValidateTest.WithMessageSupplier]; [ValidateTest.WithObjectTemplate]; [ValidateTest.WithoutMessage]; [ValidateTest.MatchesPattern]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NoNullElements]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotBlank]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotEmpty]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMap]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotNaN]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.NotNull]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.UtilClassConventions]; [ValidateTest.ValidIndex]; [ValidateTest.WithArray]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.ValidState]; [ValidateTest.WithoutMessage]; [ValidateTest.WitMessage]; [AnnotationUtilsTest.None]; [RangeTest.AbstractComparable]; [CharSequenceUtilsTest.RunTest]; [CharSequenceUtilsTest.TestData]; [CharSequenceUtilsTest.WrapperString]; [ObjectToStringRuntimeException]; [ClassUtilsTest.DeeplyNested]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [RangeReadObjectTest.RangeForge]; [$trange.$Inner]; [$trange.Inner]; [$trange.Ne$ted]; [ArrayUtilsTest.LANG1261ParentObject]; [ArrayUtilsTest.LANG1261ChildObject]; [StringUtilsEqualsIndexOfTest.CustomCharSequence]; [AppendableJoinerTest.Fixture]. LCC (Lack of Component Cohesion) = 0.41
commons-lang,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.5. All the dependencies among components: from: org.apache.commons.lang3 to: org.apache.commons.lang3.function; from: org.apache.commons.lang3 to: org.apache.commons.lang3.time; from: org.apache.commons.lang3 to: org.apache.commons.lang3.text.translate; from: org.apache.commons.lang3 to: org.apache.commons.lang3.mutable; from: org.apache.commons.lang3 to: org.apache.commons.lang3.builder; from: org.apache.commons.lang3 to: org.apache.commons.lang3.stream; from: org.apache.commons.lang3 to: org.apache.commons.lang3.exception; from: org.apache.commons.lang3 to: org.apache.commons.lang3.math; from: org.apache.commons.lang3 to: org.apache.commons.lang3.text; from: org.apache.commons.lang3 to: org.apache.commons.lang3.arch; from: org.apache.commons.lang3 to: org.apache.commons.lang3.reflect.testbed; from: org.apache.commons.lang3 to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.function to: org.apache.commons.lang3.exception; from: org.apache.commons.lang3.function to: org.apache.commons.lang3.stream; from: org.apache.commons.lang3.function to: org.apache.commons.lang3; from: org.apache.commons.lang3.event to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.event to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.event to: org.apache.commons.lang3; from: org.apache.commons.lang3.event to: org.apache.commons.lang3.exception; from: org.apache.commons.lang3.exception to: org.apache.commons.lang3; from: org.apache.commons.lang3.exception to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.exception to: org.apache.commons.lang3.test; from: org.apache.commons.lang3.math to: org.apache.commons.lang3; from: org.apache.commons.lang3.math to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.stream to: org.apache.commons.lang3; from: org.apache.commons.lang3.stream to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.text to: org.apache.commons.lang3; from: org.apache.commons.lang3.text to: org.apache.commons.lang3.mutable; from: org.apache.commons.lang3.text.translate to: org.apache.commons.lang3; from: org.apache.commons.lang3.compare to: org.apache.commons.lang3; from: org.apache.commons.lang3.util to: org.apache.commons.lang3; from: org.apache.commons.lang3.time to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.time to: org.apache.commons.lang3; from: org.apache.commons.lang3.time to: org.apache.commons.lang3.exception; from: org.apache.commons.lang3.time to: org.apache.commons.lang3.math; from: org.apache.commons.lang3.time to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.mutable to: org.apache.commons.lang3; from: org.apache.commons.lang3.mutable to: org.apache.commons.lang3.time; from: org.apache.commons.lang3.tuple to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.tuple to: org.apache.commons.lang3; from: org.apache.commons.lang3.builder to: org.apache.commons.lang3; from: org.apache.commons.lang3.builder to: org.apache.commons.lang3.reflect; from: org.apache.commons.lang3.builder to: org.apache.commons.lang3.tuple; from: org.apache.commons.lang3.builder to: org.apache.commons.lang3.concurrent; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3.stream; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3.reflect.testbed; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3.math; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3.mutable; from: org.apache.commons.lang3.reflect to: org.apache.commons.lang3.compare; from: org.apache.commons.lang3.concurrent to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.concurrent to: org.apache.commons.lang3.exception; from: org.apache.commons.lang3.concurrent to: org.apache.commons.lang3; from: org.apache.commons.lang3.concurrent.locks to: org.apache.commons.lang3.function; from: org.apache.commons.lang3.concurrent.locks to: org.apache.commons.lang3.
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.function; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.time; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.text.translate; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.mutable; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3
