Project,Package,Class,Smell,Description,File
commons-io,org.apache.commons.io,IOUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/DirectoryWalker.java
commons-io,org.apache.commons.io,FileUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomError,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomRuntimeException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io.function,Uncheck,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/Uncheck.java
commons-io,org.apache.commons.io.function,IOStream,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/IOStream.java
commons-io,org.apache.commons.io.function,Erase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/Erase.java
commons-io,org.apache.commons.io.function,TestConstants,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/test/java/org/apache/commons/io/function/TestConstants.java
commons-io,org.apache.commons.io.function,TestUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/test/java/org/apache/commons/io/function/TestUtils.java
commons-io,org.apache.commons.io.input,MessageDigestCalculatingInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/MessageDigestCalculatingInputStream.java
commons-io,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/MessageDigestCalculatingInputStream.java
commons-io,org.apache.commons.io.input,ObservableInputStream.AbstractBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ObservableInputStream.java
commons-io,org.apache.commons.io.input,ObservableInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ObservableInputStream.java
commons-io,org.apache.commons.io.input,ObservableInputStream.Observer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ObservableInputStream.java
commons-io,org.apache.commons.io.input,XmlStreamReader.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/XmlStreamReader.java
commons-io,org.apache.commons.io.input,CloseShieldInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/CloseShieldInputStream.java
commons-io,org.apache.commons.io.input,CharSequenceInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/CharSequenceInputStream.java
commons-io,org.apache.commons.io.input,ReaderInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ReaderInputStream.java
commons-io,org.apache.commons.io.input,MemoryMappedFileInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java
commons-io,org.apache.commons.io.input,ReversedLinesFileReader.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ReversedLinesFileReader.java
commons-io,org.apache.commons.io.input,Tailer.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/Tailer.java
commons-io,org.apache.commons.io.input,UnsynchronizedFilterInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UnsynchronizedFilterInputStream.java
commons-io,org.apache.commons.io.input,BOMInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/BOMInputStream.java
commons-io,org.apache.commons.io.input,UncheckedFilterReader.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UncheckedFilterReader.java
commons-io,org.apache.commons.io.input,BoundedInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/BoundedInputStream.java
commons-io,org.apache.commons.io.input,UncheckedBufferedReader.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UncheckedBufferedReader.java
commons-io,org.apache.commons.io.input,ThrottledInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ThrottledInputStream.java
commons-io,org.apache.commons.io.input,ChecksumInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ChecksumInputStream.java
commons-io,org.apache.commons.io.input,RandomAccessFileInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/RandomAccessFileInputStream.java
commons-io,org.apache.commons.io.input,MessageDigestInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/MessageDigestInputStream.java
commons-io,org.apache.commons.io.input,MessageDigestInputStream.MessageDigestMaintainingObserver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/MessageDigestInputStream.java
commons-io,org.apache.commons.io.input,BufferedFileChannelInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/BufferedFileChannelInputStream.java
commons-io,org.apache.commons.io.input,UnsynchronizedBufferedInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UnsynchronizedBufferedInputStream.java
commons-io,org.apache.commons.io.input,UncheckedFilterInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UncheckedFilterInputStream.java
commons-io,org.apache.commons.io.input,ReadAheadInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/ReadAheadInputStream.java
commons-io,org.apache.commons.io.input,AutoCloseInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/AutoCloseInputStream.java
commons-io,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/UnsynchronizedByteArrayInputStream.java
commons-io,org.apache.commons.io.input,QueueInputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/input/QueueInputStream.java
commons-io,org.apache.commons.io.file,CountingPathVisitor.AbstractBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java
commons-io,org.apache.commons.io.file,CountingPathVisitor.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java
commons-io,org.apache.commons.io.file,PathUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/file/PathUtils.java
commons-io,org.apache.commons.io.file,AccumulatorPathVisitor.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/file/AccumulatorPathVisitor.java
commons-io,org.apache.commons.io.monitor,FileAlterationObserver.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/monitor/FileAlterationObserver.java
commons-io,org.apache.commons.io.output,ChunkedOutputStream.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/commons-io/src/main/java/org/apache/commons/io/output/ChunkedOutputStream.java
