Project,Package,Class,Method,Smell,Description,Method start line no,File
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doRegisterAsParallelCapable,Empty catch clause,The method has an empty catch block.,101,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Statement,The length of the statement "this(parent`sealed`typeDefinitions`ClassLoadingStrategy.NO_PROTECTION_DOMAIN`persistenceHandler`PackageDefinitionStrategy.Trivial.INSTANCE);" is 140.,191,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Parameter List,The method has 5 parameters. ,203,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Parameter List,The method has 6 parameters. ,220,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Statement,The length of the statement "this(parent`sealed`typeDefinitions`protectionDomain`persistenceHandler`packageDefinitionStrategy`ClassFilePostProcessor.NoOp.INSTANCE);" is 135.,220,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Parameter List,The method has 6 parameters. ,239,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,Long Parameter List,The method has 7 parameters. ,258,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,Long Statement,The length of the statement "return load(classLoader`types`ClassLoadingStrategy.NO_PROTECTION_DOMAIN`PersistenceHandler.LATENT`PackageDefinitionStrategy.Trivial.INSTANCE`false`true);" is 153.,319,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,Long Parameter List,The method has 7 parameters. ,336,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,Long Statement,The length of the statement "return load(classLoader`types`protectionDomain`persistenceHandler`packageDefinitionStrategy`ClassLoaderDecorator.Factory.NoOp.INSTANCE`forbidExisting`sealed);" is 158.,336,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
