Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
byte-buddy,(default package),MavenWrapperDownloader,main,28,3,1,62,0,,
byte-buddy,(default package),MavenWrapperDownloader,downloadFileFromURL,18,2,2,102,0,,
byte-buddy,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0,111,0,,
byte-buddy,(default package),MavenWrapperDownloader,createDirectories,6,2,1,125,0,,
byte-buddy,(default package),MavenWrapperDownloader,readWrapperUrl,16,2,1,133,0,,
byte-buddy,(default package),MavenWrapperDownloader,log,5,2,1,154,0,,
byte-buddy,(default package),MavenWrapperDownloader,main,28,3,1,62,0,,
byte-buddy,(default package),MavenWrapperDownloader,downloadFileFromURL,18,2,2,102,0,,
byte-buddy,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0,111,0,,
byte-buddy,(default package),MavenWrapperDownloader,createDirectories,6,2,1,125,0,,
byte-buddy,(default package),MavenWrapperDownloader,readWrapperUrl,16,2,1,133,0,,
byte-buddy,(default package),MavenWrapperDownloader,log,5,2,1,154,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy,define,0,1,3,40,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doRegisterAsParallelCapable,9,1,0,101,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doPrivileged,3,1,1,115,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,2,159,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,3,169,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,3,180,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,4,191,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,5,203,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,6,220,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,3,1,6,239,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,ByteArrayClassLoader,9,1,7,258,0,net.bytebuddy.dynamic.loading.ByteArrayClassLoader,net.bytebuddy.dynamic.loading.ByteArrayClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,getContext,3,1,0,285,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doPrivileged,3,1,2,296,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,methodHandle,3,1,0,309,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,3,1,2,319,0,net.bytebuddy.dynamic.loading.ByteArrayClassLoader,net.bytebuddy.dynamic.loading.ByteArrayClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,3,1,7,336,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,load,26,5,8,365,0,net.bytebuddy.utility.GraalImageCode,net.bytebuddy.utility.GraalImageCode; net.bytebuddy.dynamic.loading.ClassLoaderDecorator
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doDefineClasses,25,5,1,418,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,findClass,9,2,1,443,0,net.bytebuddy.dynamic.loading.ClassFilePostProcessor,net.bytebuddy.dynamic.loading.ClassFilePostProcessor
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,findResource,3,1,1,458,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,findResources,4,1,1,466,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,doGetPackage,3,1,1,476,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,ClassReloadingStrategy,3,1,2,86,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,ClassReloadingStrategy,6,1,4,101,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,doPrivileged,3,1,1,119,0,,
