Project,Package,Class,Smell,Description,File
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,Law of Demeter violation,The tool detected the smell in this method (load) because the method voilates the law of Demeter. The long chain of method invocations is : net.bytebuddy.utility.GraalImageCode.isNativeImageExecution; net.bytebuddy.utility.GraalImageCode.getCurrent,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ChildFirst,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassReloadingStrategy,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ClassReloadingStrategy.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategy,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ClassLoadingStrategy.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ClassInjector.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector.UsingReflection,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ClassInjector.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjector.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ClassInjector.java
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ModuleLayerFromSingleClassLoaderDecorator.java
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator.AbstractModuleReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ModuleLayerFromSingleClassLoaderDecorator.java
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator.AbstractModuleFinder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ModuleLayerFromSingleClassLoaderDecorator.java
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/MultipleParentClassLoader.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest.Bar,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/test/java/net/bytebuddy/dynamic/loading/ClassInjectorUsingReflectionTest.java
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest.Interceptor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/test/java/net/bytebuddy/dynamic/loading/ClassInjectorUsingReflectionTest.java
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest.Foo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/test/java/net/bytebuddy/dynamic/loading/MultipleParentClassLoaderTest.java
