Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
byte-buddy,(default package),MavenWrapperDownloader,6,0,6,1,93,12,0,0,0.8333333333333334,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/.mvn/wrapper-legacy/MavenWrapperDownloader.java,33
byte-buddy,(default package),MavenWrapperDownloader,6,0,6,1,93,12,0,0,0.8333333333333334,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/.mvn/wrapper/MavenWrapperDownloader.java,33
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy,19,0,1,0,547,1,3,0,-1.0,21,6,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,34
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.NoOp,0,0,0,0,13,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,50
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.Trivial,0,0,0,0,13,0,0,1,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,68
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.Definition,9,0,0,0,312,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,86
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.Undefined,0,0,0,0,61,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,169
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.Trivial,2,0,0,0,69,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,243
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.Simple,7,0,0,0,131,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,335
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.ManifestReading,10,0,0,0,196,0,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,516
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.SealBaseLocator,7,0,0,0,127,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,607
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.NonSealing,0,0,0,0,13,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,622
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.ForFixedValue,1,0,0,0,35,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,641
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategy.ForTypeResourceUrl,6,0,0,0,67,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/PackageDefinitionStrategy.java,694
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader,32,1,21,11,1127,30,1,1,0.23809523809523808,37,17,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,51
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.SynchronizationStrategy,4,0,0,0,155,0,0,0,-1.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,488
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.Initializable,0,0,0,0,10,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,502
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.CreationAction,0,0,0,0,24,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,515
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ForLegacyVm,0,0,0,0,19,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,553
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ForJava7CapableVm,1,0,0,0,42,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,578
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ForJava8CapableVm,3,0,0,0,48,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,625
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ClassDefinitionAction,2,0,0,0,42,0,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,681
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.PackageLookupStrategy,1,0,0,0,78,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,736
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.CreationAction,0,0,0,0,23,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,751
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ForLegacyVm,0,0,0,0,13,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,778
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ForJava9CapableVm,1,0,0,0,30,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,797
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.PersistenceHandler,10,0,0,0,222,0,0,0,-1.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,833
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.UrlDefinitionAction,8,0,0,0,141,0,0,0,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,945
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoader.ByteArrayUrlStreamHandler,2,0,0,0,53,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/byte-buddy/byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/loading/ByteArrayClassLoader.java,1022
