Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,JavaFormatterBase,3,1,1,36,0,,
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,format,4,1,6,40,0,com.google.googlejavaformat.java.JavaFormatterBase,com.google.googlejavaformat.java.JavaFormatterBase
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,format,3,1,5,47,0,com.google.googlejavaformat.java.JavaFormatterBase,com.google.googlejavaformat.java.JavaFormatterBase
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,createIndentationString,9,2,1,53,0,,
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,formatInternal,26,6,4,67,0,com.google.googlejavaformat.java.JavaFormatterBase,com.google.googlejavaformat.java.JavaFormatterBase; com.google.googlejavaformat.java.SnippetFormatter
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,rangesFromRegions,7,2,1,106,0,,
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,idempotent,17,5,3,114,0,com.google.googlejavaformat.java.Replacement,com.google.googlejavaformat.java.Replacement
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,editFromReplacements,8,2,1,138,0,com.google.googlejavaformat.java.Replacement,com.google.googlejavaformat.java.Replacement
google-java-format,com.google.googlejavaformat.java,AospJavaFormatter,AospJavaFormatter,3,1,0,19,0,com.google.googlejavaformat.java.Builder,com.google.googlejavaformat.java.Builder; com.google.googlejavaformat.java.JavaFormatterOptions
google-java-format,com.google.googlejavaformat.java,GoogleJavaFormatter,GoogleJavaFormatter,3,1,0,19,0,com.google.googlejavaformat.java.JavaFormatterOptions,com.google.googlejavaformat.java.JavaFormatterOptions
google-java-format,com.google.googlejavaformat.java,Formatter,Formatter,3,1,0,82,0,com.google.googlejavaformat.java.JavaFormatterOptions,com.google.googlejavaformat.java.JavaFormatterOptions
google-java-format,com.google.googlejavaformat.java,Formatter,Formatter,3,1,1,87,0,,
google-java-format,com.google.googlejavaformat.java,Formatter,format,18,2,3,91,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.Doc; com.google.googlejavaformat.java.JavaFormatterOptions; com.google.googlejavaformat.java.JavaInput; com.google.googlejavaformat.java.JavaOutput; com.google.googlejavaformat.java.FormatterException; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.DocBuilder; com.google.googlejavaformat.java.Trees
google-java-format,com.google.googlejavaformat.java,Formatter,errorDiagnostic,6,2,1,123,0,,
google-java-format,com.google.googlejavaformat.java,Formatter,formatSource,3,1,2,132,0,com.google.googlejavaformat.java.Formatter,com.google.googlejavaformat.java.Formatter
google-java-format,com.google.googlejavaformat.java,Formatter,formatSource,3,1,1,144,0,,
google-java-format,com.google.googlejavaformat.java,Formatter,formatSourceAndFixImports,7,1,1,157,0,com.google.googlejavaformat.java.RemoveUnusedImports,com.google.googlejavaformat.java.RemoveUnusedImports; com.google.googlejavaformat.java.StringWrapper; com.google.googlejavaformat.java.ImportOrderer; com.google.googlejavaformat.java.JavaFormatterOptions; com.google.googlejavaformat.java.Formatter
google-java-format,com.google.googlejavaformat.java,Formatter,formatSource,3,1,2,177,0,com.google.googlejavaformat.java.JavaOutput,com.google.googlejavaformat.java.JavaOutput; com.google.googlejavaformat.java.Formatter
google-java-format,com.google.googlejavaformat.java,Formatter,getFormatReplacements,16,2,2,191,0,com.google.googlejavaformat.FormattingError,com.google.googlejavaformat.FormattingError; com.google.googlejavaformat.java.ModifierOrderer; com.google.googlejavaformat.java.JavaFormatterOptions; com.google.googlejavaformat.Newlines; com.google.googlejavaformat.java.JavaOutput; com.google.googlejavaformat.java.Formatter; com.google.googlejavaformat.java.JavaInput
google-java-format,com.google.googlejavaformat.java,Formatter,lineRangesToCharRanges,13,2,2,222,0,com.google.googlejavaformat.Newlines,com.google.googlejavaformat.Newlines
google-java-format,com.google.googlejavaformat.java,UsageException,UsageException,3,1,0,80,0,com.google.googlejavaformat.java.UsageException,com.google.googlejavaformat.java.UsageException
google-java-format,com.google.googlejavaformat.java,UsageException,UsageException,3,1,1,84,0,com.google.googlejavaformat.java.UsageException,com.google.googlejavaformat.java.UsageException
google-java-format,com.google.googlejavaformat.java,UsageException,buildMessage,12,2,1,88,0,com.google.googlejavaformat.java.UsageException,com.google.googlejavaformat.java.UsageException; com.google.googlejavaformat.java.Main
google-java-format,com.google.googlejavaformat.java,UsageException,appendLine,3,1,2,101,0,,
google-java-format,com.google.googlejavaformat.java,UsageException,appendLines,3,1,2,105,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,typeAnnotations,8,2,0,298,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,breakList,3,1,1,324,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,breakFillList,3,1,1,328,0,com.google.googlejavaformat.OpenOp,com.google.googlejavaformat.OpenOp; com.google.googlejavaformat.CloseOp
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,forceBreakList,3,1,1,335,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,JavaInputAstVisitor,8,1,2,345,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,inExpression,3,1,0,362,0,,
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,scan,22,2,2,366,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitCompilationUnit,39,8,2,389,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.OpsBuilder
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,handleModule,11,3,2,433,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.OpsBuilder
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,dropEmptyDeclarations,9,3,0,445,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitClass,10,5,2,456,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitAnnotationType,21,2,1,468,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitArrayAccess,5,1,2,489,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitNewArray,26,4,2,496,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.java.DimensionHelpers
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitArrayInitializer,78,15,1,528,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,hasOnlyShortItems,9,3,1,609,0,com.google.googlejavaformat.java.Trees,com.google.googlejavaformat.java.Trees; com.google.googlejavaformat.OpsBuilder
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitArrayType,5,1,2,621,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitAnnotatedArrayType,9,1,1,628,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.DimensionHelpers; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitAssert,18,2,2,638,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitAssignment,11,1,2,658,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.java.Trees
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitBlock,4,1,2,671,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitCompoundAssignment,11,1,2,677,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.java.Trees
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitBreak,12,2,2,690,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitTypeCast,11,1,2,704,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitNewClass,23,4,2,717,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.OpsBuilder
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitConditionalExpression,15,1,2,745,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitContinue,12,2,2,762,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitDoWhileLoop,18,2,2,776,0,com.google.googlejavaformat.java.Trees,com.google.googlejavaformat.java.Trees; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.OpsBuilder
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitEmptyStatement,5,1,2,799,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitEnhancedForLoop,14,1,2,806,0,com.google.googlejavaformat.OpsBuilder,com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,visitEnumConstantDeclaration,18,4,1,832,0,com.google.googlejavaformat.java.JavaInputAstVisitor,com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.OpsBuilder
