Project,Package,Class,Smell,Description,File
google-java-format,com.google.googlejavaformat.java,JavaFormatterBase,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.googlejavaformat.java.SnippetFormatter,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/JavaFormatterBase.java
google-java-format,com.google.googlejavaformat.java,AospJavaFormatter,Law of Demeter violation,The tool detected the smell in this method (AospJavaFormatter) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.googlejavaformat.java.JavaFormatterOptions.builder; com.google.googlejavaformat.java.Builder.build,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/eclipse_plugin/src/com/google/googlejavaformat/java/AospJavaFormatter.java
google-java-format,com.google.googlejavaformat.java,Formatter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.googlejavaformat.java.JavaInput; com.google.googlejavaformat.OpsBuilder; com.google.googlejavaformat.java.JavaInputAstVisitor; com.google.googlejavaformat.Doc; com.google.googlejavaformat.java.JavaOutput; com.google.googlejavaformat.DocBuilder,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/Formatter.java
google-java-format,com.google.googlejavaformat.java,Formatter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/Formatter.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,Law of Demeter violation,The tool detected the smell in this method (actualColumn) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.googlejavaformat.Input.getPositionToColumnMap; com.google.googlejavaformat.OpsBuilder.getInput,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,JavaInputAstVisitor,Law of Demeter violation,The tool detected the smell in this method (hasJavaDoc) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.googlejavaformat.OpsBuilder.getInput; com.google.googlejavaformat.Input.getPositionTokenMap,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
google-java-format,com.google.googlejavaformat.java,FormatFileCallable,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.googlejavaformat.java.Formatter,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/FormatFileCallable.java
google-java-format,com.google.googlejavaformat.java,SnippetFormatter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.googlejavaformat.java.Formatter,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/SnippetFormatter.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterOptions,Law of Demeter violation,The tool detected the smell in this method (defaultOptions) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.googlejavaformat.java.JavaFormatterOptions.builder; com.google.googlejavaformat.java.Builder.build,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaFormatterOptions.java
google-java-format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaFormatterOptions.java
google-java-format,com.google.googlejavaformat.java,Main,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.googlejavaformat.java.FormatFileCallable,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/Main.java
google-java-format,com.google.googlejavaformat.java,Main,Law of Demeter violation,The tool detected the smell in this method (format) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.googlejavaformat.java.JavaFormatterOptions.builder; com.google.googlejavaformat.java.Builder.formatJavadoc; com.google.googlejavaformat.java.Builder.build,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/java/Main.java
google-java-format,com.google.googlejavaformat.java,ImportOrdererTest.GoogleStyle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/test/java/com/google/googlejavaformat/java/ImportOrdererTest.java
google-java-format,com.google.googlejavaformat.java,ImportOrdererTest.AospStyle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/test/java/com/google/googlejavaformat/java/ImportOrdererTest.java
google-java-format,com.google.googlejavaformat,Doc,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/Doc.java
google-java-format,com.google.googlejavaformat,Doc.State,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/Doc.java
google-java-format,com.google.googlejavaformat,Doc.Token,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/google-java-format/core/src/main/java/com/google/googlejavaformat/Doc.java
