Project,Package,Class,Smell,Description,File
jimfs,com.google.common.jimfs,Options,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOFOLLOW_LINKS; FOLLOW_LINKS; DEFAULT_READ; DEFAULT_READ_NOFOLLOW_LINKS; DEFAULT_WRITE,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Options.java
jimfs,com.google.common.jimfs,JimfsFileSystems,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: JimfsFileSystems; Jimfs,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystems.java
jimfs,com.google.common.jimfs,JimfsFileStore,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Configuration.WindowsHolder; Configuration; WatchServiceConfiguration; FileSystemView; JimfsFileStore; FileTree; JimfsPath; PathService; JimfsFileSystem; JimfsFileSystemProvider; JimfsFileChannel; RegularFile; HeapDisk; SymbolicLink; AttributeService; FileFactory; JimfsSecureDirectoryStream; Configuration.Builder; Configuration.UnixHolder; Configuration.OsxHolder,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileStore.java
jimfs,com.google.common.jimfs,FileSystemView,Feature Envy,The tool detected a instance of this smell because createSymbolicLink is more interested in members of the type: JimfsFileStore,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,FileSystemView,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,FileSystemView.DeleteMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,JimfsFileSystem,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystem.java
jimfs,com.google.common.jimfs,AclAttributeProvider.View,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ownerView,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java
jimfs,com.google.common.jimfs,AclAttributeProvider.View,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java
jimfs,com.google.common.jimfs,PollingWatchService.Snapshot,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: modifiedTimes,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PollingWatchService.java
jimfs,com.google.common.jimfs,Name,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY; SELF; PARENT; display; canonical; DISPLAY_COMPARATOR; CANONICAL_COMPARATOR,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Name.java
jimfs,com.google.common.jimfs,WatchServiceConfiguration.PollingConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: interval; timeUnit,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WatchServiceConfiguration.java
jimfs,com.google.common.jimfs,WatchServiceConfiguration.PollingConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WatchServiceConfiguration.java
jimfs,com.google.common.jimfs,DowngradedDirectoryStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/DowngradedDirectoryStream.java
jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/SystemJimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/SystemJimfsFileSystemProvider.java
jimfs,com.google.common.jimfs,UserLookupService.NamedPrincipal,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: name,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/UserLookupService.java
jimfs,com.google.common.jimfs,UserLookupService.NamedPrincipal,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/UserLookupService.java
jimfs,com.google.common.jimfs,UserLookupService.JimfsUserPrincipal,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/UserLookupService.java
jimfs,com.google.common.jimfs,UserLookupService.JimfsUserPrincipal,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/UserLookupService.java
