Project,Package,Class,Method,Smell,Description,Method start line no,File
jimfs,com.google.common.jimfs,Options,addWrite,Long Statement,The length of the statement "return options.contains(WRITE) ? ImmutableSet.copyOf(options) : ImmutableSet.<OpenOption>builder().add(WRITE).addAll(options).build();" is 134.,126,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Options.java
jimfs,com.google.common.jimfs,JimfsFileStore,JimfsFileStore,Long Parameter List,The method has 6 parameters. ,62,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileStore.java
jimfs,com.google.common.jimfs,FileSystemView,link,Long Statement,The length of the statement "throw new FileSystemException(link.toString()`existing.toString()`"can't link: source and target are in different file system instances");" is 138.,394,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,FileSystemView,copy,Complex Method,Cyclomatic complexity of the method is 11,504,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,FileSystemView,copy,Long Parameter List,The method has 5 parameters. ,504,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,AttributeProvider,set,Long Parameter List,The method has 5 parameters. ,92,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AttributeProvider.java
jimfs,com.google.common.jimfs,AttributeProvider,invalidType,Long Statement,The length of the statement "throw new IllegalArgumentException("invalid type " + value.getClass() + " for attribute '"+ view+ ":"+ attribute+ "': expected "+ expected);" is 140.,159,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AttributeProvider.java
jimfs,com.google.common.jimfs,JimfsFileSystem,JimfsFileSystem,Long Parameter List,The method has 6 parameters. ,181,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystem.java
jimfs,com.google.common.jimfs,JimfsFileSystem,getDefaultThreadPool,Long Statement,The length of the statement "defaultThreadPool=Executors.newCachedThreadPool(new ThreadFactoryBuilder().setDaemon(true).setNameFormat("JimfsFileSystem-" + uri.getHost() + "-defaultThreadPool-%s").build());" is 176.,290,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystem.java
jimfs,com.google.common.jimfs,AclAttributeProvider,set,Long Parameter List,The method has 5 parameters. ,83,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java
jimfs,com.google.common.jimfs,AclAttributeProvider,toAcl,Long Statement,The length of the statement "throw new IllegalArgumentException("invalid element for attribute 'acl:acl': should be List<AclEntry>` " + "found element of type " + obj.getClass());" is 150.,91,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java
jimfs,com.google.common.jimfs,PollingWatchService,PollingWatchService,Long Parameter List,The method has 5 parameters. ,78,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PollingWatchService.java
jimfs,com.google.common.jimfs,PollingWatchService,checkWatchable,Long Statement,The length of the statement "throw new IllegalArgumentException("watchable (" + watchable + ") must be a Path "+ "associated with the same file system as this watch service");" is 146.,115,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PollingWatchService.java
jimfs,com.google.common.jimfs,PathService,PathService,Long Statement,The length of the statement "this(config.pathType`config.nameDisplayNormalization`config.nameCanonicalNormalization`config.pathEqualityUsesCanonicalForm);" is 125.,72,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,hash,Magic Number,The method contains a magic number: 31,202,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,compare,Long Statement,The length of the statement "Comparator<JimfsPath> comparator=Comparator.comparing(JimfsPath::root`rootComparator).thenComparing(JimfsPath::names`namesComparator);" is 134.,229,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
jimfs,com.google.common.jimfs,PathService,createPathMatcher,Long Statement,The length of the statement "return PathMatchers.getPathMatcher(syntaxAndPattern`type.getSeparator() + type.getOtherSeparators()`equalityUsesCanonicalForm ? canonicalNormalizations : displayNormalizations);" is 177.,253,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathService.java
