Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jimfs,com.google.common.jimfs,FileTimeSource,now,0,1,0,27,0,,
jimfs,com.google.common.jimfs,Options,Options,2,1,0,44,0,,
jimfs,com.google.common.jimfs,Options,getLinkOptions,3,1,1,61,0,,
jimfs,com.google.common.jimfs,Options,getOptionsForChannel,17,5,1,66,0,com.google.common.jimfs.Options,com.google.common.jimfs.Options
jimfs,com.google.common.jimfs,Options,getOptionsForInputStream,14,4,1,94,0,,
jimfs,com.google.common.jimfs,Options,getOptionsForOutputStream,10,3,1,113,0,com.google.common.jimfs.Options,com.google.common.jimfs.Options
jimfs,com.google.common.jimfs,Options,addWrite,3,1,1,126,0,,
jimfs,com.google.common.jimfs,Options,getMoveOptions,3,1,1,136,0,,
jimfs,com.google.common.jimfs,Options,getCopyOptions,7,2,1,141,0,,
jimfs,com.google.common.jimfs,JimfsFileSystems,JimfsFileSystems,2,1,0,33,0,,
jimfs,com.google.common.jimfs,JimfsFileSystems,run,2,1,0,37,0,,
jimfs,com.google.common.jimfs,JimfsFileSystems,removeFileSystemRunnable,12,2,1,41,0,,
jimfs,com.google.common.jimfs,JimfsFileSystems,newFileSystem,10,1,3,64,0,com.google.common.jimfs.JimfsFileSystems,com.google.common.jimfs.JimfsFileSystems
jimfs,com.google.common.jimfs,JimfsFileSystems,createFileStore,17,3,3,85,0,,
jimfs,com.google.common.jimfs,JimfsFileSystems,createDefaultView,14,3,3,113,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,JimfsFileStore,11,1,6,62,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,state,3,1,0,83,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,readLock,3,1,0,88,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,writeLock,3,1,0,93,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getRootDirectoryNames,4,1,0,98,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getRoot,4,1,1,104,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,supportsFeature,3,1,1,110,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,lookUp,4,1,3,115,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,regularFileCreator,4,1,0,130,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,directoryCreator,4,1,0,136,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,symbolicLinkCreator,4,1,1,142,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,copyWithoutContent,6,1,2,148,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,setInitialAttributes,4,1,2,159,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getFileAttributeView,4,1,2,168,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,readAttributes,4,1,2,177,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,readAttributes,4,1,2,185,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,setAttribute,4,1,3,195,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,supportedFileAttributeViews,4,1,0,202,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,name,3,1,0,210,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,type,3,1,0,215,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,isReadOnly,3,1,0,220,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getTotalSpace,4,1,0,225,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getUsableSpace,4,1,0,231,0,com.google.common.jimfs.JimfsFileStore,com.google.common.jimfs.JimfsFileStore
jimfs,com.google.common.jimfs,JimfsFileStore,getUnallocatedSpace,4,1,0,237,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,supportsFileAttributeView,4,1,1,243,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,supportsFileAttributeView,4,1,1,249,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getFileStoreAttributeView,4,1,1,255,0,,
jimfs,com.google.common.jimfs,JimfsFileStore,getAttribute,3,1,1,261,0,,
jimfs,com.google.common.jimfs,Java8Compatibility,clear,3,1,1,24,0,,
jimfs,com.google.common.jimfs,Java8Compatibility,Java8Compatibility,2,1,0,28,0,,
jimfs,com.google.common.jimfs,FileSystemView,FileSystemView,5,1,3,73,0,,
jimfs,com.google.common.jimfs,FileSystemView,isSameFileSystem,3,1,1,81,0,,
jimfs,com.google.common.jimfs,FileSystemView,state,3,1,0,86,0,,
jimfs,com.google.common.jimfs,FileSystemView,now,3,1,0,91,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,getWorkingDirectoryPath,3,1,0,95,0,,
jimfs,com.google.common.jimfs,FileSystemView,lookUpWithLock,9,1,2,103,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,lookUp,3,1,2,114,0,,
jimfs,com.google.common.jimfs,FileSystemView,newDirectoryStream,6,1,4,120,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,snapshotWorkingDirectoryEntries,11,1,0,139,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,snapshotModifiedTimes,16,3,1,151,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,isSameFile,14,2,3,177,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,toRealPath,20,2,3,197,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,createDirectory,3,1,2,226,0,,
jimfs,com.google.common.jimfs,FileSystemView,createSymbolicLink,6,2,3,235,0,,
jimfs,com.google.common.jimfs,FileSystemView,createFile,23,3,4,248,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,getOrCreateRegularFile,15,4,3,289,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,lookUpRegularFile,19,3,2,312,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,getOrCreateRegularFileWithWriteLock,13,2,3,335,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,open,13,2,2,351,0,,
jimfs,com.google.common.jimfs,FileSystemView,readSymbolicLink,7,2,1,372,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,checkAccess,3,1,1,385,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,link,25,4,3,394,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,deleteFile,10,1,2,439,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,delete,8,1,3,450,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,checkDeletable,17,6,3,473,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,checkEmpty,5,2,2,497,0,,
jimfs,com.google.common.jimfs,FileSystemView,copy,71,11,5,504,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,checkMovable,5,2,2,617,0,,
jimfs,com.google.common.jimfs,FileSystemView,lockBoth,18,4,2,623,0,,
jimfs,com.google.common.jimfs,FileSystemView,checkNotAncestor,17,5,3,646,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,lockSourceAndCopy,11,3,2,669,0,,
jimfs,com.google.common.jimfs,FileSystemView,unlockSourceAndCopy,11,3,2,685,0,,
jimfs,com.google.common.jimfs,FileSystemView,getFileAttributeView,3,1,2,701,0,,
jimfs,com.google.common.jimfs,FileSystemView,getFileAttributeView,8,1,3,707,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,lookup,3,1,0,712,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,readAttributes,4,1,3,720,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,readAttributes,4,1,3,727,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,FileSystemView,setAttribute,4,1,4,734,0,com.google.common.jimfs.FileSystemView,com.google.common.jimfs.FileSystemView
jimfs,com.google.common.jimfs,AttributeProvider,name,0,1,0,36,0,,
jimfs,com.google.common.jimfs,AttributeProvider,inherits,3,1,0,39,0,,
jimfs,com.google.common.jimfs,AttributeProvider,viewType,0,1,0,44,0,,
jimfs,com.google.common.jimfs,AttributeProvider,view,0,1,2,47,0,,
jimfs,com.google.common.jimfs,AttributeProvider,defaultValues,3,1,1,54,0,,
jimfs,com.google.common.jimfs,AttributeProvider,fixedAttributes,0,1,0,70,0,,
jimfs,com.google.common.jimfs,AttributeProvider,supports,3,1,1,73,0,com.google.common.jimfs.AttributeProvider,com.google.common.jimfs.AttributeProvider
jimfs,com.google.common.jimfs,AttributeProvider,attributes,3,1,1,78,0,com.google.common.jimfs.AttributeProvider,com.google.common.jimfs.AttributeProvider
jimfs,com.google.common.jimfs,AttributeProvider,get,0,1,2,86,0,,
jimfs,com.google.common.jimfs,AttributeProvider,set,0,1,5,92,0,,
jimfs,com.google.common.jimfs,AttributeProvider,attributesType,3,1,0,106,0,,
jimfs,com.google.common.jimfs,AttributeProvider,readAttributes,3,1,1,114,0,,
jimfs,com.google.common.jimfs,AttributeProvider,unsettable,4,1,3,126,0,com.google.common.jimfs.AttributeProvider,com.google.common.jimfs.AttributeProvider
jimfs,com.google.common.jimfs,AttributeProvider,checkNotCreate,5,2,3,135,0,,
jimfs,com.google.common.jimfs,AttributeProvider,checkType,7,2,4,146,0,,
jimfs,com.google.common.jimfs,AttributeProvider,invalidType,4,1,4,159,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,JimfsFileSystem,8,1,6,181,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,provider,3,1,0,196,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getUri,3,1,0,201,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getDefaultView,3,1,0,206,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getSeparator,3,1,0,211,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getRootDirectories,7,2,0,216,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getWorkingDirectory,3,1,0,226,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getPathService,3,1,0,231,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getFileStore,3,1,0,237,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getFileStores,4,1,0,242,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,supportedFileAttributeViews,3,1,0,248,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,getPath,4,1,2,253,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,toUri,4,1,1,259,0,,
jimfs,com.google.common.jimfs,JimfsFileSystem,toPath,4,1,1,265,0,,
