Project,Package,Class,Smell,Description,File
jimfs,com.google.common.jimfs,JimfsFileSystems,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystems.java
jimfs,com.google.common.jimfs,JimfsFileStore,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileStore.java
jimfs,com.google.common.jimfs,FileSystemView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java
jimfs,com.google.common.jimfs,FileFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileFactory.java
jimfs,com.google.common.jimfs,PathType.ParseResult,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PathType.java
jimfs,com.google.common.jimfs,Configuration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,Configuration.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,RegularFileTest.TestConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/RegularFileTest.java
jimfs,com.google.common.jimfs,RegularFileTest.RegularFileTestRunner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/RegularFileTest.java
jimfs,com.google.common.jimfs,PathTester,Law of Demeter violation,The tool detected the smell in this method (testParents) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.jimfs.PathTester.names; com.google.common.jimfs.PathTester.root,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathTester.java
jimfs,com.google.common.jimfs,PathTester,Law of Demeter violation,The tool detected the smell in this method (testSubpaths) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.jimfs.PathTester.names; com.google.common.jimfs.PathTester.test,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathTester.java
jimfs,com.google.common.jimfs,PathTester,Law of Demeter violation,The tool detected the smell in this method (testSubpaths) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.jimfs.PathTester.names; com.google.common.jimfs.PathTester.test,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathTester.java
