Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
jimfs,com.google.common.jimfs,FileTimeSource,0,0,1,0,10,1,2,0,-1.0,5,0,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileTimeSource.java,21
jimfs,com.google.common.jimfs,Options,5,2,8,6,97,18,0,0,0.375,8,0,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Options.java,36
jimfs,com.google.common.jimfs,JimfsFileSystems,1,0,6,2,78,11,0,0,0.5,1,15,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystems.java,26
jimfs,com.google.common.jimfs,JimfsFileStore,8,0,28,11,181,28,0,0,0.17857142857142858,3,13,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileStore.java,39
jimfs,com.google.common.jimfs,Java8Compatibility,0,0,2,0,10,2,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Java8Compatibility.java,19
jimfs,com.google.common.jimfs,FileSystemView,3,0,38,22,546,84,0,0,0.0,6,16,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java,55
jimfs,com.google.common.jimfs,FileSystemView.DeleteMode,0,0,0,0,13,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/FileSystemView.java,463
jimfs,com.google.common.jimfs,AttributeProvider,0,0,16,12,101,18,8,0,-1.0,4,2,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AttributeProvider.java,29
jimfs,com.google.common.jimfs,JimfsFileSystem,8,0,22,20,129,24,0,0,0.09090909090909091,7,6,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsFileSystem.java,38
jimfs,com.google.common.jimfs,AclAttributeProvider,4,0,9,8,79,14,0,1,0.7777777777777778,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java,34
jimfs,com.google.common.jimfs,AclAttributeProvider.View,1,0,0,0,26,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/AclAttributeProvider.java,117
jimfs,com.google.common.jimfs,PollingWatchService,11,0,11,4,147,17,0,1,0.0,3,5,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/PollingWatchService.java,46
