Project,Package,Class,Smell,Description,File
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java
jitwatch,(default package),TestInner.Inner1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java
jitwatch,(default package),TestInner.Inner1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java
jitwatch,(default package),TestInner.Inner2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java
jitwatch,(default package),TestInner.Inner2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java
jitwatch,(default package),PolymorphismTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: moneyBox,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Coin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Nickel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Nickel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Dime,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Dime,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Quarter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest.Quarter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),EscapeTestMultipleFields.Wrapper1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: v1; v2; v3,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java
jitwatch,(default package),EscapeTestMultipleFields.Wrapper1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java
jitwatch,(default package),EscapeTestMultipleFields.Wrapper2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: v1; v2; v3,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java
jitwatch,(default package),EscapeTestMultipleFields.Wrapper2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java
