Project,Package,Class,Method,Smell,Description,Method start line no,File
jitwatch,(default package),PartialEscapeFail,run,Magic Number,The method contains a magic number: 100_000_000,27,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java
jitwatch,(default package),DoesItVectoriseValue,DoesItVectoriseValue,Magic Number,The method contains a magic number: 1024,3,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/DoesItVectoriseValue.java
jitwatch,(default package),DoesItVectoriseValue,DoesItVectoriseValue,Magic Number,The method contains a magic number: 1_000_000,3,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/DoesItVectoriseValue.java
jitwatch,(default package),EscapeTestUnboxing,EscapeTestUnboxing,Magic Number,The method contains a magic number: 100_000,8,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestUnboxing.java
jitwatch,(default package),ElisionTest,ElisionTest,Magic Number,The method contains a magic number: 100_000,5,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/ElisionTest.java
jitwatch,(default package),PolymorphismTest,PolymorphismTest,Magic Number,The method contains a magic number: 2,34,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest,PolymorphismTest,Magic Number,The method contains a magic number: 1_000_000,34,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest,PolymorphismTest,Magic Number,The method contains a magic number: 2,34,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),PolymorphismTest,PolymorphismTest,Missing default,The following switch statement is missing a default case: switch (i % maxImplementations) {,34,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),LockEliminate,LockEliminate,Magic Number,The method contains a magic number: 1_000_000,3,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/LockEliminate.java
jitwatch,(default package),LockEliminate,increment,Magic Number,The method contains a magic number: 0xDEAD,21,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/LockEliminate.java
jitwatch,(default package),LockEliminate,decrement,Magic Number,The method contains a magic number: 0xBEEF,26,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/LockEliminate.java
