Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jitwatch,(default package),PartialEscapeFail,run,15,3,0,27,0,,
jitwatch,(default package),PartialEscapeFail,main,3,1,1,53,0,,
jitwatch,(default package),DoesItVectoriseValue,DoesItVectoriseValue,9,3,0,3,0,,
jitwatch,(default package),DoesItVectoriseValue,incrementArray,6,2,2,18,0,,
jitwatch,(default package),DoesItVectoriseValue,of,3,1,1,37,0,,
jitwatch,(default package),DoesItVectoriseValue,canAdvance,3,1,0,42,0,,
jitwatch,(default package),DoesItVectoriseValue,advance,3,1,0,47,0,,
jitwatch,(default package),DoesItVectoriseValue,main,3,1,1,53,0,,
jitwatch,(default package),TestInner,TestInner,5,1,0,3,0,,
jitwatch,(default package),TestInner,a,3,1,0,12,0,,
jitwatch,(default package),TestInner,main,3,1,1,50,0,,
jitwatch,(default package),EscapeTestUnboxing,EscapeTestUnboxing,10,3,0,8,0,,
jitwatch,(default package),EscapeTestUnboxing,main,3,1,1,25,0,,
jitwatch,(default package),ElisionTest,ElisionTest,11,3,0,5,0,,
jitwatch,(default package),ElisionTest,main,3,1,1,24,0,,
jitwatch,(default package),PolymorphismTest,PolymorphismTest,19,5,0,34,0,,
jitwatch,(default package),PolymorphismTest,main,3,1,1,63,0,,
jitwatch,(default package),LockEliminate,LockEliminate,11,2,0,3,0,,
jitwatch,(default package),LockEliminate,increment,3,1,1,21,0,,
jitwatch,(default package),LockEliminate,decrement,3,1,1,26,0,,
jitwatch,(default package),LockEliminate,main,3,1,1,31,0,,
jitwatch,(default package),DoesItVectorise,DoesItVectorise,9,3,0,3,0,,
jitwatch,(default package),DoesItVectorise,incrementArray,6,2,2,18,0,,
jitwatch,(default package),DoesItVectorise,main,3,1,1,28,0,,
jitwatch,(default package),OSRTest,OSRTest,17,5,0,3,0,,
jitwatch,(default package),OSRTest,main,3,1,1,32,0,,
jitwatch,(default package),EscapeTestMultipleFields,run,22,4,0,22,0,,
jitwatch,(default package),EscapeTestMultipleFields,main,4,1,1,60,0,,
jitwatch,(default package),SafePointTest,SafePointTest,11,3,0,13,0,,
jitwatch,(default package),SafePointTest,incCounter,3,1,0,33,0,,
jitwatch,(default package),SafePointTest,main,3,1,1,38,0,,
jitwatch,(default package),InliningChains,main,3,1,1,3,0,,
jitwatch,(default package),InliningChains,InliningChains,8,2,0,8,0,,
jitwatch,(default package),InliningChains,chainA1,3,1,1,21,0,,
jitwatch,(default package),InliningChains,chainA2,3,1,1,26,0,,
jitwatch,(default package),InliningChains,chainA3,3,1,1,31,0,,
jitwatch,(default package),InliningChains,chainA4,3,1,1,36,0,,
jitwatch,(default package),InliningChains,chainB1,3,1,1,42,0,,
jitwatch,(default package),InliningChains,chainB2,3,1,1,47,0,,
jitwatch,(default package),InliningChains,chainB3,3,1,1,52,0,,
jitwatch,(default package),InliningChains,bigMethod,54,1,2,57,0,,
jitwatch,(default package),StringBufferLockElision,StringBufferLockElision,8,2,0,3,0,,
jitwatch,(default package),StringBufferLockElision,concatPieces,7,1,3,17,0,,
jitwatch,(default package),StringBufferLockElision,main,3,1,1,28,0,,
jitwatch,(default package),CodeCacheBuster,t0,3,1,1,7,0,,
jitwatch,(default package),CodeCacheBuster,t1,3,1,1,12,0,,
jitwatch,(default package),CodeCacheBuster,t2,3,1,1,17,0,,
jitwatch,(default package),CodeCacheBuster,t3,3,1,1,22,0,,
jitwatch,(default package),CodeCacheBuster,t4,3,1,1,27,0,,
jitwatch,(default package),CodeCacheBuster,t5,3,1,1,32,0,,
jitwatch,(default package),CodeCacheBuster,t6,3,1,1,37,0,,
jitwatch,(default package),CodeCacheBuster,t7,3,1,1,42,0,,
jitwatch,(default package),CodeCacheBuster,t8,3,1,1,47,0,,
jitwatch,(default package),CodeCacheBuster,t9,3,1,1,52,0,,
jitwatch,(default package),CodeCacheBuster,t10,3,1,1,57,0,,
jitwatch,(default package),CodeCacheBuster,t11,3,1,1,62,0,,
jitwatch,(default package),CodeCacheBuster,t12,3,1,1,67,0,,
jitwatch,(default package),CodeCacheBuster,t13,3,1,1,72,0,,
jitwatch,(default package),CodeCacheBuster,t14,3,1,1,77,0,,
jitwatch,(default package),CodeCacheBuster,t15,3,1,1,82,0,,
jitwatch,(default package),CodeCacheBuster,t16,3,1,1,87,0,,
jitwatch,(default package),CodeCacheBuster,t17,3,1,1,92,0,,
jitwatch,(default package),CodeCacheBuster,t18,3,1,1,97,0,,
jitwatch,(default package),CodeCacheBuster,t19,3,1,1,102,0,,
jitwatch,(default package),CodeCacheBuster,t20,3,1,1,107,0,,
jitwatch,(default package),CodeCacheBuster,t21,3,1,1,112,0,,
jitwatch,(default package),CodeCacheBuster,t22,3,1,1,117,0,,
jitwatch,(default package),CodeCacheBuster,t23,3,1,1,122,0,,
jitwatch,(default package),CodeCacheBuster,t24,3,1,1,127,0,,
jitwatch,(default package),CodeCacheBuster,t25,3,1,1,132,0,,
jitwatch,(default package),CodeCacheBuster,t26,3,1,1,137,0,,
jitwatch,(default package),CodeCacheBuster,t27,3,1,1,142,0,,
jitwatch,(default package),CodeCacheBuster,t28,3,1,1,147,0,,
jitwatch,(default package),CodeCacheBuster,t29,3,1,1,152,0,,
jitwatch,(default package),CodeCacheBuster,t30,3,1,1,157,0,,
jitwatch,(default package),CodeCacheBuster,t31,3,1,1,162,0,,
jitwatch,(default package),CodeCacheBuster,t32,3,1,1,167,0,,
jitwatch,(default package),CodeCacheBuster,t33,3,1,1,172,0,,
jitwatch,(default package),CodeCacheBuster,t34,3,1,1,177,0,,
jitwatch,(default package),CodeCacheBuster,t35,3,1,1,182,0,,
jitwatch,(default package),CodeCacheBuster,t36,3,1,1,187,0,,
jitwatch,(default package),CodeCacheBuster,t37,3,1,1,192,0,,
jitwatch,(default package),CodeCacheBuster,t38,3,1,1,197,0,,
jitwatch,(default package),CodeCacheBuster,t39,3,1,1,202,0,,
jitwatch,(default package),CodeCacheBuster,t40,3,1,1,207,0,,
jitwatch,(default package),CodeCacheBuster,t41,3,1,1,212,0,,
jitwatch,(default package),CodeCacheBuster,t42,3,1,1,217,0,,
jitwatch,(default package),CodeCacheBuster,t43,3,1,1,222,0,,
jitwatch,(default package),CodeCacheBuster,t44,3,1,1,227,0,,
jitwatch,(default package),CodeCacheBuster,t45,3,1,1,232,0,,
jitwatch,(default package),CodeCacheBuster,t46,3,1,1,237,0,,
jitwatch,(default package),CodeCacheBuster,t47,3,1,1,242,0,,
jitwatch,(default package),CodeCacheBuster,t48,3,1,1,247,0,,
jitwatch,(default package),CodeCacheBuster,t49,3,1,1,252,0,,
jitwatch,(default package),CodeCacheBuster,t50,3,1,1,257,0,,
jitwatch,(default package),CodeCacheBuster,t51,3,1,1,262,0,,
jitwatch,(default package),CodeCacheBuster,t52,3,1,1,267,0,,
jitwatch,(default package),CodeCacheBuster,t53,3,1,1,272,0,,
jitwatch,(default package),CodeCacheBuster,t54,3,1,1,277,0,,
jitwatch,(default package),CodeCacheBuster,t55,3,1,1,282,0,,
jitwatch,(default package),CodeCacheBuster,t56,3,1,1,287,0,,
jitwatch,(default package),CodeCacheBuster,t57,3,1,1,292,0,,
jitwatch,(default package),CodeCacheBuster,t58,3,1,1,297,0,,
jitwatch,(default package),CodeCacheBuster,t59,3,1,1,302,0,,
jitwatch,(default package),CodeCacheBuster,t60,3,1,1,307,0,,
jitwatch,(default package),CodeCacheBuster,t61,3,1,1,312,0,,
jitwatch,(default package),CodeCacheBuster,t62,3,1,1,317,0,,
jitwatch,(default package),CodeCacheBuster,t63,3,1,1,322,0,,
jitwatch,(default package),CodeCacheBuster,t64,3,1,1,327,0,,
jitwatch,(default package),CodeCacheBuster,t65,3,1,1,332,0,,
jitwatch,(default package),CodeCacheBuster,t66,3,1,1,337,0,,
jitwatch,(default package),CodeCacheBuster,t67,3,1,1,342,0,,
jitwatch,(default package),CodeCacheBuster,t68,3,1,1,347,0,,
jitwatch,(default package),CodeCacheBuster,t69,3,1,1,352,0,,
jitwatch,(default package),CodeCacheBuster,t70,3,1,1,357,0,,
jitwatch,(default package),CodeCacheBuster,t71,3,1,1,362,0,,
jitwatch,(default package),CodeCacheBuster,t72,3,1,1,367,0,,
jitwatch,(default package),CodeCacheBuster,t73,3,1,1,372,0,,
jitwatch,(default package),CodeCacheBuster,t74,3,1,1,377,0,,
jitwatch,(default package),CodeCacheBuster,t75,3,1,1,382,0,,
jitwatch,(default package),CodeCacheBuster,t76,3,1,1,387,0,,
jitwatch,(default package),CodeCacheBuster,t77,3,1,1,392,0,,
jitwatch,(default package),CodeCacheBuster,t78,3,1,1,397,0,,
jitwatch,(default package),CodeCacheBuster,t79,3,1,1,402,0,,
jitwatch,(default package),CodeCacheBuster,t80,3,1,1,407,0,,
jitwatch,(default package),CodeCacheBuster,t81,3,1,1,412,0,,
jitwatch,(default package),CodeCacheBuster,t82,3,1,1,417,0,,
jitwatch,(default package),CodeCacheBuster,t83,3,1,1,422,0,,
jitwatch,(default package),CodeCacheBuster,t84,3,1,1,427,0,,
jitwatch,(default package),CodeCacheBuster,t85,3,1,1,432,0,,
jitwatch,(default package),CodeCacheBuster,t86,3,1,1,437,0,,
jitwatch,(default package),CodeCacheBuster,t87,3,1,1,442,0,,
jitwatch,(default package),CodeCacheBuster,t88,3,1,1,447,0,,
jitwatch,(default package),CodeCacheBuster,t89,3,1,1,452,0,,
jitwatch,(default package),CodeCacheBuster,t90,3,1,1,457,0,,
jitwatch,(default package),CodeCacheBuster,t91,3,1,1,462,0,,
jitwatch,(default package),CodeCacheBuster,t92,3,1,1,467,0,,
jitwatch,(default package),CodeCacheBuster,t93,3,1,1,472,0,,
jitwatch,(default package),CodeCacheBuster,t94,3,1,1,477,0,,
jitwatch,(default package),CodeCacheBuster,t95,3,1,1,482,0,,
jitwatch,(default package),CodeCacheBuster,t96,3,1,1,487,0,,
jitwatch,(default package),CodeCacheBuster,t97,3,1,1,492,0,,
jitwatch,(default package),CodeCacheBuster,t98,3,1,1,497,0,,
jitwatch,(default package),CodeCacheBuster,t99,3,1,1,502,0,,
jitwatch,(default package),CodeCacheBuster,t100,3,1,1,507,0,,
jitwatch,(default package),CodeCacheBuster,t101,3,1,1,512,0,,
jitwatch,(default package),CodeCacheBuster,t102,3,1,1,517,0,,
jitwatch,(default package),CodeCacheBuster,t103,3,1,1,522,0,,
jitwatch,(default package),CodeCacheBuster,t104,3,1,1,527,0,,
jitwatch,(default package),CodeCacheBuster,t105,3,1,1,532,0,,
jitwatch,(default package),CodeCacheBuster,t106,3,1,1,537,0,,
jitwatch,(default package),CodeCacheBuster,t107,3,1,1,542,0,,
jitwatch,(default package),CodeCacheBuster,t108,3,1,1,547,0,,
jitwatch,(default package),CodeCacheBuster,t109,3,1,1,552,0,,
jitwatch,(default package),CodeCacheBuster,t110,3,1,1,557,0,,
jitwatch,(default package),CodeCacheBuster,t111,3,1,1,562,0,,
jitwatch,(default package),CodeCacheBuster,t112,3,1,1,567,0,,
jitwatch,(default package),CodeCacheBuster,t113,3,1,1,572,0,,
jitwatch,(default package),CodeCacheBuster,t114,3,1,1,577,0,,
jitwatch,(default package),CodeCacheBuster,t115,3,1,1,582,0,,
jitwatch,(default package),CodeCacheBuster,t116,3,1,1,587,0,,
jitwatch,(default package),CodeCacheBuster,t117,3,1,1,592,0,,
jitwatch,(default package),CodeCacheBuster,t118,3,1,1,597,0,,
jitwatch,(default package),CodeCacheBuster,t119,3,1,1,602,0,,
jitwatch,(default package),CodeCacheBuster,t120,3,1,1,607,0,,
jitwatch,(default package),CodeCacheBuster,t121,3,1,1,612,0,,
jitwatch,(default package),CodeCacheBuster,t122,3,1,1,617,0,,
jitwatch,(default package),CodeCacheBuster,t123,3,1,1,622,0,,
jitwatch,(default package),CodeCacheBuster,t124,3,1,1,627,0,,
jitwatch,(default package),CodeCacheBuster,t125,3,1,1,632,0,,
jitwatch,(default package),CodeCacheBuster,t126,3,1,1,637,0,,
jitwatch,(default package),CodeCacheBuster,t127,3,1,1,642,0,,
jitwatch,(default package),CodeCacheBuster,t128,3,1,1,647,0,,
jitwatch,(default package),CodeCacheBuster,t129,3,1,1,652,0,,
jitwatch,(default package),CodeCacheBuster,t130,3,1,1,657,0,,
jitwatch,(default package),CodeCacheBuster,t131,3,1,1,662,0,,
jitwatch,(default package),CodeCacheBuster,t132,3,1,1,667,0,,
jitwatch,(default package),CodeCacheBuster,t133,3,1,1,672,0,,
jitwatch,(default package),CodeCacheBuster,t134,3,1,1,677,0,,
jitwatch,(default package),CodeCacheBuster,t135,3,1,1,682,0,,
jitwatch,(default package),CodeCacheBuster,t136,3,1,1,687,0,,
jitwatch,(default package),CodeCacheBuster,t137,3,1,1,692,0,,
jitwatch,(default package),CodeCacheBuster,t138,3,1,1,697,0,,
jitwatch,(default package),CodeCacheBuster,t139,3,1,1,702,0,,
jitwatch,(default package),CodeCacheBuster,t140,3,1,1,707,0,,
jitwatch,(default package),CodeCacheBuster,t141,3,1,1,712,0,,
jitwatch,(default package),CodeCacheBuster,t142,3,1,1,717,0,,
jitwatch,(default package),CodeCacheBuster,t143,3,1,1,722,0,,
jitwatch,(default package),CodeCacheBuster,t144,3,1,1,727,0,,
jitwatch,(default package),CodeCacheBuster,t145,3,1,1,732,0,,
jitwatch,(default package),CodeCacheBuster,t146,3,1,1,737,0,,
jitwatch,(default package),CodeCacheBuster,t147,3,1,1,742,0,,
jitwatch,(default package),CodeCacheBuster,t148,3,1,1,747,0,,
jitwatch,(default package),CodeCacheBuster,t149,3,1,1,752,0,,
jitwatch,(default package),CodeCacheBuster,t150,3,1,1,757,0,,
jitwatch,(default package),CodeCacheBuster,t151,3,1,1,762,0,,
jitwatch,(default package),CodeCacheBuster,t152,3,1,1,767,0,,
jitwatch,(default package),CodeCacheBuster,t153,3,1,1,772,0,,
jitwatch,(default package),CodeCacheBuster,t154,3,1,1,777,0,,
jitwatch,(default package),CodeCacheBuster,t155,3,1,1,782,0,,
jitwatch,(default package),CodeCacheBuster,t156,3,1,1,787,0,,
jitwatch,(default package),CodeCacheBuster,t157,3,1,1,792,0,,
jitwatch,(default package),CodeCacheBuster,t158,3,1,1,797,0,,
jitwatch,(default package),CodeCacheBuster,t159,3,1,1,802,0,,
jitwatch,(default package),CodeCacheBuster,t160,3,1,1,807,0,,
jitwatch,(default package),CodeCacheBuster,t161,3,1,1,812,0,,
jitwatch,(default package),CodeCacheBuster,t162,3,1,1,817,0,,
jitwatch,(default package),CodeCacheBuster,t163,3,1,1,822,0,,
jitwatch,(default package),CodeCacheBuster,t164,3,1,1,827,0,,
jitwatch,(default package),CodeCacheBuster,t165,3,1,1,832,0,,
jitwatch,(default package),CodeCacheBuster,t166,3,1,1,837,0,,
jitwatch,(default package),CodeCacheBuster,t167,3,1,1,842,0,,
jitwatch,(default package),CodeCacheBuster,t168,3,1,1,847,0,,
jitwatch,(default package),CodeCacheBuster,t169,3,1,1,852,0,,
jitwatch,(default package),CodeCacheBuster,t170,3,1,1,857,0,,
jitwatch,(default package),CodeCacheBuster,t171,3,1,1,862,0,,
