Project,Package,Class,Smell,Description,File
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java
jitwatch,(default package),PolymorphismTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox (8),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java
jitwatch,(default package),MegamorphicBypass,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox (11),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/MegamorphicBypass.java
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/target/classes/examples/PartialEscapeFail.java
jitwatch,(default package),PolymorphismTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox (8),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/target/classes/examples/PolymorphismTest.java
jitwatch,(default package),MegamorphicBypass,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox (11),/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/target/classes/examples/MegamorphicBypass.java
jitwatch,org.adoptopenjdk.jitwatch.toplist,MostUsedIntrinsicsTopListVisitable,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.adoptopenjdk.jitwatch.intrinsic.IntrinsicFinder,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/toplist/MostUsedIntrinsicsTopListVisitable.java
jitwatch,org.adoptopenjdk.jitwatch.toplist,HotThrowTopListVisitable,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.adoptopenjdk.jitwatch.hotthrow.HotThrowFinder,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/toplist/HotThrowTopListVisitable.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.adoptopenjdk.jitwatch.inline.HeadlessInlineVisitor,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Law of Demeter violation,The tool detected the smell in this method (handleJITEvent) because the method voilates the law of Demeter. The long chain of method invocations is : org.adoptopenjdk.jitwatch.model.EventType.getText; org.adoptopenjdk.jitwatch.model.JITEvent.getEventType,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Law of Demeter violation,The tool detected the smell in this method (handleJITEvent) because the method voilates the law of Demeter. The long chain of method invocations is : org.adoptopenjdk.jitwatch.model.IMetaMember.getMetaClass; org.adoptopenjdk.jitwatch.model.JITEvent.getEventMember; org.adoptopenjdk.jitwatch.model.MetaClass.getFullyQualifiedName,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Law of Demeter violation,The tool detected the smell in this method (handleJITEvent) because the method voilates the law of Demeter. The long chain of method invocations is : org.adoptopenjdk.jitwatch.model.JITEvent.getEventMember; org.adoptopenjdk.jitwatch.model.IMetaMember.toStringUnqualifiedMethodName,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Law of Demeter violation,The tool detected the smell in this method (getSuggestions) because the method voilates the law of Demeter. The long chain of method invocations is : org.adoptopenjdk.jitwatch.model.IMetaMember.getMetaClass; org.adoptopenjdk.jitwatch.report.Report.getCaller; org.adoptopenjdk.jitwatch.model.MetaClass.getFullyQualifiedName,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.launch,LaunchHeadless,Law of Demeter violation,The tool detected the smell in this method (getSuggestions) because the method voilates the law of Demeter. The long chain of method invocations is : org.adoptopenjdk.jitwatch.report.Report.getCaller; org.adoptopenjdk.jitwatch.model.IMetaMember.toStringUnqualifiedMethodName,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/launch/LaunchHeadless.java
jitwatch,org.adoptopenjdk.jitwatch.jarscan.sequencecount,SequenceCountOperation,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.adoptopenjdk.jitwatch.jarscan.sequencecount.InstructionSequence,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/java/org/adoptopenjdk/jitwatch/jarscan/sequencecount/SequenceCountOperation.java
