Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
jitwatch,(default package),PartialEscapeFail,0,0,2,2,30,4,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java,1
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,0,0,0,0,10,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PartialEscapeFail.java,3
jitwatch,(default package),DoesItVectoriseValue,0,0,6,6,36,9,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/DoesItVectoriseValue.java,1
jitwatch,(default package),TestInner,0,0,3,3,32,3,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java,1
jitwatch,(default package),TestInner.Inner1,0,0,0,0,19,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java,17
jitwatch,(default package),TestInner.Inner2,0,0,0,0,9,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/TestInner.java,33
jitwatch,(default package),EscapeTestUnboxing,1,0,2,2,16,4,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestUnboxing.java,4
jitwatch,(default package),ElisionTest,0,0,2,2,16,4,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/ElisionTest.java,3
jitwatch,(default package),PolymorphismTest,1,1,2,2,43,6,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java,1
jitwatch,(default package),PolymorphismTest.Coin,0,0,0,0,3,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java,3
jitwatch,(default package),PolymorphismTest.Nickel,0,0,0,0,5,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java,10
jitwatch,(default package),PolymorphismTest.Dime,0,0,0,0,5,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java,18
jitwatch,(default package),PolymorphismTest.Quarter,0,0,0,0,5,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/PolymorphismTest.java,26
jitwatch,(default package),LockEliminate,0,0,4,2,22,5,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/LockEliminate.java,1
jitwatch,(default package),DoesItVectorise,0,0,3,3,20,6,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/DoesItVectorise.java,1
jitwatch,(default package),OSRTest,0,0,2,2,22,6,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/OSRTest.java,1
jitwatch,(default package),EscapeTestMultipleFields,7,0,2,2,58,5,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java,1
jitwatch,(default package),EscapeTestMultipleFields.Wrapper1,3,0,0,0,16,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java,3
jitwatch,(default package),EscapeTestMultipleFields.Wrapper2,3,0,0,0,13,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestMultipleFields.java,12
jitwatch,(default package),SafePointTest,3,0,3,3,22,5,0,0,0.6666666666666666,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/SafePointTest.java,1
jitwatch,(default package),InliningChains,0,0,10,2,88,11,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/InliningChains.java,1
jitwatch,(default package),StringBufferLockElision,0,0,3,2,20,4,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/StringBufferLockElision.java,1
jitwatch,(default package),CodeCacheBuster,1,0,5001,5001,20010,5002,0,0,0.24575084983003398,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/CodeCacheBuster.java,3
jitwatch,(default package),EscapeTestManyFields,41,0,2,2,88,5,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestManyFields.java,1
jitwatch,(default package),EscapeTestManyFields.Wrapper1,20,0,0,0,31,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestManyFields.java,3
jitwatch,(default package),EscapeTestManyFields.Wrapper2,20,0,0,0,28,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/EscapeTestManyFields.java,13
jitwatch,(default package),InlineSmallCode,2,0,4,2,35,5,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/InlineSmallCode.java,17
jitwatch,(default package),InlineSmallCode.Point,2,0,0,0,13,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jitwatch/core/src/main/resources/examples/InlineSmallCode.java,19
