Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jsoup,org.jsoup.examples,ListLinks,main,22,5,1,19,0,org.jsoup.nodes.Element,org.jsoup.nodes.Element; org.jsoup.nodes.Node; org.jsoup.helper.Validate; org.jsoup.Connection; org.jsoup.Jsoup; org.jsoup.examples.ListLinks
jsoup,org.jsoup.examples,ListLinks,print,3,1,2,50,0,,
jsoup,org.jsoup.examples,ListLinks,trim,4,2,2,54,0,,
jsoup,org.jsoup.examples,HtmlToPlainText,main,19,3,1,33,0,org.jsoup.Jsoup,org.jsoup.Jsoup; org.jsoup.Connection; org.jsoup.examples.HtmlToPlainText; org.jsoup.helper.Validate; org.jsoup.nodes.Element
jsoup,org.jsoup.examples,HtmlToPlainText,getPlainText,5,1,1,57,0,org.jsoup.select.NodeVisitor,org.jsoup.select.NodeVisitor
jsoup,org.jsoup.examples,HtmlToPlainText,trimParents,16,4,1,134,0,org.jsoup.nodes.Element,org.jsoup.nodes.Element
jsoup,org.jsoup.examples,Wikipedia,main,8,2,1,17,0,org.jsoup.nodes.Node,org.jsoup.nodes.Node; org.jsoup.Connection; org.jsoup.nodes.Element; org.jsoup.Jsoup; org.jsoup.nodes.Document
jsoup,org.jsoup.examples,Wikipedia,log,3,1,2,27,0,,
jsoup,org.jsoup,Jsoup,Jsoup,2,1,0,26,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,2,28,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,parse,3,1,3,40,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,parse,3,1,2,54,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,parse,3,1,1,68,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,connect,3,1,1,81,0,org.jsoup.helper.HttpConnection,org.jsoup.helper.HttpConnection
jsoup,org.jsoup,Jsoup,newSession,3,1,0,98,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,3,125,0,org.jsoup.helper.DataUtil,org.jsoup.helper.DataUtil
jsoup,org.jsoup,Jsoup,parse,3,1,2,140,0,org.jsoup.helper.DataUtil,org.jsoup.helper.DataUtil
jsoup,org.jsoup,Jsoup,parse,3,1,1,155,0,org.jsoup.helper.DataUtil,org.jsoup.helper.DataUtil
jsoup,org.jsoup,Jsoup,parse,3,1,4,172,0,org.jsoup.helper.DataUtil,org.jsoup.helper.DataUtil
jsoup,org.jsoup,Jsoup,parse,3,1,3,189,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,2,205,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,1,221,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,4,238,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,3,255,0,,
jsoup,org.jsoup,Jsoup,parse,3,1,4,270,0,,
jsoup,org.jsoup,Jsoup,parseBodyFragment,3,1,2,287,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,parseBodyFragment,3,1,1,300,0,org.jsoup.parser.Parser,org.jsoup.parser.Parser
jsoup,org.jsoup,Jsoup,parse,5,1,2,312,0,org.jsoup.Connection,org.jsoup.Connection
