Project,Package,Class,Method,Smell,Description,File
jsoup,org.jsoup,JsoupTest,parseWithPath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java
jsoup,org.jsoup,JsoupTest,parseWithPath,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.nodes.Document.title; org.jsoup.parser.Parser.htmlParser,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java
jsoup,org.jsoup,SerializationExceptionTest,constructors,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/SerializationExceptionTest.java
jsoup,org.jsoup.internal,StringUtilTest,join,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,padding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,padding,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.StringUtil.padding; org.jsoup.internal.StringUtil.padding,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,paddingInACan,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isNumeric,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isWhitespace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
