Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
jsoup,org.jsoup.examples,ListLinks,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Jsoup.connect; org.jsoup.Connection.get
jsoup,org.jsoup.examples,HtmlToPlainText,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Jsoup.newSession; org.jsoup.Connection.userAgent; org.jsoup.Connection.timeout
jsoup,org.jsoup.examples,HtmlToPlainText,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Connection.newRequest; org.jsoup.Connection.get
jsoup,org.jsoup.examples,Wikipedia,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Jsoup.connect; org.jsoup.Connection.get
jsoup,org.jsoup,Jsoup,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.safety.Cleaner
jsoup,org.jsoup,Jsoup,Law of Demeter violation,The tool detected the smell in this method (clean) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Element.html; org.jsoup.nodes.Document.body
jsoup,org.jsoup,Jsoup,Law of Demeter violation,The tool detected the smell in this method (clean) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Element.html; org.jsoup.nodes.Document.body
jsoup,org.jsoup,Connection,Law of Demeter violation,The tool detected the smell in this method (newRequest) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Connection.newRequest; org.jsoup.Connection.url
jsoup,org.jsoup.internal,SimpleBufferedInput,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.internal.SoftPool
jsoup,org.jsoup.internal,StringUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.internal.SoftPool
jsoup,org.jsoup.internal,StringUtil.StringJoiner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jsoup,org.jsoup.internal,StringUtilTest,Law of Demeter violation,The tool detected the smell in this method (normaliseWhiteSpaceHandlesHighSurrogates) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.Jsoup.parse; org.jsoup.nodes.Element.text
jsoup,org.jsoup.internal,ReaderTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.parser.CharacterReader
jsoup,org.jsoup.internal,SoftPoolTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.internal.SoftPool
jsoup,org.jsoup.internal,QuietAppendableTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.internal.QuietAppendable
jsoup,org.jsoup.safety,Safelist,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.nodes.Attributes
jsoup,org.jsoup.safety,Cleaner,Law of Demeter violation,The tool detected the smell in this method (isValid) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Document.head; org.jsoup.nodes.Node.childNodes
jsoup,org.jsoup.safety,Cleaner,Law of Demeter violation,The tool detected the smell in this method (isValidBodyHtml) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Element.insertChildren; org.jsoup.nodes.Document.body
jsoup,org.jsoup.safety,Cleaner,Law of Demeter violation,The tool detected the smell in this method (createSafeElement) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Element.attributes; org.jsoup.nodes.Attributes.addAll
jsoup,org.jsoup.safety,SafelistTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.nodes.Attributes; org.jsoup.safety.Safelist; org.jsoup.nodes.Attribute
jsoup,org.jsoup.safety,SafelistTest,Law of Demeter violation,The tool detected the smell in this method (testCopyConstructor_noSideEffectOnEnforcedAttributes) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.none; org.jsoup.safety.Safelist.addEnforcedAttribute
jsoup,org.jsoup.safety,CleanerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jsoup.nodes.Document; org.jsoup.safety.Safelist; org.jsoup.safety.Cleaner
jsoup,org.jsoup.safety,CleanerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (testRemoveEnforcedAttributes) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.basic; org.jsoup.safety.Safelist.removeEnforcedAttribute
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (preservesRelativeLinksIfConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.basicWithImages; org.jsoup.safety.Safelist.preserveRelativeLinks
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (dropsJavascriptWhenRelativeLinks) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.basic; org.jsoup.safety.Safelist.preserveRelativeLinks
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (dropsConcealedJavascriptProtocolWhenRelativesLinksEnabled) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.basic; org.jsoup.safety.Safelist.preserveRelativeLinks
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (dropsConcealedJavascriptProtocolWhenRelativesLinksDisabled) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.safety.Safelist.basic; org.jsoup.safety.Safelist.preserveRelativeLinks
jsoup,org.jsoup.safety,CleanerTest,Law of Demeter violation,The tool detected the smell in this method (handlesFramesets) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.nodes.Element.childNodeSize; org.jsoup.nodes.Document.body
