Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jsoup,org.jsoup.examples,ListLinks,0,0,3,1,34,8,0,0,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/examples/ListLinks.java,11
jsoup,org.jsoup.examples,HtmlToPlainText,5,0,3,1,96,8,0,0,0.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,17
jsoup,org.jsoup.examples,HtmlToPlainText.FormattingVisitor,3,0,0,0,44,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,70
jsoup,org.jsoup.examples,Wikipedia,0,0,2,1,16,3,0,0,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/examples/Wikipedia.java,10
jsoup,org.jsoup,Jsoup,0,0,24,23,269,25,0,0,-1.0,57,7,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Jsoup.java,20
jsoup,org.jsoup,UnsupportedMimeTypeException,2,0,4,4,21,4,0,0,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/UnsupportedMimeTypeException.java,5
jsoup,org.jsoup,SerializationException,0,0,4,4,33,4,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/SerializationException.java,3
jsoup,org.jsoup,HttpStatusException,2,0,3,3,18,3,0,0,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/HttpStatusException.java,5
jsoup,org.jsoup,Connection,1,0,45,1,772,45,1,0,-1.0,22,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,23
jsoup,org.jsoup,Connection.Method,1,0,0,0,18,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,50
jsoup,org.jsoup,Connection.Base,0,0,0,0,119,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,538
jsoup,org.jsoup,Connection.Request,0,0,0,0,179,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,692
jsoup,org.jsoup,Connection.Response,0,0,0,0,91,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,929
jsoup,org.jsoup,Connection.KeyVal,0,0,0,0,54,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Connection.java,1064
jsoup,org.jsoup,Progress,0,0,1,0,11,1,0,0,-1.0,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/Progress.java,3
jsoup,org.jsoup,MultiLocaleExtension,1,0,2,2,10,2,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/MultiLocaleExtension.java,15
jsoup,org.jsoup,TextUtil,5,0,3,3,24,3,0,0,0.6666666666666666,14,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/TextUtil.java,5
jsoup,org.jsoup,JsoupTest,0,0,1,0,12,1,0,0,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/JsoupTest.java,13
jsoup,org.jsoup,SerializationExceptionTest,0,0,1,0,13,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/SerializationExceptionTest.java,7
jsoup,org.jsoup.internal,SimpleStreamReader,3,0,4,3,62,16,0,0,0.0,2,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/SimpleStreamReader.java,18
