Project,Package,Smell,Description
zxing,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.79. All the dependencies among components: from: com.google.zxing.client.android.camera to: com.google.zxing.client.android.camera.open; from: com.google.zxing.client.android.camera to: com.google.zxing.client.android; from: com.google.zxing.client.j2se to: com.google.zxing.common; from: com.google.zxing.client.j2se to: com.google.zxing; from: com.google.zxing.client.j2se to: com.google.zxing.multi; from: com.google.zxing.client.j2se to: com.google.zxing.client.result; from: com.google.zxing.client.android to: com.google.zxing; from: com.google.zxing.client.android to: com.google.zxing.client.android.camera; from: com.google.zxing.client.android to: com.google.zxing.client.android.result; from: com.google.zxing.client.android to: com.google.zxing.client.android.history; from: com.google.zxing.client.android to: com.google.zxing.client.android.result.supplement; from: com.google.zxing.client.android to: com.google.zxing.client.android.clipboard; from: com.google.zxing.client.android.history to: com.google.zxing; from: com.google.zxing.client.android.history to: com.google.zxing.client.android.result; from: com.google.zxing.client.android.history to: com.google.zxing.client.android; from: com.google.zxing.client.android.result to: com.google.zxing.client.result; from: com.google.zxing.client.android.result to: com.google.zxing; from: com.google.zxing.client.android.result to: com.google.zxing.client.android; from: com.google.zxing.client.android.result.supplement to: com.google.zxing.client.result; from: com.google.zxing.client.android.result.supplement to: com.google.zxing.client.android.history; from: com.google.zxing.client.android.result.supplement to: com.google.zxing.client.android; from: com.google.zxing.client.android.encode to: com.google.zxing.client.android; from: com.google.zxing.client.android.encode to: com.google.zxing; from: com.google.zxing.client.android.encode to: com.google.zxing.client.result; from: com.google.zxing.client.android.encode to: com.google.zxing.common; from: com.google.zxing.client.android.share to: com.google.zxing.client.android; from: com.google.zxing.client.android.share to: com.google.zxing; from: com.google.zxing.client.android.share to: com.google.zxing.client.android.clipboard; from: com.google.zxing.client.android.book to: com.google.zxing.client.android; from: com.google.zxing.client.android.wifi to: com.google.zxing.client.result; from: com.google.zxing.web to: com.google.zxing.common; from: com.google.zxing.web to: com.google.zxing.qrcode.decoder; from: com.google.zxing.web to: com.google.zxing; from: com.google.zxing.web to: com.google.zxing.client.j2se; from: com.google.zxing.web to: com.google.zxing.multi; from: com.google.zxing to: com.google.zxing.common; from: com.google.zxing to: com.google.zxing.common.detector; from: com.google.zxing.maxicode to: com.google.zxing; from: com.google.zxing.maxicode to: com.google.zxing.maxicode.decoder; from: com.google.zxing.maxicode to: com.google.zxing.common; from: com.google.zxing.maxicode.decoder to: com.google.zxing; from: com.google.zxing.maxicode.decoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.maxicode.decoder to: com.google.zxing.common; from: com.google.zxing.common to: com.google.zxing; from: com.google.zxing.common.detector to: com.google.zxing.common; from: com.google.zxing.common.detector to: com.google.zxing; from: com.google.zxing.oned to: com.google.zxing.common; from: com.google.zxing.oned to: com.google.zxing; from: com.google.zxing.oned.rss to: com.google.zxing; from: com.google.zxing.oned.rss to: com.google.zxing.common.detector; from: com.google.zxing.oned.rss to: com.google.zxing.common; from: com.google.zxing.oned.rss.expanded.decoders to: com.google.zxing.common; from: com.google.zxing.oned.rss.expanded.decoders to: com.google.zxing; from: com.google.zxing.oned.rss.expanded.decoders to: com.google.zxing.oned.rss.expanded; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.common; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.oned.rss.expanded.decoders; from: com.google.zxing.oned.rss.expanded to: com.google.zxing; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.oned.rss; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.common.detector; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.oned; from: com.google.zxing.oned.rss.expanded to: com.google.zxing.client.result; from: com.google.zxing.pdf417 to: com.google.zxing.common.detector; from: com.google.zxing.pdf417 to: com.google.zxing; from: com.google.zxing.pdf417 to: com.google.zxing.pdf417.detector; from: com.google.zxing.pdf417 to: com.google.zxing.common; from: com.google.zxing.pdf417 to: com.google.zxing.pdf417.decoder; from: com.google.zxing.pdf417 to: com.google.zxing.pdf417.encoder; from: com.google.zxing.pdf417 to: com.google.zxing.multi; from: com.google.zxing.pdf417.detector to: com.google.zxing; from: com.google.zxing.pdf417.detector to: com.google.zxing.common; from: com.google.zxing.pdf417.decoder to: com.google.zxing.pdf417; from: com.google.zxing.pdf417.decoder to: com.google.zxing.common; from: com.google.zxing.pdf417.decoder to: com.google.zxing; from: com.google.zxing.pdf417.decoder to: com.google.zxing.pdf417.decoder.ec; from: com.google.zxing.pdf417.decoder to: com.google.zxing.common.detector; from: com.google.zxing.pdf417.decoder to: com.google.zxing.pdf417.encoder; from: com.google.zxing.pdf417.decoder.ec to: com.google.zxing.pdf417; from: com.google.zxing.pdf417.decoder.ec to: com.google.zxing; from: com.google.zxing.pdf417.decoder.ec to: com.google.zxing.common.reedsolomon; from: com.google.zxing.pdf417.encoder to: com.google.zxing.common; from: com.google.zxing.pdf417.encoder to: com.google.zxing; from: com.google.zxing.client.result to: com.google.zxing; from: com.google.zxing.client.result to: com.google.zxing.oned; from: com.google.zxing.multi to: com.google.zxing; from: com.google.zxing.multi to: com.google.zxing.common; from: com.google.zxing.multi.qrcode.detector to: com.google.zxing.common; from: com.google.zxing.multi.qrcode.detector to: com.google.zxing; from: com.google.zxing.multi.qrcode.detector to: com.google.zxing.qrcode.detector; from: com.google.zxing.multi.qrcode to: com.google.zxing; from: com.google.zxing.multi.qrcode to: com.google.zxing.common; from: com.google.zxing.multi.qrcode to: com.google.zxing.multi; from: com.google.zxing.qrcode to: com.google.zxing; from: com.google.zxing.qrcode to: com.google.zxing.qrcode.decoder; from: com.google.zxing.qrcode to: com.google.zxing.common; from: com.google.zxing.qrcode to: com.google.zxing.qrcode.encoder; from: com.google.zxing.qrcode.detector to: com.google.zxing.common; from: com.google.zxing.qrcode.detector to: com.google.zxing; from: com.google.zxing.qrcode.detector to: com.google.zxing.qrcode.decoder; from: com.google.zxing.qrcode.detector to: com.google.zxing.common.detector; from: com.google.zxing.qrcode.decoder to: com.google.zxing.common; from: com.google.zxing.qrcode.decoder to: com.google.zxing; from: com.google.zxing.qrcode.decoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.qrcode.encoder to: com.google.zxing.qrcode.decoder; from: com.google.zxing.qrcode.encoder to: com.google.zxing.common; from: com.google.zxing.qrcode.encoder to: com.google.zxing; from: com.google.zxing.qrcode.encoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.datamatrix to: com.google.zxing; from: com.google.zxing.datamatrix to: com.google.zxing.datamatrix.decoder; from: com.google.zxing.datamatrix to: com.google.zxing.common; from: com.google.zxing.datamatrix to: com.google.zxing.datamatrix.encoder; from: com.google.zxing.datamatrix to: com.google.zxing.qrcode.encoder; from: com.google.zxing.datamatrix.detector to: com.google.zxing.common; from: com.google.zxing.datamatrix.detector to: com.google.zxing.common.detector; from: com.google.zxing.datamatrix.detector to: com.google.zxing; from: com.google.zxing.datamatrix.decoder to: com.google.zxing.common; from: com.google.zxing.datamatrix.decoder to: com.google.zxing; from: com.google.zxing.datamatrix.decoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.datamatrix.encoder to: com.google.zxing; from: com.google.zxing.aztec to: com.google.zxing.common; from: com.google.zxing.aztec to: com.google.zxing; from: com.google.zxing.aztec to: com.google.zxing.aztec.encoder; from: com.google.zxing.aztec to: com.google.zxing.aztec.detector; from: com.google.zxing.aztec.detector to: com.google.zxing.common; from: com.google.zxing.aztec.detector to: com.google.zxing; from: com.google.zxing.aztec.detector to: com.google.zxing.common.reedsolomon; from: com.google.zxing.aztec.detector to: com.google.zxing.common.detector; from: com.google.zxing.aztec.detector to: com.google.zxing.aztec.encoder; from: com.google.zxing.aztec.detector to: com.google.zxing.aztec; from: com.google.zxing.aztec.decoder to: com.google.zxing.aztec; from: com.google.zxing.aztec.decoder to: com.google.zxing.common; from: com.google.zxing.aztec.decoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.aztec.decoder to: com.google.zxing; from: com.google.zxing.aztec.decoder to: com.google.zxing.aztec.encoder; from: com.google.zxing.aztec.encoder to: com.google.zxing.common; from: com.google.zxing.aztec.encoder to: com.google.zxing.common.reedsolomon; from: com.google.zxing.aztec.encoder to: com.google.zxing; from: com.google.zxing.aztec.encoder to: com.google.zxing.aztec; from: com.google.zxing.aztec.encoder to: com.google.zxing.aztec.decoder; from: com.google.zxing.inverted to: com.google.zxing.
zxing,com.google.zxing.client.android,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
zxing,com.google.zxing.client.android,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.client.android.camera; com.google.zxing.client.android.result; com.google.zxing.client.android.history; com.google.zxing.client.android.result.supplement
zxing,com.google.zxing.client.android,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IntentSource; CaptureActivity; AmbientLightManager; DecodeThread; InactivityTimer; InactivityTimer.PowerStatusReceiver; InactivityTimer.InactivityAsyncTask; DecodeHintManager; Intents; DecodeHandler; ViewfinderView; ViewfinderResultPointCallback; PreferencesActivity; BeepManager; PreferencesFragment; LocaleManager; DecodeFormatManager; CaptureActivityHandler; CaptureActivityHandler.State; ScanFromWebPageManager]; [HttpHelper; HttpHelper.ContentType]; [Contents]; [Contents.Type]; [PreferencesFragment.CustomSearchURLValidator]; [FinishListener]; [HelpActivity]; [Intents.Scan]; [Intents.History]; [Intents.Encode]; [Intents.SearchBookContents]; [Intents.WifiConnect]; [Intents.Share]. LCC (Lack of Component Cohesion) = 0.39
zxing,com.google.zxing.client.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.client.android; com.google.zxing.client.android.camera; com.google.zxing.client.android
zxing,com.google.zxing.client.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.client.android; com.google.zxing.client.android.result; com.google.zxing.client.android
zxing,com.google.zxing.client.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.client.android; com.google.zxing.client.android.history; com.google.zxing.client.android
zxing,com.google.zxing.client.android,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.client.android; com.google.zxing.client.android.result.supplement; com.google.zxing.client.android
zxing,com.google.zxing.client.android.history,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.client.android.result
zxing,com.google.zxing.client.android.share,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShareActivity]; [BookmarkPickerActivity]; [BookmarkAdapter]; [LoadPackagesAsyncTask; AppPickerActivity]; [AppInfo]. LCC (Lack of Component Cohesion) = 0.83
