Project,Package,Class,Smell,Description,File
zxing,com.google.zxing.client.android.camera,AutoFocusManager.AutoFocusTask,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/AutoFocusManager.java
zxing,com.google.zxing.client.j2se,DecodeWorker,Feature Envy,The tool detected a instance of this smell because decode is more interested in members of the type: DecoderConfig,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java
zxing,com.google.zxing.client.j2se,MatrixToImageConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLACK; WHITE; onColor; offColor,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/MatrixToImageConfig.java
zxing,com.google.zxing.client.j2se,EncoderConfig,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DEFAULT_OUTPUT_FILE_BASE; barcodeFormat; imageFormat; outputFileBase; width; height; errorCorrectionLevel; help; contents,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/EncoderConfig.java
zxing,com.google.zxing.client.j2se,CommandLineRunner,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineRunner.java
zxing,com.google.zxing.client.android,IntentSource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/IntentSource.java
zxing,com.google.zxing.client.android,ViewfinderResultPointCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/ViewfinderResultPointCallback.java
zxing,com.google.zxing.client.android,PreferencesActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEY_DECODE_1D_PRODUCT; KEY_DECODE_1D_INDUSTRIAL; KEY_DECODE_QR; KEY_DECODE_DATA_MATRIX; KEY_DECODE_AZTEC; KEY_DECODE_PDF417; KEY_CUSTOM_PRODUCT_SEARCH; KEY_PLAY_BEEP; KEY_VIBRATE; KEY_COPY_TO_CLIPBOARD; KEY_FRONT_LIGHT_MODE; KEY_BULK_MODE; KEY_REMEMBER_DUPLICATES; KEY_ENABLE_HISTORY; KEY_SUPPLEMENTAL; KEY_AUTO_FOCUS; KEY_INVERT_SCAN; KEY_SEARCH_COUNTRY; KEY_DISABLE_AUTO_ORIENTATION; KEY_DISABLE_CONTINUOUS_FOCUS; KEY_DISABLE_EXPOSURE; KEY_DISABLE_METERING; KEY_DISABLE_BARCODE_SCENE_MODE; KEY_AUTO_OPEN_WEB,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/PreferencesActivity.java
zxing,com.google.zxing.client.android,HttpHelper.ContentType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/HttpHelper.java
zxing,com.google.zxing.client.android,Contents,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEXT; EMAIL; PHONE; SMS; CONTACT; LOCATION; URL_KEY; NOTE_KEY; PHONE_KEYS; PHONE_TYPE_KEYS; EMAIL_KEYS; EMAIL_TYPE_KEYS,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Contents.java
