Project,Package,Class,Method,Smell,Description,Method start line no,File
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setFocus,Long Statement,The length of the statement "focusMode=findSettableValue("focus mode"`supportedFocusModes`Camera.Parameters.FOCUS_MODE_CONTINUOUS_PICTURE`Camera.Parameters.FOCUS_MODE_CONTINUOUS_VIDEO`Camera.Parameters.FOCUS_MODE_AUTO);" is 190.,55,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setFocus,Long Statement,The length of the statement "focusMode=findSettableValue("focus mode"`supportedFocusModes`Camera.Parameters.FOCUS_MODE_MACRO`Camera.Parameters.FOCUS_MODE_EDOF);" is 131.,55,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setTorch,Long Statement,The length of the statement "flashMode=findSettableValue("flash mode"`supportedFlashModes`Camera.Parameters.FLASH_MODE_TORCH`Camera.Parameters.FLASH_MODE_ON);" is 129.,90,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestExposure,Complex Conditional,The conditional expression (minExposure != 0 || maxExposure != 0) && step > 0.0f is complex.,113,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,Long Statement,The length of the statement "parameters.setPreviewFpsRange(suitableFPSRange[Camera.Parameters.PREVIEW_FPS_MIN_INDEX]`suitableFPSRange[Camera.Parameters.PREVIEW_FPS_MAX_INDEX]);" is 147.,139,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,Magic Number,The method contains a magic number: 1000,139,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,Magic Number,The method contains a magic number: 1000,139,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,Magic Number,The method contains a magic number: 2,139,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,buildMiddleArea,Long Statement,The length of the statement "return Collections.singletonList(new Camera.Area(new Rect(-AREA_PER_1000`-AREA_PER_1000`AREA_PER_1000`AREA_PER_1000)`1));" is 121.,190,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBarcodeSceneMode,Long Statement,The length of the statement "String sceneMode=findSettableValue("scene mode"`parameters.getSupportedSceneModes()`Camera.Parameters.SCENE_MODE_BARCODE);" is 122.,208,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java
