Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,CameraConfigurationUtils,2,1,0,52,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setFocus,23,6,4,55,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setTorch,19,4,2,90,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestExposure,21,3,2,113,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,3,1,1,135,0,com.google.zxing.client.android.camera.CameraConfigurationUtils,com.google.zxing.client.android.camera.CameraConfigurationUtils
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBestPreviewFPS,29,6,3,139,0,com.google.zxing.client.android.camera.CameraConfigurationUtils,com.google.zxing.client.android.camera.CameraConfigurationUtils
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setFocusArea,11,2,1,168,0,com.google.zxing.client.android.camera.CameraConfigurationUtils,com.google.zxing.client.android.camera.CameraConfigurationUtils
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setMetering,11,2,1,179,0,com.google.zxing.client.android.camera.CameraConfigurationUtils,com.google.zxing.client.android.camera.CameraConfigurationUtils
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,buildMiddleArea,3,1,0,190,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setVideoStabilization,14,3,1,195,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setBarcodeSceneMode,10,3,1,208,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setZoom,18,4,2,221,0,com.google.zxing.client.android.camera.CameraConfigurationUtils,com.google.zxing.client.android.camera.CameraConfigurationUtils
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,indexOfClosestZoom,21,4,2,238,0,,
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,setInvertColor,10,3,1,260,0,,
