Project,Package,Class,Smell,Description,File
zxing,com.google.zxing.client.j2se,DecodeWorker,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java
zxing,com.google.zxing.client.android,Contents.Type,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Contents.java
zxing,com.google.zxing.client.android,CaptureActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/CaptureActivity.java
zxing,com.google.zxing.client.android,Intents.Scan,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android,Intents.History,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android,Intents.Encode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android,Intents.SearchBookContents,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android,Intents.WifiConnect,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android,Intents.Share,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java
zxing,com.google.zxing.client.android.encode,QRCodeEncoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/encode/QRCodeEncoder.java
zxing,com.google.zxing.web,DecodeServlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/zxingorg/src/main/java/com/google/zxing/web/DecodeServlet.java
zxing,com.google.zxing.maxicode,MaxiCodeReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/maxicode/MaxiCodeReader.java
zxing,com.google.zxing.maxicode.decoder,Decoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/maxicode/decoder/Decoder.java
zxing,com.google.zxing.common,PerspectiveTransform,Law of Demeter violation,The tool detected the smell in this method (quadrilateralToSquare) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.zxing.common.PerspectiveTransform.buildAdjoint; com.google.zxing.common.PerspectiveTransform.squareToQuadrilateral,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/common/PerspectiveTransform.java
zxing,com.google.zxing.oned,Code128Reader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/oned/Code128Reader.java
zxing,com.google.zxing.oned,UPCEANReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/oned/UPCEANReader.java
zxing,com.google.zxing.oned.rss,RSS14Reader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/oned/rss/RSS14Reader.java
zxing,com.google.zxing.oned.rss.expanded.decoders,GeneralAppIdDecoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/GeneralAppIdDecoder.java
zxing,com.google.zxing.oned.rss.expanded,RSSExpandedReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/RSSExpandedReader.java
zxing,com.google.zxing.pdf417,PDF417Reader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/pdf417/PDF417Reader.java
zxing,com.google.zxing.pdf417.decoder,PDF417ScanningDecoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/pdf417/decoder/PDF417ScanningDecoder.java
zxing,com.google.zxing.qrcode,QRCodeReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/QRCodeReader.java
zxing,com.google.zxing.qrcode.detector,FinderPatternFinder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPatternFinder.java
zxing,com.google.zxing.qrcode.detector,Detector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/detector/Detector.java
zxing,com.google.zxing.qrcode.decoder,Decoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Decoder.java
zxing,com.google.zxing.qrcode.decoder,Version.ECBlocks,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Version.java
zxing,com.google.zxing.qrcode.decoder,Version.ECB,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Version.java
zxing,com.google.zxing.qrcode.encoder,Encoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/Encoder.java
zxing,com.google.zxing.qrcode.encoder,MinimalEncoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/MinimalEncoder.java
zxing,com.google.zxing.datamatrix,DataMatrixReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/datamatrix/DataMatrixReader.java
zxing,com.google.zxing.datamatrix,DataMatrixWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/datamatrix/DataMatrixWriter.java
zxing,com.google.zxing.datamatrix.decoder,Decoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/datamatrix/decoder/Decoder.java
zxing,com.google.zxing.aztec,AztecReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/aztec/AztecReader.java
zxing,com.google.zxing.aztec.detector,Detector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/aztec/detector/Detector.java
zxing,com.google.zxing.aztec.decoder,Decoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/core/src/main/java/com/google/zxing/aztec/decoder/Decoder.java
