Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
zxing,com.google.zxing.client.android.camera,CameraConfigurationUtils,9,0,21,14,344,71,0,0,0.23809523809523808,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java,32
zxing,com.google.zxing.client.android.camera,CameraConfigurationManager,8,0,12,0,156,30,0,0,0.16666666666666666,2,5,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/CameraConfigurationManager.java,33
zxing,com.google.zxing.client.android.camera,PreviewCallback,3,0,3,1,21,4,0,0,0.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/PreviewCallback.java,24
zxing,com.google.zxing.client.android.camera,AutoFocusManager,8,0,6,1,85,12,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/AutoFocusManager.java,32
zxing,com.google.zxing.client.android.camera,AutoFocusManager.AutoFocusTask,0,0,0,0,11,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/AutoFocusManager.java,120
zxing,com.google.zxing.client.android.camera,CameraManager,17,0,14,13,245,38,0,0,0.0,4,5,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/CameraManager.java,32
zxing,com.google.zxing.client.android.camera,FrontLightMode,0,0,2,1,19,2,0,0,-1.0,2,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/camera/FrontLightMode.java,22
zxing,com.google.zxing.client.j2se,BufferedImageLuminanceSource,4,0,9,9,107,16,0,0,0.3333333333333333,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/BufferedImageLuminanceSource.java,26
zxing,com.google.zxing.client.j2se,MatrixToImageWriter,1,0,9,8,111,13,0,0,0.2222222222222222,3,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/MatrixToImageWriter.java,29
zxing,com.google.zxing.client.j2se,DecodeWorker,6,0,7,1,186,31,0,0,0.0,2,13,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java,51
zxing,com.google.zxing.client.j2se,HtmlAssetTranslator,1,0,7,1,151,26,0,0,0.2857142857142857,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/HtmlAssetTranslator.java,48
zxing,com.google.zxing.client.j2se,GUIRunner,2,0,5,2,68,5,0,0,0.0,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/GUIRunner.java,45
zxing,com.google.zxing.client.j2se,MatrixToImageConfig,4,2,6,4,41,8,0,0,0.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/MatrixToImageConfig.java,21
zxing,com.google.zxing.client.j2se,EncoderConfig,9,0,0,0,11,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/EncoderConfig.java,25
zxing,com.google.zxing.client.j2se,StringsResourceTranslator,7,0,6,1,138,20,0,0,0.3333333333333333,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/StringsResourceTranslator.java,41
zxing,com.google.zxing.client.j2se,ImageReader,1,0,3,2,38,7,0,0,0.6666666666666666,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/ImageReader.java,26
zxing,com.google.zxing.client.j2se,CommandLineEncoder,0,0,2,1,28,5,0,0,-1.0,1,4,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineEncoder.java,30
zxing,com.google.zxing.client.j2se,DecoderConfig,13,0,1,0,33,5,0,0,0.0,3,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/DecoderConfig.java,31
zxing,com.google.zxing.client.j2se,CommandLineRunner,0,0,6,1,118,26,0,0,-1.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineRunner.java,36
zxing,com.google.zxing.client.j2se,DecodeWorkerTestCase,2,0,1,1,15,1,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/DecodeWorkerTestCase.java,28
zxing,com.google.zxing.client.j2se,CommandLineRunnerTestCase,0,0,1,1,9,1,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/CommandLineRunnerTestCase.java,22
zxing,com.google.zxing.client.j2se,MatrixToImageWriterTestCase,0,0,5,3,46,7,0,0,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/MatrixToImageWriterTestCase.java,32
zxing,com.google.zxing.client.j2se,CommandLineEncoderTestCase,0,0,1,1,17,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/CommandLineEncoderTestCase.java,28
zxing,com.google.zxing.client.j2se,ImageReaderTestCase,0,0,1,1,11,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/javase/src/test/java/com/google/zxing/client/j2se/ImageReaderTestCase.java,25
zxing,com.google.zxing.client.android,IntentSource,0,0,0,0,1,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/IntentSource.java,19
zxing,com.google.zxing.client.android,ViewfinderResultPointCallback,1,0,2,1,9,2,0,0,0.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/ViewfinderResultPointCallback.java,22
zxing,com.google.zxing.client.android,PreferencesActivity,24,24,1,0,35,1,0,0,0.0,10,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/PreferencesActivity.java,22
zxing,com.google.zxing.client.android,HttpHelper,1,0,9,3,161,27,0,0,0.3333333333333333,6,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/HttpHelper.java,31
zxing,com.google.zxing.client.android,HttpHelper.ContentType,0,0,0,0,16,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/HttpHelper.java,45
zxing,com.google.zxing.client.android,Contents,12,12,1,0,48,1,0,0,0.0,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Contents.java,21
zxing,com.google.zxing.client.android,Contents.Type,6,6,0,0,31,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Contents.java,31
zxing,com.google.zxing.client.android,BeepManager,7,0,7,2,78,14,0,0,0.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/BeepManager.java,32
zxing,com.google.zxing.client.android,DecodeFormatManager,9,0,4,0,60,9,0,0,0.5,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/DecodeFormatManager.java,31
zxing,com.google.zxing.client.android,CaptureActivityHandler,5,0,4,2,91,16,0,0,0.0,1,5,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/CaptureActivityHandler.java,41
zxing,com.google.zxing.client.android,CaptureActivityHandler.State,0,0,0,0,1,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/CaptureActivityHandler.java,55
zxing,com.google.zxing.client.android,PreferencesFragment,1,0,4,2,70,8,0,0,0.5,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/PreferencesFragment.java,33
zxing,com.google.zxing.client.android,PreferencesFragment.CustomSearchURLValidator,0,0,0,0,31,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/PreferencesFragment.java,91
zxing,com.google.zxing.client.android,FinishListener,1,0,4,3,19,4,0,0,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/FinishListener.java,22
zxing,com.google.zxing.client.android,ScanFromWebPageManager,9,0,4,0,40,4,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/ScanFromWebPageManager.java,26
zxing,com.google.zxing.client.android,CaptureActivity,25,0,29,12,529,112,0,0,0.10344827586206896,5,22,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/CaptureActivity.java,73
zxing,com.google.zxing.client.android,AmbientLightManager,5,0,5,2,47,11,0,0,0.4,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/AmbientLightManager.java,29
zxing,com.google.zxing.client.android,DecodeThread,6,2,3,1,61,12,0,0,0.0,2,6,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/DecodeThread.java,34
zxing,com.google.zxing.client.android,InactivityTimer,6,0,6,0,82,9,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/InactivityTimer.java,30
zxing,com.google.zxing.client.android,InactivityTimer.PowerStatusReceiver,0,0,0,0,13,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/InactivityTimer.java,93
zxing,com.google.zxing.client.android,InactivityTimer.InactivityAsyncTask,0,0,0,0,12,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/InactivityTimer.java,108
zxing,com.google.zxing.client.android,HelpActivity,2,0,3,1,30,5,0,0,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/HelpActivity.java,24
zxing,com.google.zxing.client.android,DecodeHintManager,2,0,4,0,162,32,0,0,0.5,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/DecodeHintManager.java,31
zxing,com.google.zxing.client.android,Intents,38,38,1,0,193,1,0,0,0.0,13,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,21
zxing,com.google.zxing.client.android,Intents.Scan,23,23,0,0,96,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,31
zxing,com.google.zxing.client.android,Intents.History,1,1,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,182
zxing,com.google.zxing.client.android,Intents.Encode,5,5,0,0,27,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,193
zxing,com.google.zxing.client.android,Intents.SearchBookContents,3,3,0,0,19,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,234
zxing,com.google.zxing.client.android,Intents.WifiConnect,4,4,0,0,23,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,257
zxing,com.google.zxing.client.android,Intents.Share,1,1,0,0,11,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/Intents.java,285
zxing,com.google.zxing.client.android,DecodeHandler,3,0,4,1,69,11,0,0,0.0,1,6,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/DecodeHandler.java,36
zxing,com.google.zxing.client.android,LocaleManager,7,0,10,4,134,13,0,0,0.4,6,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/LocaleManager.java,29
zxing,com.google.zxing.client.android,ViewfinderView,15,0,6,6,121,15,0,0,0.0,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/ViewfinderView.java,35
zxing,com.google.zxing.client.android.history,HistoryItem,3,0,3,2,29,5,0,0,0.0,3,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/history/HistoryItem.java,21
zxing,com.google.zxing.client.android.history,HistoryManager,9,0,13,8,200,24,0,0,0.0,7,7,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/history/HistoryManager.java,48
zxing,com.google.zxing.client.android.history,HistoryItemAdapter,1,0,2,1,33,4,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/history/HistoryItemAdapter.java,32
zxing,com.google.zxing.client.android.history,DBHelper,9,0,3,2,24,3,0,0,0.6666666666666666,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/history/DBHelper.java,23
zxing,com.google.zxing.client.android.history,HistoryActivity,4,0,9,5,104,17,0,0,0.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/history/HistoryActivity.java,41
zxing,com.google.zxing.client.android.result,ProductResultHandler,1,0,6,5,39,11,0,1,0.6666666666666666,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/ProductResultHandler.java,27
zxing,com.google.zxing.client.android.result,ResultHandlerFactory,0,0,3,1,27,13,0,0,-1.0,1,5,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/ResultHandlerFactory.java,24
zxing,com.google.zxing.client.android.result,EmailAddressResultHandler,1,0,5,5,28,7,0,1,0.8,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/EmailAddressResultHandler.java,25
zxing,com.google.zxing.client.android.result,TextResultHandler,1,0,5,5,32,9,0,1,0.8,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/TextResultHandler.java,25
zxing,com.google.zxing.client.android.result,GeoResultHandler,1,0,5,5,28,7,0,1,0.8,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/GeoResultHandler.java,25
zxing,com.google.zxing.client.android.result,ISBNResultHandler,1,0,5,5,32,9,0,1,0.8,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/ISBNResultHandler.java,26
zxing,com.google.zxing.client.android.result,ResultHandler,13,1,43,9,361,80,11,0,0.18604651162790697,5,7,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/ResultHandler.java,47
zxing,com.google.zxing.client.android.result,URIResultHandler,2,0,7,7,50,14,0,1,0.8571428571428571,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/URIResultHandler.java,28
zxing,com.google.zxing.client.android.result,ResultButtonListener,2,0,2,2,15,2,0,0,0.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/ResultButtonListener.java,21
zxing,com.google.zxing.client.android.result,SMSResultHandler,1,0,6,6,42,9,0,1,0.8333333333333334,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/SMSResultHandler.java,25
zxing,com.google.zxing.client.android.result,AddressBookResultHandler,4,0,8,6,126,26,0,1,0.375,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/AddressBookResultHandler.java,34
zxing,com.google.zxing.client.android.result,TelResultHandler,1,0,6,6,36,8,0,1,0.8333333333333334,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/TelResultHandler.java,25
zxing,com.google.zxing.client.android.result,WifiResultHandler,2,0,7,7,45,9,0,1,0.8571428571428571,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/WifiResultHandler.java,32
zxing,com.google.zxing.client.android.result,CalendarResultHandler,2,0,8,6,104,18,0,1,0.625,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/CalendarResultHandler.java,30
zxing,com.google.zxing.client.android.result.supplement,URIResultInfoRetriever,3,0,2,0,26,3,0,1,0.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/supplement/URIResultInfoRetriever.java,30
zxing,com.google.zxing.client.android.result.supplement,BookResultInfoRetriever,3,0,2,0,53,7,0,1,0.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/supplement/BookResultInfoRetriever.java,35
zxing,com.google.zxing.client.android.result.supplement,ProductResultInfoRetriever,4,0,3,0,31,5,0,1,0.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/supplement/ProductResultInfoRetriever.java,32
zxing,com.google.zxing.client.android.result.supplement,TitleRetriever,3,0,2,0,35,6,0,1,0.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/supplement/TitleRetriever.java,29
zxing,com.google.zxing.client.android.result.supplement,SupplementalInfoRetriever,6,0,8,2,121,25,4,0,0.625,1,7,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/result/supplement/SupplementalInfoRetriever.java,41
zxing,com.google.zxing.client.android.encode,Formatter,0,0,1,0,12,1,5,0,-1.0,3,0,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/encode/Formatter.java,19
zxing,com.google.zxing.client.android.encode,VCardContactEncoder,1,0,5,1,81,27,0,1,0.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/encode/VCardContactEncoder.java,29
zxing,com.google.zxing.client.android.encode,VCardTelDisplayFormatter,1,0,4,1,40,9,0,1,0.5,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/encode/VCardTelDisplayFormatter.java,24
zxing,com.google.zxing.client.android.encode,ContactEncoder,0,0,5,0,50,11,2,0,-1.0,2,1,/data/henrique/multiagent_refactoring/project/data/repositories/zxing/android/src/com/google/zxing/client/android/encode/ContactEncoder.java,25
