project,smell,prompt_file,context_size,is_large
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/(default package).txt,2843,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/com_service_definition.txt,384,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/com_service_usage.txt,406,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/com_service_usage2.txt,409,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_benchmark.txt,30399,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_benchmark_runner.txt,783,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_benchmark_specimen.txt,2684,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_build_gradle.txt,76713,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_description.txt,70663,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_description_enumeration.txt,4884,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_description_field.txt,56792,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_description_modifier.txt,30345,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_dynamic_scaffold_inline.txt,53375,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_dynamic_scaffold_subclass.txt,23285,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode.txt,31273,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_assign.txt,6036,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_assign_primitive.txt,27967,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_assign_reference.txt,25524,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_collection.txt,16681,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_constant.txt,51350,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_implementation_bytecode_member.txt,66803,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_matcher.txt,89197,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_utility_privilege.txt,1364,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_utility_visitor.txt,11398,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/org_gradle_api_file.txt,898,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/org_gradle_api_provider.txt,541,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/org_gradle_api_tasks.txt,526,
byte-buddy,God Component,data/processed/prompts/god_component/byte-buddy/org_gradle_work.txt,1000,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_channels.txt,6061,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_charset.txt,1094,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_comparator.txt,8916,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_file.txt,88937,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_file_attribute.txt,3706,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_file_spi.txt,1069,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_filefilter.txt,43505,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_function.txt,30697,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_input_buffer.txt,4384,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_monitor.txt,14121,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_output.txt,86828,
commons-io,God Component,data/processed/prompts/god_component/commons-io/org_apache_commons_io_serialization.txt,10796,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_arch.txt,4820,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_compare.txt,5445,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_concurrent.txt,86702,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_concurrent_locks.txt,56383,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_event.txt,8254,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_exception.txt,17962,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_function.txt,41399,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_math.txt,26660,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_mutable.txt,19018,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_stream.txt,35027,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_text_translate.txt,19093,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_tuple.txt,9569,
commons-lang,God Component,data/processed/prompts/god_component/commons-lang/org_apache_commons_lang3_util.txt,6464,
google-java-format,God Component,data/processed/prompts/god_component/google-java-format/com_google_googlejavaformat.txt,82548,
google-java-format,God Component,data/processed/prompts/god_component/google-java-format/com_google_googlejavaformat_intellij.txt,7937,
google-java-format,God Component,data/processed/prompts/god_component/google-java-format/com_google_googlejavaformat_java_filer.txt,1714,
google-java-format,God Component,data/processed/prompts/god_component/google-java-format/com_google_googlejavaformat_java_javadoc.txt,26451,
gson,God Component,data/processed/prompts/god_component/gson/com_example.txt,14543,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson.txt,81567,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_extras_examples_rawcollections.txt,1148,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_graph.txt,11188,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_interceptors.txt,1448,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_internal.txt,71343,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_internal_bind.txt,83237,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_internal_bind_util.txt,3546,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_internal_reflect.txt,10506,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_internal_sql.txt,2732,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_metrics.txt,52375,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_protobuf.txt,12128,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_reflect.txt,4014,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_stream.txt,23606,
gson,God Component,data/processed/prompts/god_component/gson/com_google_gson_typeadapters.txt,6430,
javaparser,God Component,data/processed/prompts/god_component/javaparser/(default package).txt,15499,
javaparser,God Component,data/processed/prompts/god_component/javaparser/a.txt,440,
javaparser,God Component,data/processed/prompts/god_component/javaparser/aPackage.txt,322,
javaparser,God Component,data/processed/prompts/god_component/javaparser/a_b_c.txt,523,
javaparser,God Component,data/processed/prompts/god_component/javaparser/another.txt,328,
javaparser,God Component,data/processed/prompts/god_component/javaparser/bar.txt,242,
javaparser,God Component,data/processed/prompts/god_component/javaparser/box.txt,283,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_example.txt,1797,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_foo.txt,648,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_foo_base.txt,278,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_body.txt,45963,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_comments.txt,8294,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_expr.txt,79032,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_modules.txt,11921,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_nodeTypes.txt,24373,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_nodeTypes_modifiers.txt,2991,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_observer.txt,7474,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_stmt.txt,43400,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_type.txt,29335,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_validator.txt,4278,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_validator_language_level_validations.txt,17946,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_validator_language_level_validations_chunks.txt,6334,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_validator_postprocessors.txt,5158,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator.txt,6680,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core.txt,1206,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core_node.txt,8252,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core_other.txt,2574,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core_quality.txt,1982,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core_utils.txt,715,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_core_visitor.txt,9721,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_metamodel.txt,7543,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_javadoc.txt,3460,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_javadoc_description.txt,3682,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_excluded_jar.txt,356,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_included_jar.txt,356,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_main_jar.txt,1587,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_metamodel.txt,90858,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer.txt,49767,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer_concretesyntaxmodel.txt,10887,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer_configuration.txt,9104,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer_configuration_imports.txt,1956,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer_lexicalpreservation.txt,98414,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_printer_lexicalpreservation_changes.txt,4362,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_quality.txt,839,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_range.txt,307,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution.txt,11820,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_cache.txt,2502,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_declarations.txt,18107,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_logic.txt,20960,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_model.txt,2131,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_model_typesystem.txt,3594,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_promotion.txt,455,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_types.txt,16704,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_resolution_types_parametrization.txt,3343,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_serialization.txt,9654,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_storage.txt,252,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver.txt,10226,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_cache.txt,5207,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_core_resolution.txt,1162,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_declarations_common.txt,1222,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_javaparsermodel.txt,27905,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_contexts.txt,48871,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_declarations.txt,51476,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_declarators.txt,2804,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_javassistmodel.txt,23328,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_logic.txt,2458,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_reflectionmodel.txt,25972,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_reflectionmodel_comparators.txt,1447,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution.txt,1876,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_naming.txt,23188,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_promotion.txt,3725,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_typeinference.txt,60720,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_typeinference_bounds.txt,3596,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_typeinference_constraintformulas.txt,11612,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_typesolvers.txt,17798,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_utils.txt,3799,
javaparser,God Component,data/processed/prompts/god_component/javaparser/com_github_javaparser_testpackage.txt,271,
