project,smell,prompt_file,context_size,is_large
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/(default package)_MavenWrapperDownloader.txt,1474,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/com_service_definition_ServiceDefinition.txt,326,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/com_service_usage2_ServiceImplementation.txt,351,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/com_service_usage_ServiceImplementation.txt,348,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ByteBuddy_InitializationAppender.txt,26988,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ByteBuddy_ValuesMethodAppender.txt,93062,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Resolved.txt,14519,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Resolver.txt,9980,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Unresolved.txt,9615,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_VersionLocator.txt,14519,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_AbstractBase.txt,71028,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_BaseNameResolver.txt,79877,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForFixedValue.txt,9021,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForGivenType.txt,75568,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForUnnamedType.txt,8791,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_PrefixingRandom.txt,10249,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_Suffixing.txt,79877,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_SuffixingRandom.txt,10249,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_NamingStrategy_WithCallerSuffix.txt,9021,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache.txt,18066,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache_LookupKey.txt,7332,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache_SimpleKey.txt,7323,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache_Sort.txt,7331,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache_StorageKey.txt,7332,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache_WithInlineExpunction.txt,3747,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_Attacher.txt,14849,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Accessor.txt,27564,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AgentProvider.txt,28731,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AttachmentProvider.txt,48784,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AttachmentTypeEvaluator.txt,27566,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Compound.txt,13861,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Disabled.txt,27563,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ExternalAttachment.txt,27564,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForByteBuddyAgent.txt,28733,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForCurrentVm.txt,27565,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForEmulatedAttachment.txt,48785,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForExistingAgent.txt,13862,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForJ9Vm.txt,27566,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForJava9CapableVm.txt,13865,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForLegacyVm.txt,27565,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForModularizedVm.txt,27567,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForStandardToolsJarVm.txt,27567,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForUserDefinedToolsJar.txt,27567,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_InstallationAction.txt,27565,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ProcessProvider.txt,27564,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Simple.txt,27563,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Unavailable.txt,27564,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_WithDirectAttachment.txt,13862,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_WithExternalAttachment.txt,13862,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_Installer.txt,42431,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_AbstractBase.txt,21384,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_AttachmentHandle.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Connection.txt,42609,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Dispatcher.txt,42610,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_DoorArgument.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Factory.txt,42609,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForHotSpot.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaPosixEnvironment.txt,21388,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaPosixSocket.txt,42614,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaSolarisDoor.txt,42614,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaWindowsEnvironment.txt,21387,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForJnaWindowsNamedPipe.txt,42614,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForOpenJ9.txt,21386,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_ForSocketFile.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_MacLibrary.txt,42611,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_NamedPipeResponse.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_OnPersistentByteChannel.txt,21386,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_PosixLibrary.txt,42611,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_PosixOwnerProvider.txt,42612,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Resolver.txt,21384,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_Response.txt,21383,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SecurityAttributes.txt,21384,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SemaphoreOperation.txt,21385,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SocketAddress.txt,21384,
byte-buddy,Hublike Modularization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_agent_VirtualMachine_SolarisLibrary.txt,42612,
