project,smell,prompt_file,context_size,is_large
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/(default package)_MavenWrapperDownloader.txt,1575,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/com_service_definition_ServiceDefinition.txt,427,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/com_service_usage2_ServiceImplementation.txt,452,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/com_service_usage_ServiceImplementation.txt,449,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy.txt,19425,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_Appender.txt,19427,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_EnumerationImplementation.txt,19428,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_InitializationAppender.txt,19428,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_RecordConstructorStrategy.txt,19428,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_RecordObjectMethod.txt,19428,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ByteBuddy_ValuesMethodAppender.txt,19428,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ClassFileVersion.txt,5168,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Resolved.txt,5170,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Resolver.txt,5170,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_Unresolved.txt,5170,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_ClassFileVersion_VersionLocator.txt,5170,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy.txt,4573,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_AbstractBase.txt,4575,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_BaseNameResolver.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForFixedValue.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForGivenType.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_ForUnnamedType.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_PrefixingRandom.txt,4577,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_Suffixing.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_SuffixingRandom.txt,4577,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy_WithCallerSuffix.txt,4576,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache.txt,3844,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache_LookupKey.txt,3846,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache_SimpleKey.txt,3846,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache_Sort.txt,3845,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache_StorageKey.txt,3846,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_TypeCache_WithInlineExpunction.txt,3848,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_Attacher.txt,1247,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent.txt,13960,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Accessor.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AgentProvider.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AttachmentProvider.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_AttachmentTypeEvaluator.txt,13964,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Compound.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_Disabled.txt,13961,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ExternalAttachment.txt,13962,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForByteBuddyAgent.txt,13964,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForCurrentVm.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForEmulatedAttachment.txt,13964,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForExistingAgent.txt,13963,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_agent_ByteBuddyAgent_ForJ9Vm.txt,13964,
