project,smell,prompt_file,context_size,is_large
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/(default package).txt,2856,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/com_service_definition.txt,397,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/com_service_usage.txt,419,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/com_service_usage2.txt,422,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/net_bytebuddy_benchmark_runner.txt,796,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/net_bytebuddy_benchmark_specimen.txt,32882,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/org_gradle_api_file.txt,77730,
byte-buddy,Unstable Dependency,data/processed/prompts/unstable_dependency/byte-buddy/org_gradle_work.txt,77832,
commons-io,Unstable Dependency,data/processed/prompts/unstable_dependency/commons-io/org_apache_commons_io_file_spi.txt,1082,
commons-lang,Unstable Dependency,data/processed/prompts/unstable_dependency/commons-lang/org_apache_commons_lang3_event.txt,67193,
gson,Unstable Dependency,data/processed/prompts/unstable_dependency/gson/com_example.txt,99702,
gson,Unstable Dependency,data/processed/prompts/unstable_dependency/gson/com_google_gson_extras_examples_rawcollections.txt,82514,
gson,Unstable Dependency,data/processed/prompts/unstable_dependency/gson/com_google_gson_internal_bind_util.txt,86582,
gson,Unstable Dependency,data/processed/prompts/unstable_dependency/gson/com_google_gson_protobuf.txt,93494,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/(default package).txt,16467,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/a.txt,453,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/aPackage.txt,335,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/a_b_c.txt,536,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/another.txt,341,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/bar.txt,255,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/box.txt,296,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/com_example.txt,2435,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/com_foo_base.txt,291,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_ast_nodeTypes_modifiers.txt,3004,
javaparser,Unstable Dependency,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_excluded_jar.txt,369,
