project,smell,package,class,prompt_file,context_size,label
commons-io,God Component,org.apache.commons.io.comparator,,data/processed/prompts/god_component/commons-io/org_apache_commons_io_comparator.txt,8916,0
byte-buddy,God Component,net.bytebuddy.benchmark.runner,,data/processed/prompts/god_component/byte-buddy/net_bytebuddy_benchmark_runner.txt,783,0
gson,God Component,com.google.gson.typeadapters,,data/processed/prompts/god_component/gson/com_google_gson_typeadapters.txt,6430,0
zxing,God Component,com.google.zxing.common.reedsolomon,,data/processed/prompts/god_component/zxing/com_google_zxing_common_reedsolomon.txt,6577,0
javaparser,God Component,d.e.f,,data/processed/prompts/god_component/javaparser/d_e_f.txt,321,0
javaparser,God Component,com.example,,data/processed/prompts/god_component/javaparser/com_example.txt,1797,0
javaparser,God Component,com.github.javaparser.generator.metamodel,,data/processed/prompts/god_component/javaparser/com_github_javaparser_generator_metamodel.txt,7543,0
jitwatch,God Component,org.adoptopenjdk.jitwatch.ui.triview.bytecode,,data/processed/prompts/god_component/jitwatch/org_adoptopenjdk_jitwatch_ui_triview_bytecode.txt,3744,0
javaparser,God Component,com.github.javaparser.symbolsolver.resolution.promotion,,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_resolution_promotion.txt,3725,0
jitwatch,God Component,org.adoptopenjdk.jitwatch.model.assembly.arm,,data/processed/prompts/god_component/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_arm.txt,5086,0
javaparser,God Component,com.github.javaparser.symbolsolver.utils,,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_utils.txt,3799,0
jitwatch,God Component,org.adoptopenjdk.jitwatch.ui.report,,data/processed/prompts/god_component/jitwatch/org_adoptopenjdk_jitwatch_ui_report.txt,2123,0
javaparser,God Component,com.github.javaparser.symbolsolver.cache,,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver_cache.txt,5207,0
javaparser,God Component,com.github.javaparser.ast.nodeTypes.modifiers,,data/processed/prompts/god_component/javaparser/com_github_javaparser_ast_nodeTypes_modifiers.txt,2991,0
jitwatch,God Component,org.adoptopenjdk.jitwatch.ui.compilationchooser,,data/processed/prompts/god_component/jitwatch/org_adoptopenjdk_jitwatch_ui_compilationchooser.txt,801,0
javaparser,God Component,com.github.javaparser.javasymbolsolver.javassist.symbols.excluded.jar,,data/processed/prompts/god_component/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_excluded_jar.txt,356,0
jitwatch,God Component,org.adoptopenjdk.jitwatch.intrinsic,,data/processed/prompts/god_component/jitwatch/org_adoptopenjdk_jitwatch_intrinsic.txt,1767,0
gson,God Component,com.google.gson.internal.bind.util,,data/processed/prompts/god_component/gson/com_google_gson_internal_bind_util.txt,3546,0
commons-io,God Component,org.apache.commons.io.function,,data/processed/prompts/god_component/commons-io/org_apache_commons_io_function.txt,30697,1
byte-buddy,God Component,org.gradle.api.file,,data/processed/prompts/god_component/byte-buddy/org_gradle_api_file.txt,898,0
byte-buddy,God Component,com.service.definition,,data/processed/prompts/god_component/byte-buddy/com_service_definition.txt,384,0
javaparser,God Component,issue1945.implementations,,data/processed/prompts/god_component/javaparser/issue1945_implementations.txt,488,0
zxing,God Component,com.google.zxing.pdf417,,data/processed/prompts/god_component/zxing/com_google_zxing_pdf417.txt,35141,0
javaparser,God Component,com.github.javaparser.symbolsolver,,data/processed/prompts/god_component/javaparser/com_github_javaparser_symbolsolver.txt,10226,1
commons-io,God Component,org.apache.commons.io.file.spi,,data/processed/prompts/god_component/commons-io/org_apache_commons_io_file_spi.txt,1069,0
zxing,God Component,com.google.zxing.datamatrix.detector,,data/processed/prompts/god_component/zxing/com_google_zxing_datamatrix_detector.txt,3472,0
byte-buddy,God Component,com.service.usage,,data/processed/prompts/god_component/byte-buddy/com_service_usage.txt,406,0
javaparser,God Component,extends.duplicate,,data/processed/prompts/god_component/javaparser/extends_duplicate.txt,318,0
