project,smell,package,class,prompt_file,context_size,label
commons-lang,Hublike Modularization,org.apache.commons.lang3.exception,UncheckedReflectiveOperationException,data/processed/prompts/hublike_modularization/commons-lang/org_apache_commons_lang3_exception_UncheckedReflectiveOperationException.txt,497,0
commons-io,Hublike Modularization,org.apache.commons.io,ByteOrderMark,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_ByteOrderMark.txt,59541,0
byte-buddy,Hublike Modularization,net.bytebuddy.implementation.bytecode.member.FieldAccess,AbstractFieldInstruction,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_implementation_bytecode_member_FieldAccess_AbstractFieldInstruction.txt,21234,0
zxing,Hublike Modularization,com.google.zxing.client.result,AbstractDoCoMoResultParser,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_client_result_AbstractDoCoMoResultParser.txt,507,0
javaparser,Hublike Modularization,com.github.javaparser.utils,SourceRoot,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_utils_SourceRoot.txt,76714,0
javaparser,Hublike Modularization,com.github.javaparser.printer.configuration,ConfigurationOption,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_printer_configuration_ConfigurationOption.txt,20842,0
gson,Hublike Modularization,com.google.gson.metrics.ParseBenchmark,Link,data/processed/prompts/hublike_modularization/gson/com_google_gson_metrics_ParseBenchmark_Link.txt,3029,0
google-java-format,Hublike Modularization,com.google.googlejavaformat.java.JavaFormatterOptions,Builder,data/processed/prompts/hublike_modularization/google-java-format/com_google_googlejavaformat_java_JavaFormatterOptions_Builder.txt,738,0
commons-io,Hublike Modularization,org.apache.commons.io.input,CountingInputStream,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_input_CountingInputStream.txt,4525,0
javaparser,Hublike Modularization,com.github.javaparser.symbolsolver.javaparsermodel.contexts,AnonymousClassDeclarationContext,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_contexts_AnonymousClassDeclarationContext.txt,42898,0
jimfs,Hublike Modularization,com.google.common.jimfs,AbstractAttributeView,data/processed/prompts/hublike_modularization/jimfs/com_google_common_jimfs_AbstractAttributeView.txt,2520,0
byte-buddy,Hublike Modularization,net.bytebuddy.build.Plugin,WithInitialization,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_build_Plugin_WithInitialization.txt,33978,0
javaparser,Hublike Modularization,com.github.javaparser.serialization,JavaParserJsonSerializer,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_serialization_JavaParserJsonSerializer.txt,61429,0
javaparser,Hublike Modularization,com.github.javaparser.javasymbolsolver.javassist.symbols.main.jar,SubClassIncludedJar,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_main_jar_SubClassIncludedJar.txt,256,0
javaparser,Hublike Modularization,com.github.javaparser.symbolsolver.javaparsermodel.declarations.JavaParserEnumDeclaration,ValueOfMethod,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_declarations_JavaParserEnumDeclaration_ValueOfMethod.txt,9821,0
byte-buddy,Hublike Modularization,net.bytebuddy.description.type.TypeDescription,ForLoadedExecutableExceptionType,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_description_type_TypeDescription_ForLoadedExecutableExceptionType.txt,83084,0
jsoup,Hublike Modularization,org.jsoup.select.Evaluator,IsLastChild,data/processed/prompts/hublike_modularization/jsoup/org_jsoup_select_Evaluator_IsLastChild.txt,6444,0
zxing,Hublike Modularization,com.google.zxing.client.android.camera,AutoFocusManager,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_client_android_camera_AutoFocusManager.txt,5413,0
jsoup,Hublike Modularization,org.jsoup.helper,HttpConnection,data/processed/prompts/hublike_modularization/jsoup/org_jsoup_helper_HttpConnection.txt,66759,0
byte-buddy,Hublike Modularization,net.bytebuddy.build.AccessControllerPlugin,WithoutProperty,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_build_AccessControllerPlugin_WithoutProperty.txt,9342,0
javaparser,Hublike Modularization,com.github.javaparser.symbolsolver,SourceFileInfoExtractor,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_symbolsolver_SourceFileInfoExtractor.txt,49243,0
jitwatch,Hublike Modularization,(default package),ElisionTest2,data/processed/prompts/hublike_modularization/jitwatch/(default package)_ElisionTest2.txt,277,0
byte-buddy,Hublike Modularization,net.bytebuddy,TypeCache,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_TypeCache.txt,18066,0
byte-buddy,Hublike Modularization,net.bytebuddy.asm.MemberAttributeExtension,AttributeAppendingMethodVisitor,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension_AttributeAppendingMethodVisitor.txt,24540,0
byte-buddy,Hublike Modularization,net.bytebuddy.implementation.FieldAccessor,TerminationHandler,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_implementation_FieldAccessor_TerminationHandler.txt,24863,0
