project,smell,package,class,prompt_file,context_size,label
jitwatch,Insufficient Modularization,org.adoptopenjdk.jitwatch.compilation,CompilationUtil,data/processed/prompts/insufficient_modularization/jitwatch/org_adoptopenjdk_jitwatch_compilation_CompilationUtil.txt,3303,0
jitwatch,Insufficient Modularization,org.adoptopenjdk.jitwatch.ui.report.cell,IntegerTableCell,data/processed/prompts/insufficient_modularization/jitwatch/org_adoptopenjdk_jitwatch_ui_report_cell_IntegerTableCell.txt,477,0
javaparser,Insufficient Modularization,com.github.javaparser.javasymbolsolver.javassist.symbols.main.jar,ConcreteClass,data/processed/prompts/insufficient_modularization/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_main_jar_ConcreteClass.txt,341,0
byte-buddy,Insufficient Modularization,net.bytebuddy.pool.TypePool,ForUpperBound,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_pool_TypePool_ForUpperBound.txt,67304,0
byte-buddy,Insufficient Modularization,net.bytebuddy.implementation.bytecode,Duplication,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_implementation_bytecode_Duplication.txt,1499,0
commons-lang,Insufficient Modularization,org.apache.commons.lang3.mutable,MutableLong,data/processed/prompts/insufficient_modularization/commons-lang/org_apache_commons_lang3_mutable_MutableLong.txt,2796,1
javaparser,Insufficient Modularization,com.github.javaparser.ast.body,AnnotationDeclaration,data/processed/prompts/insufficient_modularization/javaparser/com_github_javaparser_ast_body_AnnotationDeclaration.txt,1366,0
gson,Insufficient Modularization,com.google.gson.metrics.ParseBenchmark,Parser,data/processed/prompts/insufficient_modularization/gson/com_google_gson_metrics_ParseBenchmark_Parser.txt,3130,0
gson,Insufficient Modularization,com.google.gson.typeadapters,RuntimeTypeAdapterFactory,data/processed/prompts/insufficient_modularization/gson/com_google_gson_typeadapters_RuntimeTypeAdapterFactory.txt,2845,0
byte-buddy,Insufficient Modularization,net.bytebuddy.description.field.FieldDescription,SignatureToken,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_description_field_FieldDescription_SignatureToken.txt,4554,0
gson,Insufficient Modularization,com.google.gson,LongSerializationPolicy,data/processed/prompts/insufficient_modularization/gson/com_google_gson_LongSerializationPolicy.txt,770,0
jsoup,Insufficient Modularization,org.jsoup.select.Evaluator,AttributeWithValueMatching,data/processed/prompts/insufficient_modularization/jsoup/org_jsoup_select_Evaluator_AttributeWithValueMatching.txt,6546,0
zxing,Insufficient Modularization,com.google.zxing.client.android.book,SearchBookContentsListItem,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_client_android_book_SearchBookContentsListItem.txt,894,0
zxing,Insufficient Modularization,com.google.zxing.qrcode.encoder,BlockPair,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_qrcode_encoder_BlockPair.txt,508,0
zxing,Insufficient Modularization,com.google.zxing.qrcode.encoder,MaskUtil,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_qrcode_encoder_MaskUtil.txt,2311,0
