project,smell,package,class,prompt_file,context_size,label
zxing,Hublike Modularization,com.google.zxing,FormatException,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_FormatException.txt,73950,0
jitwatch,Hublike Modularization,org.adoptopenjdk.jitwatch.parser.j9,J9Line,data/processed/prompts/hublike_modularization/jitwatch/org_adoptopenjdk_jitwatch_parser_j9_J9Line.txt,13795,0
zxing,Hublike Modularization,com.google.zxing.qrcode.decoder,Decoder,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_qrcode_decoder_Decoder.txt,26577,0
byte-buddy,Hublike Modularization,com.service.usage2,ServiceImplementation,data/processed/prompts/hublike_modularization/byte-buddy/com_service_usage2_ServiceImplementation.txt,351,0
byte-buddy,Hublike Modularization,net.bytebuddy.utility.JavaConstant,OfMethodTypeDesc,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_utility_JavaConstant_OfMethodTypeDesc.txt,54373,0
byte-buddy,Hublike Modularization,net.bytebuddy.benchmark.jmh.generated.ClassByImplementationBenchmark.benchmarkByteBuddy,jmhTest,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_benchmark_jmh_generated_ClassByImplementationBenchmark_benchmarkByteBuddy_jmhTest.txt,4397,0
commons-io,Hublike Modularization,org.apache.commons.io.build.AbstractOrigin,InputStreamOrigin,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_build_AbstractOrigin_InputStreamOrigin.txt,10065,0
byte-buddy,Hublike Modularization,net.bytebuddy.build.HashCodeAndEqualsPlugin,WithNonNullableFields,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_build_HashCodeAndEqualsPlugin_WithNonNullableFields.txt,9252,0
commons-lang,Hublike Modularization,org.apache.commons.lang3.concurrent,UncheckedFutureImpl,data/processed/prompts/hublike_modularization/commons-lang/org_apache_commons_lang3_concurrent_UncheckedFutureImpl.txt,654,0
byte-buddy,Hublike Modularization,net.bytebuddy.android.AndroidClassLoadingStrategy,Injecting,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Injecting.txt,7098,0
zxing,Hublike Modularization,com.google.zxing.oned.Code128Writer,Latch,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_oned_Code128Writer_Latch.txt,9672,0
zxing,Hublike Modularization,com.google.zxing.client.result,WifiParsedResult,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_client_result_WifiParsedResult.txt,5225,0
commons-lang,Hublike Modularization,org.apache.commons.lang3.function,FailableBiPredicate,data/processed/prompts/hublike_modularization/commons-lang/org_apache_commons_lang3_function_FailableBiPredicate.txt,8475,0
byte-buddy,Hublike Modularization,net.bytebuddy.utility.JavaConstant,OfClassDesc,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_utility_JavaConstant_OfClassDesc.txt,54372,0
byte-buddy,Hublike Modularization,net.bytebuddy.build.Plugin,ForJarOutputStream,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_build_Plugin_ForJarOutputStream.txt,49899,0
commons-io,Hublike Modularization,org.apache.commons.io,CopyUtils,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_CopyUtils.txt,42295,0
byte-buddy,Hublike Modularization,net.bytebuddy.benchmark.jmh.generated.ClassByImplementationBenchmark.benchmarkJdkProxy,jmhTest,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_benchmark_jmh_generated_ClassByImplementationBenchmark_benchmarkJdkProxy_jmhTest.txt,4425,0
commons-lang,Hublike Modularization,org.apache.commons.lang3.concurrent,UncheckedExecutionException,data/processed/prompts/hublike_modularization/commons-lang/org_apache_commons_lang3_concurrent_UncheckedExecutionException.txt,507,0
byte-buddy,Hublike Modularization,net.bytebuddy.description.type.TypeDescription,OfAnnotatedElement,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_description_type_TypeDescription_OfAnnotatedElement.txt,66713,0
byte-buddy,Hublike Modularization,net.bytebuddy.dynamic.TypeResolutionStrategy,Passive,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_dynamic_TypeResolutionStrategy_Passive.txt,2008,0
byte-buddy,Hublike Modularization,net.bytebuddy.implementation.attribute.AnnotationAppender,OnField,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_implementation_attribute_AnnotationAppender_OnField.txt,10843,0
byte-buddy,Hublike Modularization,com.service.definition,ServiceDefinition,data/processed/prompts/hublike_modularization/byte-buddy/com_service_definition_ServiceDefinition.txt,326,0
zxing,Hublike Modularization,com.google.zxing.datamatrix.encoder,DataMatrixSymbolInfo144,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_datamatrix_encoder_DataMatrixSymbolInfo144.txt,434,0
jsoup,Hublike Modularization,org.jsoup.helper.HttpConnection,Response,data/processed/prompts/hublike_modularization/jsoup/org_jsoup_helper_HttpConnection_Response.txt,36977,0
javaparser,Hublike Modularization,(default package).InnerClassContainer,InnerClass,data/processed/prompts/hublike_modularization/javaparser/(default package)_InnerClassContainer_InnerClass.txt,266,0
javaparser,Hublike Modularization,com.packageName,InnerStaticClassFieldContainer,data/processed/prompts/hublike_modularization/javaparser/com_packageName_InnerStaticClassFieldContainer.txt,340,0
byte-buddy,Hublike Modularization,net.bytebuddy.implementation.attribute.FieldAttributeAppender,Compound,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_implementation_attribute_FieldAttributeAppender_Compound.txt,8125,0
zxing,Hublike Modularization,com.google.zxing.common,DetectorResult,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_common_DetectorResult.txt,10828,0
commons-io,Hublike Modularization,org.apache.commons.io.input,UncheckedFilterReader,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_input_UncheckedFilterReader.txt,5805,0
jsoup,Hublike Modularization,org.jsoup.helper,Re2jRegex,data/processed/prompts/hublike_modularization/jsoup/org_jsoup_helper_Re2jRegex.txt,1451,0
jitwatch,Hublike Modularization,org.adoptopenjdk.jitwatch.model.assembly,AssemblyInstruction,data/processed/prompts/hublike_modularization/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_AssemblyInstruction.txt,17030,0
javaparser,Hublike Modularization,com.github.javaparser.symbolsolver.resolution.promotion,BooleanConditionalExprHandler,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_symbolsolver_resolution_promotion_BooleanConditionalExprHandler.txt,2304,0
jitwatch,Hublike Modularization,(default package),HotThrow,data/processed/prompts/hublike_modularization/jitwatch/(default package)_HotThrow.txt,360,0
commons-io,Hublike Modularization,org.apache.commons.io.comparator,ExtensionFileComparator,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_comparator_ExtensionFileComparator.txt,20343,0
commons-lang,Hublike Modularization,org.apache.commons.lang3.concurrent.AtomicInitializer,Builder,data/processed/prompts/hublike_modularization/commons-lang/org_apache_commons_lang3_concurrent_AtomicInitializer_Builder.txt,2959,0
byte-buddy,Hublike Modularization,net.bytebuddy.matcher,ErasureMatcher,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_matcher_ErasureMatcher.txt,7117,0
byte-buddy,Hublike Modularization,net.bytebuddy.build.gradle.android,ByteBuddyLocalClassesEnhancerTask,data/processed/prompts/hublike_modularization/byte-buddy/net_bytebuddy_build_gradle_android_ByteBuddyLocalClassesEnhancerTask.txt,76971,0
commons-io,Hublike Modularization,org.apache.commons.io.input.MessageDigestCalculatingInputStream,Builder,data/processed/prompts/hublike_modularization/commons-io/org_apache_commons_io_input_MessageDigestCalculatingInputStream_Builder.txt,4829,0
javaparser,Hublike Modularization,com.github.javaparser.ast.validator.postprocessors,Java22PostProcessor,data/processed/prompts/hublike_modularization/javaparser/com_github_javaparser_ast_validator_postprocessors_Java22PostProcessor.txt,405,0
zxing,Hublike Modularization,com.google.zxing.pdf417.encoder,Compaction,data/processed/prompts/hublike_modularization/zxing/com_google_zxing_pdf417_encoder_Compaction.txt,31056,0
