project,smell,package,class,prompt_file,context_size,label
javaparser,Insufficient Modularization,com.github.javaparser.symbolsolver.javaparsermodel.contexts,AnonymousClassDeclarationContext,data/processed/prompts/insufficient_modularization/javaparser/com_github_javaparser_symbolsolver_javaparsermodel_contexts_AnonymousClassDeclarationContext.txt,1965,0
byte-buddy,Insufficient Modularization,net.bytebuddy.dynamic.DynamicType,Initial,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_dynamic_DynamicType_Initial.txt,63017,0
javaparser,Insufficient Modularization,com.packageName,ClassInPackage,data/processed/prompts/insufficient_modularization/javaparser/com_packageName_ClassInPackage.txt,310,0
byte-buddy,Insufficient Modularization,net.bytebuddy.description.type.TypeList,Empty,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_description_type_TypeList_Empty.txt,7014,0
byte-buddy,Insufficient Modularization,net.bytebuddy.description.type.RecordComponentDescription,InDefinedShape,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_description_type_RecordComponentDescription_InDefinedShape.txt,3789,0
commons-io,Insufficient Modularization,org.apache.commons.io,CloseableURLConnection,data/processed/prompts/insufficient_modularization/commons-io/org_apache_commons_io_CloseableURLConnection.txt,1768,1
byte-buddy,Insufficient Modularization,net.bytebuddy.implementation.bind.MethodDelegationBinder,Compound,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_implementation_bind_MethodDelegationBinder_Compound.txt,7950,0
zxing,Insufficient Modularization,com.google.zxing,ResultPointCallback,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_ResultPointCallback.txt,478,0
byte-buddy,Insufficient Modularization,net.bytebuddy.dynamic.scaffold.inline,MethodRebaseResolver,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_dynamic_scaffold_inline_MethodRebaseResolver.txt,4015,0
byte-buddy,Insufficient Modularization,net.bytebuddy.implementation.bytecode.assign.primitive.PrimitiveUnboxingDelegate,UnboxingResponsible,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_implementation_bytecode_assign_primitive_PrimitiveUnboxingDelegate_UnboxingResponsible.txt,2922,0
jitwatch,Insufficient Modularization,(default package),ElisionTest,data/processed/prompts/insufficient_modularization/jitwatch/(default package)_ElisionTest.txt,408,0
byte-buddy,Insufficient Modularization,net.bytebuddy,NamingStrategy,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_NamingStrategy.txt,4573,0
byte-buddy,Insufficient Modularization,net.bytebuddy.implementation.MethodCall,ForConstructingInvocation,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_implementation_MethodCall_ForConstructingInvocation.txt,25997,0
commons-io,Insufficient Modularization,org.apache.commons.io.input,UnsynchronizedReader,data/processed/prompts/insufficient_modularization/commons-io/org_apache_commons_io_input_UnsynchronizedReader.txt,1095,0
byte-buddy,Insufficient Modularization,net.bytebuddy.dynamic.scaffold,TypeInitializer,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_dynamic_scaffold_TypeInitializer.txt,1533,0
commons-io,Insufficient Modularization,org.apache.commons.io.input.ObservableInputStream,Builder,data/processed/prompts/insufficient_modularization/commons-io/org_apache_commons_io_input_ObservableInputStream_Builder.txt,2786,0
javaparser,Insufficient Modularization,demo.Main,Callback,data/processed/prompts/insufficient_modularization/javaparser/demo_Main_Callback.txt,578,0
zxing,Insufficient Modularization,com.google.zxing.oned,CodaBarReader,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_oned_CodaBarReader.txt,3414,0
commons-io,Insufficient Modularization,org.apache.commons.io.output,FileWriterWithEncoding,data/processed/prompts/insufficient_modularization/commons-io/org_apache_commons_io_output_FileWriterWithEncoding.txt,3669,0
byte-buddy,Insufficient Modularization,net.bytebuddy.implementation.ToStringMethod,ForFixedValue,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_implementation_ToStringMethod_ForFixedValue.txt,6012,0
byte-buddy,Insufficient Modularization,net.bytebuddy.dynamic.NexusAccessor,Available,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_dynamic_NexusAccessor_Available.txt,3302,0
jimfs,Insufficient Modularization,com.google.common.jimfs.BasicAttributeProvider,View,data/processed/prompts/insufficient_modularization/jimfs/com_google_common_jimfs_BasicAttributeProvider_View.txt,1666,0
zxing,Insufficient Modularization,com.google.zxing.qrcode.decoder,BitMatrixParser,data/processed/prompts/insufficient_modularization/zxing/com_google_zxing_qrcode_decoder_BitMatrixParser.txt,2352,0
commons-io,Insufficient Modularization,org.apache.commons.io.file,CountingPathVisitor,data/processed/prompts/insufficient_modularization/commons-io/org_apache_commons_io_file_CountingPathVisitor.txt,2547,0
