project,smell,package,class,prompt_file,context_size,label
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.compilechain,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilechain.txt,82305,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.freqinlinesize,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_freqinlinesize.txt,75987,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.model.assembly,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly.txt,96053,1
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.model.assembly.arm,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_arm.txt,22399,0
javaparser,Unstable Dependency,com.github.javaparser.symbolsolver.cache,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_symbolsolver_cache.txt,25085,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.report.suggestion,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_suggestion.txt,4492,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.logger,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_logger.txt,36109,0
javaparser,Unstable Dependency,javaparser,,data/processed/prompts/unstable_dependency/javaparser/javaparser.txt,1223,0
javaparser,Unstable Dependency,foo,,data/processed/prompts/unstable_dependency/javaparser/foo.txt,817,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.process.compiler,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_compiler.txt,13175,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.inline,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_inline.txt,38494,0
javaparser,Unstable Dependency,implements.duplicate,,data/processed/prompts/unstable_dependency/javaparser/implements_duplicate.txt,330,0
zxing,Unstable Dependency,com.google.zxing.web.generator.client,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_web_generator_client.txt,15564,0
zxing,Unstable Dependency,com.google.zxing.client.android.result.supplement,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_result_supplement.txt,85742,0
gson,Unstable Dependency,com.google.gson.extras.examples.rawcollections,,data/processed/prompts/unstable_dependency/gson/com_google_gson_extras_examples_rawcollections.txt,82514,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.nmethod.compilerthread,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_nmethod_compilerthread.txt,88854,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.compilationchooser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilationchooser.txt,70791,1
zxing,Unstable Dependency,com.google.zxing.maxicode,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_maxicode.txt,57631,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.report.escapeanalysis,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_escapeanalysis.txt,49826,0
javaparser,Unstable Dependency,com.github.javaparser.ast.nodeTypes.modifiers,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_ast_nodeTypes_modifiers.txt,3004,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.sequencecount,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_sequencecount.txt,26964,0
zxing,Unstable Dependency,com.google.zxing.oned.rss,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_oned_rss.txt,71512,0
