Project,Package,Class,Smell,Description,File
commons-io,org.apache.commons.io,LineIterator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UnsynchronizedByteArrayOutputStream; UnsynchronizedByteArrayInputStream; IOUtils; QueueInputStream; QueueOutputStream; BoundedInputStream; ProxyInputStream; LineIterator; ByteArrayOutputStream; NullOutputStream; NullWriter,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/LineIterator.java
commons-io,org.apache.commons.io,IOUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOCAL; INSTANCE; buffer; LOCAL; INSTANCE; buffer; CR; DEFAULT_BUFFER_SIZE; DIR_SEPARATOR; DIR_SEPARATOR_UNIX; DIR_SEPARATOR_WINDOWS; EMPTY_BYTE_ARRAY; EOF; LF; LINE_SEPARATOR; LINE_SEPARATOR_UNIX; LINE_SEPARATOR_WINDOWS; SOFT_MAX_ARRAY_LENGTH,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 161 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils.ScratchBytes,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: LOCAL; INSTANCE; buffer,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils.ScratchChars,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: LOCAL; INSTANCE; buffer,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,FileDeleteStrategy,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NORMAL; FORCE; name,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileDeleteStrategy.java
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileDeleteStrategy.java
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileDeleteStrategy.java
commons-io,org.apache.commons.io,ByteBuffers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteBuffers.java
commons-io,org.apache.commons.io,ByteOrderMark,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; UTF_8; UTF_16BE; UTF_16LE; UTF_32BE; UTF_32LE; UTF_BOM; charsetName; bytes,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteOrderMark.java
