Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-io,org.apache.commons.io,RandomAccessFileMode,valueOf,Complex Method,Cyclomatic complexity of the method is 9,83,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/RandomAccessFileMode.java
commons-io,org.apache.commons.io,RandomAccessFileMode,valueOfMode,Missing default,The following switch statement is missing a default case: switch (mode) {,123,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/RandomAccessFileMode.java
commons-io,org.apache.commons.io,IOUtils,buffer,Long Statement,The length of the statement "return inputStream instanceof BufferedInputStream ? (BufferedInputStream)inputStream : new BufferedInputStream(inputStream);" is 124.,353,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,buffer,Long Statement,The length of the statement "return inputStream instanceof BufferedInputStream ? (BufferedInputStream)inputStream : new BufferedInputStream(inputStream`size);" is 129.,371,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,buffer,Long Statement,The length of the statement "return outputStream instanceof BufferedOutputStream ? (BufferedOutputStream)outputStream : new BufferedOutputStream(outputStream);" is 130.,390,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,buffer,Long Statement,The length of the statement "return outputStream instanceof BufferedOutputStream ? (BufferedOutputStream)outputStream : new BufferedOutputStream(outputStream`size);" is 135.,408,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,checkFromIndexSize,Long Statement,The length of the statement "throw new IndexOutOfBoundsException(String.format("Range [%s` %<s + %s) out of bounds for length %s"`off`len`arrayLength));" is 123.,622,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,checkFromToIndex,Magic Number,The method contains a magic number: 4,664,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,checkFromToIndex,Complex Conditional,The conditional expression fromIndex < 0 || toIndex < fromIndex || length < toIndex is complex.,699,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,checkFromToIndex,Long Statement,The length of the statement "throw new IndexOutOfBoundsException(String.format("Range [%s` %s) out of bounds for length %s"`fromIndex`toIndex`length));" is 122.,699,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,contentEquals,Complex Method,Cyclomatic complexity of the method is 8,1267,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,copyLarge,Long Parameter List,The method has 5 parameters. ,1796,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,copyLarge,Long Parameter List,The method has 5 parameters. ,1917,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,copyToOutputStream,Long Statement,The length of the statement "try (UnsynchronizedByteArrayOutputStream output=UnsynchronizedByteArrayOutputStream.builder().setBufferSize(bufferSize).get();InputStream boundedInput=BoundedInputStream.builder().setMaxCount(limit).setPropagateClose(false).setInputStream(input).get()){" is 253.,1957,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,toByteArray,Long Statement,The length of the statement "final UnsynchronizedByteArrayOutputStream output=copyToOutputStream(inputStream`SOFT_MAX_ARRAY_LENGTH + 1`DEFAULT_BUFFER_SIZE);" is 127.,2921,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,ThreadUtils,getNanosOfMilli,Magic Number,The method contains a magic number: 1_000_000,29,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ThreadUtils.java
commons-io,org.apache.commons.io,ByteOrderMark,toString,Magic Number,The method contains a magic number: 0xFF,260,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteOrderMark.java
commons-io,org.apache.commons.io,ByteOrderParser,parseByteOrder,Long Statement,The length of the statement "throw new IllegalArgumentException("Unsupported byte order setting: " + value + "` expected one of "+ ByteOrder.LITTLE_ENDIAN+ "` "+ ByteOrder.BIG_ENDIAN);" is 155.,29,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteOrderParser.java
commons-io,org.apache.commons.io,Charsets,isAlias,Long Statement,The length of the statement "return charsetName != null && (charset.name().equalsIgnoreCase(charsetName) || charset.aliases().stream().anyMatch(charsetName::equalsIgnoreCase));" is 147.,159,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/Charsets.java
commons-io,org.apache.commons.io,FileSystem,getSystemProperty,Long Statement,The length of the statement "System.err.println("Caught a SecurityException reading the system property '" + property + "'; the SystemUtils property value will default to null.");" is 150.,304,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileSystem,safeTruncate,Long Statement,The length of the statement "throw new IllegalArgumentException("The value " + value + " can not be truncated to "+ limitMessage+ " without breaking the first codepoint or grapheme cluster");" is 162.,372,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileSystem,splitExtension,Long Statement,The length of the statement "return index < 1 ? new CharSequence[]{value`""} : new CharSequence[]{value.subSequence(0`index)`value.subSequence(index`value.length())};" is 137.,396,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileSystem,FileSystem,Long Parameter List,The method has 11 parameters. ,425,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileSystem,isLegalFileName,Long Statement,The length of the statement "return candidate != null && candidate.length() != 0 && nameLengthStrategy.isWithinLimit(candidate`getMaxFileNameLength()`charset) && !isReservedFileName(candidate) && candidate.chars().noneMatch(this::isIllegalFileNameChar);" is 224.,619,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileSystem,toLegalFileName,Long Statement,The length of the statement "throw new IllegalArgumentException(String.format("The replacement character '%s' cannot be one of the %s illegal characters: %s"`replacement == '\0' ? "\\0" : replacement`name()`Arrays.toString(illegalFileNameChars)));" is 218.,683,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java
commons-io,org.apache.commons.io,FileUtils,byteCountToDisplaySize,Complex Method,Cyclomatic complexity of the method is 11,223,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,checkExists,Complex Conditional,The conditional expression strict && !file.exists() && !isSymlink(file) is complex.,308,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,contentEqualsIgnoreEOL,Long Statement,The length of the statement "try (Reader input1=new InputStreamReader(Files.newInputStream(file1.toPath())`charset);Reader input2=new InputStreamReader(Files.newInputStream(file2.toPath())`charset)){" is 170.,460,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,copyDirectory,Long Parameter List,The method has 5 parameters. ,687,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,copyFile,Complex Conditional,The conditional expression preserveFileDate && !Files.isSymbolicLink(srcPath) && !setTimes(srcFile`destFile) is complex.,841,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,decodeUrl,Empty catch clause,The method has an empty catch block.,1185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,decodeUrl,Magic Number,The method contains a magic number: 3,1185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,decodeUrl,Magic Number,The method contains a magic number: 16,1185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,decodeUrl,Magic Number,The method contains a magic number: 3,1185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,deleteQuietly,Empty catch clause,The method has an empty catch block.,1285,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,doCopyDirectory,Long Parameter List,The method has 6 parameters. ,1352,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,forceDelete,Long Statement,The length of the statement "deleteCounters=PathUtils.delete(file.toPath()`PathUtils.EMPTY_LINK_OPTION_ARRAY`StandardDeleteOption.OVERRIDE_READ_ONLY);" is 121.,1407,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,listAccumulate,Long Statement,The length of the statement "final AccumulatorPathVisitor visitor=AccumulatorPathVisitor.builder().setPathCounters(Counters.noopPathCounters()).setFileFilter(fileFilter).setDirectoryFilter(dirPathFilter).setVisitFileFailedFunction((p`e) -> FileVisitResult.CONTINUE).get();" is 243.,2298,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,listFiles,Long Statement,The length of the statement "final AccumulatorPathVisitor visitor=Uncheck.apply(d -> listAccumulate(d`FileFileFilter.INSTANCE.and(fileFilter)`dirFilter`FileVisitOption.FOLLOW_LINKS)`directory);" is 164.,2341,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FileUtils,listFiles,Long Statement,The length of the statement "return listFiles(directory`new ArrayList<>()`recursive`extensions != null ? toSuffixFileFilter(extensions) : TrueFileFilter.INSTANCE);" is 134.,2405,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
