Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io,RandomAccessFileMode,valueOf,23,9,1,83,0,org.apache.commons.io.RandomAccessFileMode,org.apache.commons.io.RandomAccessFileMode
commons-io,org.apache.commons.io,RandomAccessFileMode,valueOfMode,9,5,1,123,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,RandomAccessFileMode,4,1,2,149,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,accept,5,1,2,154,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,apply,5,1,2,172,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,create,3,1,1,192,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,create,3,1,1,206,0,org.apache.commons.io.RandomAccessFileMode,org.apache.commons.io.RandomAccessFileMode
commons-io,org.apache.commons.io,RandomAccessFileMode,create,3,1,1,217,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,getLevel,3,1,0,231,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,getMode,3,1,0,252,0,,
commons-io,org.apache.commons.io,RandomAccessFileMode,implies,3,1,1,262,0,org.apache.commons.io.RandomAccessFileMode,org.apache.commons.io.RandomAccessFileMode
commons-io,org.apache.commons.io,RandomAccessFileMode,io,3,1,1,282,0,,
commons-io,org.apache.commons.io,LineIterator,closeQuietly,3,1,1,55,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,LineIterator,LineIterator,9,2,1,77,0,,
commons-io,org.apache.commons.io,LineIterator,close,5,1,0,93,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,LineIterator,hasNext,24,6,0,109,0,org.apache.commons.io.LineIterator,org.apache.commons.io.LineIterator
commons-io,org.apache.commons.io,LineIterator,isValidLine,3,1,1,142,0,,
commons-io,org.apache.commons.io,LineIterator,next,3,1,0,152,0,org.apache.commons.io.LineIterator,org.apache.commons.io.LineIterator
commons-io,org.apache.commons.io,LineIterator,nextLine,8,2,0,163,0,org.apache.commons.io.LineIterator,org.apache.commons.io.LineIterator
commons-io,org.apache.commons.io,LineIterator,remove,3,1,0,180,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,4,1,1,353,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,4,1,2,371,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,4,1,1,390,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,4,1,2,408,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,3,1,1,427,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,3,1,2,440,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,3,1,1,454,0,,
commons-io,org.apache.commons.io,IOUtils,buffer,3,1,2,467,0,,
commons-io,org.apache.commons.io,IOUtils,byteArray,3,1,0,481,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
