Project,Package,Class,Method,Smell,Description,File
commons-io,org.apache.commons.io,FileSystemTest,testGetCurrent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testGetCurrent,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testIsLegalName_Encoding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testIsReservedFileNameOnWindows,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testIsReservedFileNameOnWindows,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.FileSystem.getReservedFileNames; org.apache.commons.io.FileSystem.isReservedFileName,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testMaxNameLength_MatchesRealSystem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testMaxNameLength_MatchesRealSystem,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.FileSystem.getCurrent; org.apache.commons.io.FileSystem.isLegalFileName,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testMaxNameLength_MatchesRealSystem,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testMaxNameLength_MatchesRealSystem,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
commons-io,org.apache.commons.io,FileSystemTest,testReplacementWithNUL,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileSystemTest.java
