Project,Package,Class,Smell,Description,File
commons-io,org.apache.commons.io,IOUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.io.output.ByteArrayOutputStream; org.apache.commons.io.output.StringBuilderWriter; org.apache.commons.io.input.QueueInputStream,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,Law of Demeter violation,The tool detected the smell in this method (copyToOutputStream) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream.builder; org.apache.commons.io.build.AbstractStreamBuilder.setBufferSize,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,IOUtils,Law of Demeter violation,The tool detected the smell in this method (copyToOutputStream) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.input.BoundedInputStream.builder; org.apache.commons.io.build.AbstractOriginSupplier.setInputStream,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/DirectoryWalker.java
commons-io,org.apache.commons.io,FileUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileUtils.java
commons-io,org.apache.commons.io,FilenameUtils,Law of Demeter violation,The tool detected the smell in this method (equals) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.IOCase.value; org.apache.commons.io.IOCase.checkEquals,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FilenameUtils.java
commons-io,org.apache.commons.io,FilenameUtils,Law of Demeter violation,The tool detected the smell in this method (getPrefixLength) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.FileSystem.getCurrent; org.apache.commons.io.FileSystem.supportsDriveLetter,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FilenameUtils.java
commons-io,org.apache.commons.io,FilenameUtils,Law of Demeter violation,The tool detected the smell in this method (separatorsToSystem) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.FileSystem.normalizeSeparators; org.apache.commons.io.FileSystem.getCurrent,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FilenameUtils.java
commons-io,org.apache.commons.io,FileCleaner,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.io.FileCleaningTracker,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileCleaner.java
commons-io,org.apache.commons.io,IOUtilsConcurrentTest,Law of Demeter violation,The tool detected the smell in this method (testConcurrentInputStreamTasks) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.input.ChecksumInputStream.builder; org.apache.commons.io.build.AbstractOriginSupplier.setByteArray,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsConcurrentTest.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomError,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io,BrokenTestFactories.CustomRuntimeException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/BrokenTestFactories.java
commons-io,org.apache.commons.io.function,IOStreams,Law of Demeter violation,The tool detected the smell in this method (forAll) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOStream.forAll; org.apache.commons.io.function.IOStream.adapt,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/IOStreams.java
commons-io,org.apache.commons.io.function,Uncheck,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/Uncheck.java
commons-io,org.apache.commons.io.function,UncheckedIOBaseStream,Law of Demeter violation,The tool detected the smell in this method (iterator) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOBaseStream.iterator; org.apache.commons.io.function.IOIterator.asIterator,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOBaseStream.java
commons-io,org.apache.commons.io.function,UncheckedIOBaseStream,Law of Demeter violation,The tool detected the smell in this method (parallel) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOBaseStream.unwrap; org.apache.commons.io.function.IOBaseStream.parallel,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOBaseStream.java
commons-io,org.apache.commons.io.function,UncheckedIOBaseStream,Law of Demeter violation,The tool detected the smell in this method (sequential) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOBaseStream.unwrap; org.apache.commons.io.function.IOBaseStream.sequential,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOBaseStream.java
commons-io,org.apache.commons.io.function,UncheckedIOBaseStream,Law of Demeter violation,The tool detected the smell in this method (spliterator) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOBaseStream.spliterator; org.apache.commons.io.function.IOSpliterator.unwrap,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOBaseStream.java
commons-io,org.apache.commons.io.function,UncheckedIOBaseStream,Law of Demeter violation,The tool detected the smell in this method (unordered) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOBaseStream.unwrap; org.apache.commons.io.function.IOBaseStream.unordered,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOBaseStream.java
commons-io,org.apache.commons.io.function,IOStream,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/IOStream.java
commons-io,org.apache.commons.io.function,UncheckedIOSpliterator,Law of Demeter violation,The tool detected the smell in this method (getComparator) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.function.IOSpliterator.getComparator; org.apache.commons.io.function.IOComparator.asComparator,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/UncheckedIOSpliterator.java
commons-io,org.apache.commons.io.function,Erase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/function/Erase.java
commons-io,org.apache.commons.io.function,TestConstants,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/function/TestConstants.java
commons-io,org.apache.commons.io.function,TestUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/function/TestUtils.java
