Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
commons-io,org.apache.commons.io,RandomAccessFileMode,6,0,12,10,175,24,0,0,0.25,14,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/RandomAccessFileMode.java,32
commons-io,org.apache.commons.io,LineIterator,3,0,8,7,116,15,0,0,0.375,3,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/LineIterator.java,27
commons-io,org.apache.commons.io,IOUtils,18,12,172,161,2487,275,0,0,0.5406976744186046,99,17,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java,78
commons-io,org.apache.commons.io,IOUtils.ScratchBytes,3,0,0,0,42,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java,135
commons-io,org.apache.commons.io,IOUtils.ScratchChars,3,0,0,0,42,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOUtils.java,204
commons-io,org.apache.commons.io,IOIndexedException,2,0,3,2,39,3,0,0,0.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOIndexedException.java,22
commons-io,org.apache.commons.io,ThreadUtils,0,0,3,2,44,5,0,0,-1.0,8,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ThreadUtils.java,22
commons-io,org.apache.commons.io,FileExistsException,1,0,3,3,29,3,0,0,1.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileExistsException.java,22
commons-io,org.apache.commons.io,FileDeleteStrategy,3,2,5,3,92,7,1,0,0.4,5,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileDeleteStrategy.java,22
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,0,0,0,22,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileDeleteStrategy.java,37
commons-io,org.apache.commons.io,ByteBuffers,0,0,4,3,33,4,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteBuffers.java,25
commons-io,org.apache.commons.io,ByteOrderMark,9,6,10,9,178,25,0,0,0.0,5,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteOrderMark.java,24
commons-io,org.apache.commons.io,ByteOrderParser,0,0,2,1,26,4,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/ByteOrderParser.java,22
commons-io,org.apache.commons.io,Charsets,7,6,10,9,152,10,0,0,0.6,15,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/Charsets.java,26
commons-io,org.apache.commons.io,DirectoryWalker,5,0,16,0,261,23,5,0,0.125,1,4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/DirectoryWalker.java,31
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,3,0,0,0,50,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/DirectoryWalker.java,257
commons-io,org.apache.commons.io,IOExceptionWithCause,1,0,2,2,26,2,1,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/IOExceptionWithCause.java,22
commons-io,org.apache.commons.io,FileSystem,17,0,29,17,433,41,0,0,0.1724137931034483,4,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/FileSystem.java,34
