Project,Package,Class,Smell,Description,File
commons-lang,org.apache.commons.lang3,AppendableJoiner.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; suffix; delimiter; appender,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,RandomUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; threadId; ALWAYS_TRUE_PREDICATE,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: name,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: threadId,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_CLASS_NAME_LENGTH; MAX_JVM_ARRAY_DIMENSION; MAX_DIMENSIONS; COMPARATOR; PACKAGE_SEPARATOR_CHAR; PACKAGE_SEPARATOR; INNER_CLASS_SEPARATOR_CHAR; INNER_CLASS_SEPARATOR; NAME_PRIMITIVE_MAP; PRIMITIVE_WRAPPER_MAP; WRAPPER_PRIMITIVE_MAP; ABBREVIATION_MAP; REVERSE_ABBREVIATION_MAP; interfaces,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: StrTokenizer; StrMatcher; StringUtils; CharSequenceUtils; ArrayUtils; ObjectUtils; StrBuilder; Strings; CharUtils; DurationUtils; NumberUtils; ClassUtils; BooleanUtils; ToStringStyle; LangCollectors; LocaleUtils,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 59 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils.Interfaces,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: classLoader,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SerializationUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CHAR_STRING_ARRAY; HEX_DIGITS; LF; CR; NUL,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,Conversion,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java
commons-lang,org.apache.commons.lang3,RegExUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RegExUtils.java
commons-lang,org.apache.commons.lang3,StringEscapeUtils,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1.0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/StringEscapeUtils.java
commons-lang,org.apache.commons.lang3,StringEscapeUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CSV_DELIMITER; CSV_QUOTE; CSV_QUOTE_STR; CSV_SEARCH_CHARS; CSV_DELIMITER; CSV_QUOTE; CSV_QUOTE_STR; CSV_SEARCH_CHARS; ESCAPE_JAVA; ESCAPE_ECMASCRIPT; ESCAPE_JSON; ESCAPE_XML; ESCAPE_XML10; ESCAPE_XML11; ESCAPE_HTML3; ESCAPE_HTML4; ESCAPE_CSV; UNESCAPE_JAVA; UNESCAPE_ECMASCRIPT; UNESCAPE_JSON; UNESCAPE_HTML3; UNESCAPE_HTML4; UNESCAPE_XML; UNESCAPE_CSV,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/StringEscapeUtils.java
commons-lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: CSV_DELIMITER; CSV_QUOTE; CSV_QUOTE_STR; CSV_SEARCH_CHARS,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/StringEscapeUtils.java
