Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinA,Long Parameter List,The method has 6 parameters. ,176,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinArray,Long Parameter List,The method has 6 parameters. ,183,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinI,Long Parameter List,The method has 6 parameters. ,199,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinIterable,Long Parameter List,The method has 6 parameters. ,210,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,AppendableJoiner,joinSB,Long Parameter List,The method has 6 parameters. ,227,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadById,Complex Conditional,The conditional expression thread != null && thread.getThreadGroup() != null && thread.getThreadGroup().getName().equals(threadGroupName) is complex.,193,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadGroups,Long Statement,The length of the statement "return Collections.unmodifiableCollection(Stream.of(threadGroups).limit(count).filter(predicate).collect(Collectors.toList()));" is 127.,249,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadGroups,Magic Number,The method contains a magic number: 2,249,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreads,Long Statement,The length of the statement "return Collections.unmodifiableCollection(Stream.of(threads).limit(count).filter(predicate).collect(Collectors.toList()));" is 122.,332,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreads,Magic Number,The method contains a magic number: 2,332,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,findThreadsByName,Long Statement,The length of the statement "return Collections.unmodifiableCollection(findThreadGroups(predicateThreadGroup(threadGroupName)).stream().flatMap(group -> findThreads(group`false`predicateThread(threadName)).stream()).collect(Collectors.toList()));" is 217.,400,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ThreadUtils,sleepQuietly,Empty catch clause,The method has an empty catch block.,509,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getAbbreviatedName,Complex Method,Cyclomatic complexity of the method is 8,253,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Complex Method,Cyclomatic complexity of the method is 11,479,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Magic Number,The method contains a magic number: 3,479,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getCanonicalName,Magic Number,The method contains a magic number: 2,479,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,getPublicMethod,Long Statement,The length of the statement "throw new NoSuchMethodException("Can't find a public method for " + methodName + " "+ ArrayUtils.toString(parameterTypes));" is 123.,844,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Complex Method,Cyclomatic complexity of the method is 18,1295,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Long Statement,The length of the statement "return Integer.TYPE.equals(toClass) || Long.TYPE.equals(toClass) || Float.TYPE.equals(toClass)|| Double.TYPE.equals(toClass);" is 125.,1295,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,isAssignable,Long Statement,The length of the statement "return Short.TYPE.equals(toClass) || Integer.TYPE.equals(toClass) || Long.TYPE.equals(toClass)|| Float.TYPE.equals(toClass)|| Double.TYPE.equals(toClass);" is 154.,1295,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Complex Method,Cyclomatic complexity of the method is 10,1580,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Magic Number,The method contains a magic number: 2,1580,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,ClassUtils,toCleanName,Magic Number,The method contains a magic number: 2,1580,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java
commons-lang,org.apache.commons.lang3,SerializationUtils,serialize,Magic Number,The method contains a magic number: 512,229,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SerializationUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAscii,Magic Number,The method contains a magic number: 128,77,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiControl,Magic Number,The method contains a magic number: 32,172,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiControl,Magic Number,The method contains a magic number: 127,172,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiPrintable,Magic Number,The method contains a magic number: 32,210,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,isAsciiPrintable,Magic Number,The method contains a magic number: 127,210,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,toIntValue,Magic Number,The method contains a magic number: 48,374,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,toIntValue,Magic Number,The method contains a magic number: 48,396,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 12,498,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,498,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 8,498,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 15,498,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
commons-lang,org.apache.commons.lang3,CharUtils,unicodeEscaped,Magic Number,The method contains a magic number: 4,498,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharUtils.java
