Project,Package,Class,Smell,Description,File
commons-lang,org.apache.commons.lang3,AppendableJoiner.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextBoolean) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomBoolean,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextBytes) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomBytes,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextDouble) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomDouble,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextDouble) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomDouble,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextFloat) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomFloat,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextFloat) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomFloat,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextInt) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomInt,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextInt) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomInt,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
commons-lang,org.apache.commons.lang3,RandomUtils,Law of Demeter violation,The tool detected the smell in this method (nextLong) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.RandomUtils.secure; org.apache.commons.lang3.RandomUtils.randomLong,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java
