Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
commons-lang,org.apache.commons.lang3,AppendableJoiner,8,0,12,5,211,18,0,0,0.16666666666666666,2,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java,28
commons-lang,org.apache.commons.lang3,AppendableJoiner.Builder,4,0,0,0,69,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java,86
commons-lang,org.apache.commons.lang3,RandomUtils,6,0,29,25,314,34,0,0,0.1724137931034483,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java,28
commons-lang,org.apache.commons.lang3,ThreadUtils,3,1,25,22,389,31,0,0,0.2,4,4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,31
commons-lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,0,0,0,0,14,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,44
commons-lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,1,0,0,0,22,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,66
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadGroupPredicate,0,0,0,0,12,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,101
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,1,0,0,0,21,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,120
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadPredicate,0,0,0,0,12,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ThreadUtils.java,149
commons-lang,org.apache.commons.lang3,ClassUtils,14,4,66,59,1088,157,0,0,0.5303030303030303,19,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java,35
commons-lang,org.apache.commons.lang3,ClassUtils.Interfaces,0,0,0,0,11,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ClassUtils.java,51
commons-lang,org.apache.commons.lang3,SerializationUtils,1,0,7,7,145,8,0,0,0.42857142857142855,6,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SerializationUtils.java,30
