Project,Package,Smell,Description
gson,com.google.gson.metrics,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SerializationBenchmark; NonUploadingCaliperRunner; BagOfPrimitivesDeserializationBenchmark; ParseBenchmark; ParseBenchmark.Document; ParseBenchmark.Api; ParseBenchmark.Parser; ParseBenchmark.Tweet; ParseBenchmark.User; ParseBenchmark.Content; CollectionsDeserializationBenchmark; BagOfPrimitives]; [ParseBenchmark.GsonStreamParser]; [ParseBenchmark.GsonSkipParser]; [ParseBenchmark.JacksonStreamParser]; [ParseBenchmark.GsonDomParser]; [ParseBenchmark.GsonBindParser]; [ParseBenchmark.JacksonBindParser]; [ParseBenchmark.Feed]; [ParseBenchmark.Link]; [ParseBenchmark.Item]; [ParseBenchmark.ReaderUser]; [PerformanceTest; PerformanceTest.ExceptionHolder; PerformanceTest.ClassWithList; PerformanceTest.ClassWithListOfObjects]; [PerformanceTest.CollectionEntry]; [PerformanceTest.ClassWithField]; [PerformanceTest.ClassWithExposedField]. LCC (Lack of Component Cohesion) = 0.52
gson,com.google.gson.metrics,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson; com.google.gson.reflect.
gson,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.17. All the dependencies among components: from: com.google.gson.metrics to: com.google.gson; from: com.google.gson.metrics to: com.google.gson.stream; from: com.google.gson.metrics to: com.google.gson.reflect; from: com.google.gson.jpms_test to: com.google.gson; from: com.google.gson.jpms_test to: com.google.gson.reflect; from: com.google.gson.jpms_test to: com.google.gson.stream; from: com.google.gson.jpms_test.opened to: com.google.gson; from: com.google.gson.native_test to: com.google.gson; from: com.google.gson.native_test to: com.google.gson.stream; from: com.google.gson.native_test to: com.google.gson.reflect; from: com.google.gson to: com.google.gson.internal; from: com.google.gson to: com.google.gson.stream; from: com.google.gson to: com.google.gson.internal.bind; from: com.google.gson to: com.google.gson.reflect; from: com.google.gson to: com.google.gson.internal.sql; from: com.google.gson to: com.google.gson.common; from: com.google.gson.internal to: com.google.gson; from: com.google.gson.internal to: com.google.gson.reflect; from: com.google.gson.internal to: com.google.gson.internal.reflect; from: com.google.gson.internal to: com.google.gson.stream; from: com.google.gson.internal to: com.google.gson.internal.bind; from: com.google.gson.internal to: com.google.gson.common; from: com.google.gson.internal.reflect to: com.google.gson.internal; from: com.google.gson.internal.reflect to: com.google.gson; from: com.google.gson.internal.sql to: com.google.gson; from: com.google.gson.internal.sql to: com.google.gson.reflect; from: com.google.gson.internal.sql to: com.google.gson.stream; from: com.google.gson.internal.sql to: com.google.gson.functional; from: com.google.gson.internal.bind to: com.google.gson; from: com.google.gson.internal.bind to: com.google.gson.reflect; from: com.google.gson.internal.bind to: com.google.gson.stream; from: com.google.gson.internal.bind to: com.google.gson.internal; from: com.google.gson.internal.bind to: com.google.gson.internal.reflect; from: com.google.gson.internal.bind to: com.google.gson.internal.bind.util; from: com.google.gson.internal.bind to: com.google.gson.common; from: com.google.gson.stream to: com.google.gson; from: com.google.gson.stream to: com.google.gson.internal; from: com.google.gson.reflect to: com.google.gson.internal; from: com.google.gson.integration to: com.google.gson.internal; from: com.google.gson.functional to: com.google.gson; from: com.google.gson.functional to: com.google.gson.reflect; from: com.google.gson.functional to: com.google.gson.stream; from: com.google.gson.functional to: com.google.gson.internal.bind; from: com.google.gson.functional to: com.google.gson.common; from: com.google.gson.functional to: com.google.gson.internal; from: com.google.gson.typeadapters to: com.google.gson.stream; from: com.google.gson.typeadapters to: com.google.gson; from: com.google.gson.typeadapters to: com.google.gson.reflect; from: com.google.gson.interceptors to: com.google.gson; from: com.google.gson.interceptors to: com.google.gson.reflect; from: com.google.gson.interceptors to: com.google.gson.stream; from: com.google.gson.extras.examples.rawcollections to: com.google.gson; from: com.google.gson.graph to: com.google.gson.internal; from: com.google.gson.graph to: com.google.gson; from: com.google.gson.graph to: com.google.gson.reflect; from: com.google.gson.graph to: com.google.gson.stream; from: com.example to: com.google.gson; from: com.example to: com.google.gson.reflect; from: com.google.gson.protobuf to: com.google.gson; from: com.google.gson.protobuf.functional to: com.google.gson; from: com.google.gson.protobuf.functional to: com.google.gson.protobuf; from: com.google.gson.protobuf.functional to: com.google.gson.protobuf.generated.
gson,com.google.gson.native_test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReflectionTest; ReflectionTest.ClassWithDefaultConstructor; ReflectionTest.ClassWithCustomDefaultConstructor; ReflectionTest.ClassWithoutDefaultConstructor; ReflectionTest.ClassWithFinalField; ReflectionTest.ClassWithSerializedName; ReflectionTest.ClassWithCustomClassAdapter; ReflectionTest.ClassWithCustomFieldAdapter; ReflectionTest.ClassWithRegisteredAdapter]; [ReflectionTest.CustomAdapter]; [ReflectionTest.CustomAdapter]; [Java17RecordReflectionTest]; [Java17RecordReflectionTest.CustomAdapter]; [Java17RecordReflectionTest.CustomAdapter]. LCC (Lack of Component Cohesion) = 0.43
gson,com.google.gson.native_test,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson; com.google.gson.stream.
gson,com.google.gson,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 103
gson,com.google.gson,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.gson.internal; com.google.gson.internal.bind; com.google.gson.internal.sql
gson,com.google.gson,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.stream; com.google.gson.internal.
gson,com.google.gson,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.stream; com.google.gson.reflect.
gson,com.google.gson,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.gson; com.google.gson.internal; com.google.gson
