Project,Package,Class,Smell,Description,File
gson,com.google.gson.metrics,ParseBenchmark.Document,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: gsonType; jacksonType,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Api,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonStreamParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonStreamParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonSkipParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonSkipParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.JacksonStreamParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.JacksonStreamParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonDomParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonDomParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonBindParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: gson,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.GsonBindParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.JacksonBindParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: mapper,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.JacksonBindParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Tweet,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: coordinates; favorited; created_at; truncated; retweeted_status; id_str; in_reply_to_id_str; contributors; text; id; retweet_count; in_reply_to_status_id_str; geo; retweeted; in_reply_to_user_id; in_reply_to_screen_name; place; user; source; in_reply_to_user_id_str,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.User,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; profile_sidebar_border_color; profile_background_tile; profile_sidebar_fill_color; created_at; location; profile_image_url; follow_request_sent; profile_link_color; is_translator; id_str; favourites_count; contributors_enabled; url; default_profile; utc_offset; id; profile_use_background_image; listed_count; lang; isProtected; followers_count; profile_text_color; profile_background_color; time_zone; description; notifications; geo_enabled; verified; profile_background_image_url; default_profile_image; friends_count; statuses_count; screen_name; following; show_all_inline_media,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Feed,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Feed,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; title; description; alternates; updated; items,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Link,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: href,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Link,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Item,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Item,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: categories; title; published; updated; alternates; content; author; likingUsers,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.Content,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: content,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.ReaderUser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: userId,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark.ReaderUser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,BagOfPrimitives,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_VALUE; longValue; intValue; booleanValue; stringValue,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,PerformanceTest.ExceptionHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: message; stackTrace,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.CollectionEntry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: name; value,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.CollectionEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithList,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: field; list,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: field,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithField,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithListOfObjects,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: field; list,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithExposedField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: field,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.metrics,PerformanceTest.ClassWithExposedField,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
gson,com.google.gson.jpms_test,ExportedPackagesTest.Annotated,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ExportedPackagesTest.java
gson,com.google.gson.jpms_test,ExportedPackagesTest.Annotated,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ExportedPackagesTest.java
gson,com.google.gson.jpms_test,ReflectionInaccessibleTest.MyClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ReflectionInaccessibleTest.java
gson,com.google.gson.jpms_test.opened,ReflectionTest.MyClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/opened/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithDefaultConstructor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomDefaultConstructor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithoutDefaultConstructor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithFinalField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithSerializedName,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomClassAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomFieldAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: i,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java
