Project,Package,Class,Method,Smell,Description,Method start line no,File
gson,com.google.gson.metrics,SerializationBenchmark,setUp,Magic Number,The method contains a magic number: 10L,40,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,setUp,Magic Number,The method contains a magic number: 10L,41,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesReflectionStreaming,Complex Method,Cyclomatic complexity of the method is 9,89,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark,resourceToString,Magic Number,The method contains a magic number: 8192,147,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,setUp,Magic Number,The method contains a magic number: 100,46,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,setUp,Magic Number,The method contains a magic number: 10L,46,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,timeCollectionsStreaming,Complex Method,Cyclomatic complexity of the method is 8,63,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,timeCollectionsReflectionStreaming,Complex Method,Cyclomatic complexity of the method is 10,103,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java
gson,com.google.gson.metrics,BagOfPrimitives,getExpectedJson,Long Statement,The length of the statement "return "{" + "\"longValue\":" + longValue + "`"+ "\"intValue\":"+ intValue+ "`"+ "\"booleanValue\":"+ booleanValue+ "`"+ "\"stringValue\":\""+ stringValue+ "\""+ "}";" is 166.,47,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,hashCode,Magic Number,The method contains a magic number: 31,64,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,hashCode,Magic Number,The method contains a magic number: 1231,64,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,hashCode,Magic Number,The method contains a magic number: 1237,64,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,hashCode,Magic Number,The method contains a magic number: 32,64,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,equals,Long Statement,The length of the statement "return longValue == that.longValue && intValue == that.intValue && booleanValue == that.booleanValue && Objects.equal(stringValue`that.stringValue);" is 148.,75,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson.metrics,BagOfPrimitives,toString,Long Statement,The length of the statement "return String.format("(longValue=%d`intValue=%d`booleanValue=%b`stringValue=%s)"`longValue`intValue`booleanValue`stringValue);" is 126.,90,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java
gson,com.google.gson,ToNumberPolicy,parseAsDouble,Complex Conditional,The conditional expression (d.isInfinite() || d.isNaN()) && !in.isLenient() is complex.,82,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ToNumberPolicy.java
gson,com.google.gson,JsonPrimitive,getAsBigInteger,Long Statement,The length of the statement "return value instanceof BigInteger ? (BigInteger)value : isIntegral(this) ? BigInteger.valueOf(this.getAsNumber().longValue()) : NumberLimits.parseBigInteger(this.getAsString());" is 178.,188,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java
gson,com.google.gson,JsonPrimitive,hashCode,Magic Number,The method contains a magic number: 31,259,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java
gson,com.google.gson,JsonPrimitive,hashCode,Magic Number,The method contains a magic number: 32,259,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java
gson,com.google.gson,JsonPrimitive,hashCode,Magic Number,The method contains a magic number: 32,259,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java
