Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
gson,com.google.gson.metrics,SerializationBenchmark,main,3,1,1,36,0,com.google.gson.metrics.NonUploadingCaliperRunner,com.google.gson.metrics.NonUploadingCaliperRunner
gson,com.google.gson.metrics,SerializationBenchmark,setUp,4,1,0,40,0,com.google.gson.GsonBuilder,com.google.gson.GsonBuilder
gson,com.google.gson.metrics,SerializationBenchmark,timeObjectSerialization,5,2,1,46,0,com.google.gson.Gson,com.google.gson.Gson
gson,com.google.gson.metrics,NonUploadingCaliperRunner,NonUploadingCaliperRunner,2,1,0,22,0,,
gson,com.google.gson.metrics,NonUploadingCaliperRunner,concat,11,2,2,24,0,,
gson,com.google.gson.metrics,NonUploadingCaliperRunner,run,3,1,2,35,0,,
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,main,3,1,1,37,0,com.google.gson.metrics.NonUploadingCaliperRunner,com.google.gson.metrics.NonUploadingCaliperRunner
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,setUp,5,1,0,41,0,com.google.gson.Gson,com.google.gson.Gson
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesDefault,5,2,1,48,0,,
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesStreaming,27,7,1,55,0,com.google.gson.stream.JsonReader,com.google.gson.stream.JsonReader
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesReflectionStreaming,32,9,1,89,0,com.google.gson.stream.JsonReader,com.google.gson.stream.JsonReader
gson,com.google.gson.metrics,ParseBenchmark,setUp,4,1,0,123,0,com.google.gson.metrics.ParseBenchmark,com.google.gson.metrics.ParseBenchmark
gson,com.google.gson.metrics,ParseBenchmark,timeParse,5,2,1,129,0,,
gson,com.google.gson.metrics,ParseBenchmark,getResourceFile,11,3,1,135,0,,
gson,com.google.gson.metrics,ParseBenchmark,resourceToString,14,2,1,147,0,com.google.gson.metrics.ParseBenchmark,com.google.gson.metrics.ParseBenchmark
gson,com.google.gson.metrics,ParseBenchmark,main,3,1,1,163,0,com.google.gson.metrics.NonUploadingCaliperRunner,com.google.gson.metrics.NonUploadingCaliperRunner
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,main,3,1,1,42,0,com.google.gson.metrics.NonUploadingCaliperRunner,com.google.gson.metrics.NonUploadingCaliperRunner
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,setUp,8,2,0,46,0,com.google.gson.Gson,com.google.gson.Gson
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,timeCollectionsDefault,5,2,1,56,0,,
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,timeCollectionsStreaming,32,8,1,63,0,com.google.gson.stream.JsonReader,com.google.gson.stream.JsonReader
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,timeCollectionsReflectionStreaming,38,10,1,103,0,com.google.gson.stream.JsonReader,com.google.gson.stream.JsonReader
gson,com.google.gson.metrics,BagOfPrimitives,BagOfPrimitives,3,1,0,32,0,,
gson,com.google.gson.metrics,BagOfPrimitives,BagOfPrimitives,6,1,4,36,0,,
gson,com.google.gson.metrics,BagOfPrimitives,getIntValue,3,1,0,43,0,,
gson,com.google.gson.metrics,BagOfPrimitives,getExpectedJson,3,1,0,47,0,,
gson,com.google.gson.metrics,BagOfPrimitives,hashCode,9,1,0,64,0,,
gson,com.google.gson.metrics,BagOfPrimitives,equals,10,3,1,75,0,,
gson,com.google.gson.metrics,BagOfPrimitives,toString,3,1,0,90,0,,
gson,com.google.gson.metrics,PerformanceTest,setUp,3,1,0,50,0,,
gson,com.google.gson.metrics,PerformanceTest,testDummy,2,1,0,55,1,,
gson,com.google.gson.metrics,PerformanceTest,testStringDeserialization,16,2,0,60,1,,
gson,com.google.gson.metrics,PerformanceTest,parseLongJson,5,1,1,79,0,,
gson,com.google.gson.metrics,PerformanceTest,testLargeCollectionSerialization,8,2,0,117,1,com.google.gson.Gson,com.google.gson.Gson
gson,com.google.gson.metrics,PerformanceTest,testLargeCollectionDeserialization,22,3,0,129,1,com.google.gson.reflect.TypeToken,com.google.gson.reflect.TypeToken
gson,com.google.gson.metrics,PerformanceTest,testByteArraySerialization,10,3,0,152,1,com.google.gson.Gson,com.google.gson.Gson
gson,com.google.gson.metrics,PerformanceTest,testByteArrayDeserialization,20,4,0,167,1,,
gson,com.google.gson.metrics,PerformanceTest,testSerializeClasses,14,3,0,200,1,,
gson,com.google.gson.metrics,PerformanceTest,testDeserializeClasses,11,2,0,217,1,,
gson,com.google.gson.metrics,PerformanceTest,testLargeObjectSerializationAndDeserialization,16,2,0,231,1,com.google.gson.Gson,com.google.gson.Gson; com.google.gson.reflect.TypeToken
gson,com.google.gson.metrics,PerformanceTest,testSerializeExposedClasses,15,3,0,250,1,,
gson,com.google.gson.metrics,PerformanceTest,testDeserializeExposedClasses,11,2,0,268,1,,
