Project,Package,Class,Smell,Description,File
gson,com.google.gson.metrics,SerializationBenchmark,Law of Demeter violation,The tool detected the smell in this method (setUp) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.GsonBuilder.setPrettyPrinting; com.google.gson.GsonBuilder.create,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.gson.Gson; com.google.gson.stream.JsonReader,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java
gson,com.google.gson.metrics,ParseBenchmark,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.gson.Gson; com.google.gson.stream.JsonReader,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java
gson,com.google.gson,JsonObject,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.gson.internal.LinkedTreeMap,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonObject.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsNumber) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsNumber,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsString) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsString,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsDouble) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonElement.getAsDouble; com.google.gson.JsonArray.getAsSingleElement,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsBigDecimal) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsBigDecimal,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsBigInteger) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsBigInteger,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsFloat) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsFloat,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
gson,com.google.gson,JsonArray,Law of Demeter violation,The tool detected the smell in this method (getAsLong) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.gson.JsonArray.getAsSingleElement; com.google.gson.JsonElement.getAsLong,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java
