Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
gson,com.google.gson.metrics,SerializationBenchmark,3,0,3,2,23,4,0,0,0.6666666666666666,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,23
gson,com.google.gson.metrics,NonUploadingCaliperRunner,0,0,3,1,18,4,0,0,-1.0,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/NonUploadingCaliperRunner.java,21
gson,com.google.gson.metrics,BagOfPrimitivesDeserializationBenchmark,2,0,5,4,91,20,0,0,0.4,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,25
gson,com.google.gson.metrics,ParseBenchmark,81,0,5,2,295,9,0,0,0.4,0,9,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,52
gson,com.google.gson.metrics,ParseBenchmark.Document,2,0,0,0,19,0,0,0,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,62
gson,com.google.gson.metrics,ParseBenchmark.Api,0,0,0,0,32,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,79
gson,com.google.gson.metrics,ParseBenchmark.Parser,0,0,0,0,3,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,167
gson,com.google.gson.metrics,ParseBenchmark.GsonStreamParser,0,0,0,0,32,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,171
gson,com.google.gson.metrics,ParseBenchmark.GsonSkipParser,0,0,0,0,7,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,216
gson,com.google.gson.metrics,ParseBenchmark.JacksonStreamParser,0,0,0,0,28,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,225
gson,com.google.gson.metrics,ParseBenchmark.GsonDomParser,0,0,0,0,5,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,271
gson,com.google.gson.metrics,ParseBenchmark.GsonBindParser,1,0,0,0,6,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,278
gson,com.google.gson.metrics,ParseBenchmark.JacksonBindParser,1,0,0,0,10,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,288
gson,com.google.gson.metrics,ParseBenchmark.Tweet,20,0,0,0,22,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,306
gson,com.google.gson.metrics,ParseBenchmark.User,36,0,0,0,38,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,330
gson,com.google.gson.metrics,ParseBenchmark.Feed,6,0,0,0,16,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,374
gson,com.google.gson.metrics,ParseBenchmark.Link,1,0,0,0,6,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,407
gson,com.google.gson.metrics,ParseBenchmark.Item,8,0,0,0,13,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,416
gson,com.google.gson.metrics,ParseBenchmark.Content,1,0,0,0,6,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,450
gson,com.google.gson.metrics,ParseBenchmark.ReaderUser,1,0,0,0,6,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,459
gson,com.google.gson.metrics,CollectionsDeserializationBenchmark,4,0,5,4,107,23,0,0,0.4,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,29
gson,com.google.gson.metrics,BagOfPrimitives,5,5,7,7,48,9,0,0,0.2857142857142857,3,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,20
gson,com.google.gson.metrics,PerformanceTest,13,0,15,13,266,34,0,0,0.2,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,35
gson,com.google.gson.metrics,PerformanceTest.ExceptionHolder,2,0,0,0,11,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,85
gson,com.google.gson.metrics,PerformanceTest.CollectionEntry,2,0,0,0,11,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,101
gson,com.google.gson.metrics,PerformanceTest.ClassWithList,2,0,0,0,10,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,315
gson,com.google.gson.metrics,PerformanceTest.ClassWithField,1,0,0,0,9,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,329
gson,com.google.gson.metrics,PerformanceTest.ClassWithListOfObjects,2,0,0,0,10,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,342
gson,com.google.gson.metrics,PerformanceTest.ClassWithExposedField,1,0,0,0,9,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java,356
gson,com.google.gson.jpms_test,ExportedPackagesTest,1,0,6,6,53,6,0,0,1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ExportedPackagesTest.java,35
gson,com.google.gson.jpms_test,ExportedPackagesTest.Annotated,1,0,0,0,3,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ExportedPackagesTest.java,50
gson,com.google.gson.jpms_test,ModuleTest,0,0,6,2,41,6,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ModuleTest.java,31
gson,com.google.gson.jpms_test,ReflectionInaccessibleTest,1,0,2,2,20,2,0,0,1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ReflectionInaccessibleTest.java,26
gson,com.google.gson.jpms_test,ReflectionInaccessibleTest.MyClass,1,0,0,0,3,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/ReflectionInaccessibleTest.java,31
gson,com.google.gson.jpms_test.opened,ReflectionTest,1,0,2,2,20,2,0,0,0.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/opened/ReflectionTest.java,25
gson,com.google.gson.jpms_test.opened,ReflectionTest.MyClass,1,0,0,0,3,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-jpms/src/test/java/com/google/gson/jpms_test/opened/ReflectionTest.java,30
gson,com.google.gson.native_test,ReflectionTest,8,0,13,3,149,13,0,0,0.23076923076923078,0,15,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,34
gson,com.google.gson.native_test,ReflectionTest.ClassWithDefaultConstructor,1,0,0,0,3,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,35
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomDefaultConstructor,1,0,0,0,6,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,47
gson,com.google.gson.native_test,ReflectionTest.ClassWithoutDefaultConstructor,1,0,0,0,6,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,67
gson,com.google.gson.native_test,ReflectionTest.ClassWithFinalField,1,0,0,0,6,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,121
gson,com.google.gson.native_test,ReflectionTest.ClassWithSerializedName,1,0,0,0,3,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,141
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomClassAdapter,1,0,0,0,14,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,157
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,0,0,0,0,8,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,159
gson,com.google.gson.native_test,ReflectionTest.ClassWithCustomFieldAdapter,1,0,0,0,17,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,187
gson,com.google.gson.native_test,ReflectionTest.CustomAdapter,0,0,0,0,8,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,188
gson,com.google.gson.native_test,ReflectionTest.ClassWithRegisteredAdapter,1,0,0,0,6,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/ReflectionTest.java,221
gson,com.google.gson.native_test,Java17RecordReflectionTest,0,0,14,3,98,14,0,0,-1.0,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/Java17RecordReflectionTest.java,30
gson,com.google.gson.native_test,Java17RecordReflectionTest.CustomAdapter,0,0,0,0,8,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/Java17RecordReflectionTest.java,109
gson,com.google.gson.native_test,Java17RecordReflectionTest.CustomAdapter,0,0,0,0,8,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/test-graal-native-image/src/test/java/com/google/gson/native_test/Java17RecordReflectionTest.java,133
gson,com.google.gson,JsonObject,1,0,20,20,167,21,0,1,0.1,26,5,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonObject.java,24
gson,com.google.gson,JsonIOException,1,0,3,3,21,3,0,1,1.0,13,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonIOException.java,18
gson,com.google.gson,JsonSerializer,0,0,1,0,15,1,26,0,-1.0,9,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonSerializer.java,21
gson,com.google.gson,JsonArray,1,0,33,32,281,37,0,1,0.0,19,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonArray.java,27
gson,com.google.gson,FormattingStyle,5,2,7,6,83,9,0,0,0.0,6,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/FormattingStyle.java,22
gson,com.google.gson,JsonParser,0,0,7,7,84,9,0,0,-1.0,9,7,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonParser.java,27
gson,com.google.gson,ReflectionAccessFilter,4,0,9,8,84,9,0,0,-1.0,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ReflectionAccessFilter.java,22
gson,com.google.gson,ReflectionAccessFilter.FilterResult,0,0,0,0,18,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ReflectionAccessFilter.java,46
gson,com.google.gson,JsonStreamParser,2,0,5,5,70,6,0,0,0.6,2,6,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonStreamParser.java,28
gson,com.google.gson,InstanceCreator,0,0,1,0,15,1,4,0,-1.0,7,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/InstanceCreator.java,21
gson,com.google.gson,JsonDeserializer,0,0,1,0,16,1,22,0,-1.0,6,3,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonDeserializer.java,21
gson,com.google.gson,ToNumberStrategy,0,0,1,0,15,1,1,0,-1.0,8,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ToNumberStrategy.java,22
gson,com.google.gson,JsonElement,0,0,23,23,227,27,5,0,-1.0,44,7,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonElement.java,26
gson,com.google.gson,TypeAdapter,0,0,10,10,122,11,44,0,-1.0,57,7,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/TypeAdapter.java,30
gson,com.google.gson,TypeAdapter.NullSafeTypeAdapter,0,0,0,0,20,0,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/TypeAdapter.java,298
gson,com.google.gson,ToNumberPolicy,0,0,5,4,67,7,0,1,-1.0,7,3,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ToNumberPolicy.java,26
gson,com.google.gson,JsonPrimitive,1,0,23,22,215,40,0,1,0.08695652173913043,14,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java,25
gson,com.google.gson,FieldAttributes,1,0,9,9,70,9,0,0,0.0,7,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/FieldAttributes.java,26
gson,com.google.gson,ExclusionStrategy,0,0,2,0,23,2,1,0,-1.0,6,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/ExclusionStrategy.java,19
gson,com.google.gson,JsonDeserializationContext,0,0,1,0,16,1,1,0,-1.0,4,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonDeserializationContext.java,21
gson,com.google.gson,Gson,39,0,51,43,826,104,0,0,0.43137254901960786,122,31,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/Gson.java,64
gson,com.google.gson,Gson.FutureTypeAdapter,1,0,0,0,29,0,0,2,-1.0,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/Gson.java,1490
gson,com.google.gson,FieldNamingPolicy,0,0,9,7,102,15,0,1,-1.0,5,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java,22
gson,com.google.gson,JsonParseException,1,0,3,3,30,3,2,0,1.0,23,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonParseException.java,19
gson,com.google.gson,FieldNamingStrategy,0,0,2,0,24,2,2,0,-1.0,5,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/FieldNamingStrategy.java,24
gson,com.google.gson,Strictness,0,0,0,0,17,0,0,0,-1.0,16,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/Strictness.java,6
gson,com.google.gson,LongSerializationPolicy,0,0,3,3,35,5,0,0,-1.0,6,2,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/LongSerializationPolicy.java,19
gson,com.google.gson,JsonSerializationContext,0,0,2,0,20,2,1,0,-1.0,7,1,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonSerializationContext.java,21
gson,com.google.gson,JsonNull,1,1,4,4,38,4,0,1,1.0,24,0,/data/henrique/multiagent_refactoring/project/data/repositories/gson/gson/src/main/java/com/google/gson/JsonNull.java,19
