Project,Package,Class,Smell,Description,File
javaparser,(default package),A,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing-bdd/src/test/resources/com/github/javaparser/samples/ClassInLatin1.java
javaparser,(default package),A,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing-bdd/target/test-classes/com/github/javaparser/samples/ClassInLatin1.java
javaparser,(default package),A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing-bdd/target/test-classes/com/github/javaparser/samples/ClassInLatin1.java
javaparser,(default package),Ops,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/issue_samples/issue_2627/Ops_minimal.java
javaparser,(default package),Y,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/source.root/Y.java
javaparser,(default package),Y,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/source.root/Y.java
javaparser,(default package),X,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/Bla.java
javaparser,(default package),X,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/Bla.java
javaparser,(default package),Ops,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/issue_samples/issue_2627/Ops_minimal.java
javaparser,(default package),Y,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/utils/source.root/Y.java
javaparser,(default package),Y,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/utils/source.root/Y.java
javaparser,(default package),X,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/utils/Bla.java
