Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
javaparser,(default package),MavenWrapperDownloader,main,46,5,1,48,0,,
javaparser,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2,97,0,,
javaparser,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0,102,0,,
javaparser,(default package),Ops,methodC,2,1,0,3,0,,
javaparser,(default package),Ops,methodB,2,1,0,163,0,,
javaparser,(default package),Ops,methodA,3,1,0,258,0,,
javaparser,(default package),Ops,methodC,2,1,0,3,0,,
javaparser,(default package),Ops,methodB,2,1,0,163,0,,
javaparser,(default package),Ops,methodA,3,1,0,258,0,,
javaparser,(default package),A,method,4,1,2,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,A,2,1,1,26,0,,
javaparser,(default package),B,B,4,1,1,32,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,method,3,1,1,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,method,2,1,1,31,0,,
javaparser,(default package),A,method,4,1,2,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,A,2,1,1,25,0,,
javaparser,(default package),B,B,3,1,1,30,0,,
javaparser,(default package),A,method,2,1,1,27,0,,
javaparser,(default package),A,method,2,1,1,29,0,,
javaparser,(default package),A,method,4,1,2,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,A,2,1,1,26,0,,
javaparser,(default package),B,B,4,1,1,32,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,method,3,1,1,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,method,2,1,1,31,0,,
javaparser,(default package),A,method,4,1,2,27,0,com.github.javaparser.quality.Preconditions,com.github.javaparser.quality.Preconditions
javaparser,(default package),A,A,2,1,1,25,0,,
javaparser,(default package),B,B,3,1,1,30,0,,
javaparser,(default package),A,method,2,1,1,27,0,,
javaparser,(default package),A,method,2,1,1,29,0,,
javaparser,(default package),B,toArray,2,1,1,2,0,,
javaparser,(default package),A,b,3,1,0,6,0,,
javaparser,(default package),U9,U9,2,1,3,4,0,,
javaparser,(default package),U9,U9,2,1,3,5,0,,
javaparser,(default package),U9,U9,2,1,3,6,0,,
javaparser,(default package),Main,main,3,1,1,3,0,,
javaparser,(default package),FieldContainer,firstContainerMethod,3,1,0,16,0,,
javaparser,(default package),FieldContainer,secondContainerMethod,3,1,0,19,0,,
javaparser,(default package),FieldContainer,thirdContainerMethod,3,1,0,22,0,,
javaparser,(default package),PackageDotExpressions,main,9,1,1,2,0,,
javaparser,(default package),FieldDotExpressions,main,5,1,1,2,0,,
javaparser,(default package),FieldContainer,firstContainerMethod,3,1,0,11,0,,
javaparser,(default package),FieldContainer,secondContainerMethod,3,1,0,14,0,,
javaparser,(default package),FieldContainer,thirdContainerMethod,3,1,0,17,0,,
javaparser,(default package),InnerStaticClassFieldDotExpressions,main,3,1,1,4,0,,
javaparser,(default package),InnerClassDotExpressions,main,5,1,1,2,0,,
javaparser,(default package),A,bar,0,1,0,2,0,,
javaparser,(default package),A,A,3,1,0,2,0,,
javaparser,(default package),A,FUNC,8,2,0,2,0,,
javaparser,(default package),A,FUNC2,3,1,1,11,0,,
javaparser,(default package),B,FUNC3,3,1,1,17,0,,
javaparser,(default package),Test,Test,2,1,0,8,0,,
javaparser,(default package),Test,main,3,1,1,11,0,,
javaparser,(default package),Usage,bar,3,1,0,3,0,,
javaparser,(default package),Extends,foo,2,1,0,5,0,,
javaparser,(default package),B,getValue,3,1,2,5,0,,
javaparser,(default package),A,getIndex,3,1,1,2,0,,
javaparser,(default package),A,A,2,1,1,3,0,,
javaparser,(default package),A,A,2,1,1,6,0,,
javaparser,(default package),A,A,2,1,1,9,0,,
javaparser,(default package),DerivedClass,f,3,1,0,3,0,,
javaparser,(default package),MyEnum,method,2,1,0,4,0,,
javaparser,(default package),HelloWorld,main,3,1,1,5,0,,
