Project,Package,Class,Smell,Description,File
javaparser,(default package),Test1.Test2,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/issue1518/Test1.java
javaparser,(default package),Test1.Test3,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/issue1518/Test1.java
javaparser,(default package),EnumWithInnerType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/enums/EnumWithInnerType.java
javaparser,(default package),EnumWithInnerType.EnumInner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/enums/EnumWithInnerType.java
javaparser,(default package),Ancestor.Iterator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/Ancestor.java
javaparser,(default package),ConvolutionLayer.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/src/test/resources/issue3100/ConvolutionLayer.java
javaparser,(default package),Test1.Test2,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/issue1518/Test1.java
javaparser,(default package),Test1.Test3,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/issue1518/Test1.java
javaparser,(default package),EnumWithInnerType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/enums/EnumWithInnerType.java
javaparser,(default package),EnumWithInnerType.EnumInner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/enums/EnumWithInnerType.java
javaparser,(default package),Ancestor.Iterator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/Ancestor.java
javaparser,(default package),ConvolutionLayer.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-testing/target/test-classes/issue3100/ConvolutionLayer.java
javaparser,com.github.javaparser.symbolsolver,JavaSymbolSolver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.javaparser.resolution.declarations.ResolvedValueDeclaration,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/JavaSymbolSolver.java
javaparser,com.github.javaparser.symbolsolver,JavaSymbolSolver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/JavaSymbolSolver.java
javaparser,com.github.javaparser.symbolsolver,JavaSymbolSolver,Law of Demeter violation,The tool detected the smell in this method (resolveDeclaration) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.javaparser.resolution.declarations.ResolvedEnumDeclaration.asEnum; com.github.javaparser.ast.body.EnumDeclaration.resolve,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/JavaSymbolSolver.java
