Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
javaparser,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/.mvn/wrapper/MavenWrapperDownloader.java,21
javaparser,(default package),A,0,0,0,0,2,0,0,0,-1.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing-bdd/src/test/resources/com/github/javaparser/samples/ClassInLatin1.java,4
javaparser,(default package),A,0,0,0,0,2,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing-bdd/target/test-classes/com/github/javaparser/samples/ClassInLatin1.java,4
javaparser,(default package),Ops,0,0,3,0,9,3,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/issue_samples/issue_2627/Ops_minimal.java,1
javaparser,(default package),Y,0,0,0,0,2,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/source.root/Y.java,1
javaparser,(default package),X,0,0,0,0,2,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/src/test/resources/com/github/javaparser/utils/Bla.java,1
javaparser,(default package),Ops,0,0,3,0,9,3,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/issue_samples/issue_2627/Ops_minimal.java,1
javaparser,(default package),Y,0,0,0,0,2,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/utils/source.root/Y.java,1
javaparser,(default package),X,0,0,0,0,2,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-testing/target/test-classes/com/github/javaparser/utils/Bla.java,1
javaparser,(default package),A,0,0,1,1,6,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/expected/MethodParameterRerunTest.java,25
javaparser,(default package),A,0,0,1,1,4,1,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/expected/ConstructorParameterWithSuperTest.java,24
javaparser,(default package),B,0,0,1,1,6,1,0,0,-1.0,2,1,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/expected/ConstructorParameterWithSuperTest.java,30
javaparser,(default package),A,0,0,2,2,7,2,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/expected/MethodParameterTest.java,25
javaparser,(default package),A,0,0,1,1,6,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/original/MethodParameterRerunTest.java,25
javaparser,(default package),A,0,0,1,1,4,1,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/original/ConstructorParameterWithSuperTest.java,24
javaparser,(default package),B,0,0,1,1,5,1,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/original/ConstructorParameterWithSuperTest.java,28
javaparser,(default package),A,0,0,2,2,6,2,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/src/test/resources/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/original/MethodParameterTest.java,25
javaparser,(default package),A,0,0,1,1,6,1,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/javaparser/javaparser-core-generators/target/test-classes/com/github/javaparser/generator/core/quality/NotNullGeneratorTest/expected/MethodParameterRerunTest.java,25
